date,time,flow
2019-10-01,0,4
2019-10-01,1,0
2019-10-01,2,1
2019-10-01,3,0
2019-10-01,4,1
2019-10-01,5,8
2019-10-01,6,17
2019-10-01,7,44
2019-10-01,8,84
2019-10-01,9,43
2019-10-01,10,53
2019-10-01,11,51
2019-10-01,12,57
2019-10-01,13,82
2019-10-01,14,71
2019-10-01,15,82
2019-10-01,16,70
2019-10-01,17,66
2019-10-01,18,47
2019-10-01,19,41
2019-10-01,20,27
2019-10-01,21,16
2019-10-01,22,14
2019-10-01,23,9
2019-10-02,0,4
2019-10-02,1,1
2019-10-02,2,3
2019-10-02,3,3
2019-10-02,4,1
2019-10-02,5,9
2019-10-02,6,14
2019-10-02,7,50
2019-10-02,8,62
2019-10-02,9,42
2019-10-02,10,76
2019-10-02,11,58
2019-10-02,12,63
2019-10-02,13,62
2019-10-02,14,81
2019-10-02,15,101
2019-10-02,16,60
2019-10-02,17,41
2019-10-02,18,55
2019-10-02,19,34
2019-10-02,20,26
2019-10-02,21,37
2019-10-02,22,19
2019-10-02,23,8
2019-10-03,0,7
2019-10-03,1,4
2019-10-03,2,2
2019-10-03,3,5
2019-10-03,4,3
2019-10-03,5,7
2019-10-03,6,15
2019-10-03,7,46
2019-10-03,8,73
2019-10-03,9,49
2019-10-03,10,59
2019-10-03,11,55
2019-10-03,12,64
2019-10-03,13,52
2019-10-03,14,80
2019-10-03,15,83
2019-10-03,16,87
2019-10-03,17,62
2019-10-03,18,67
2019-10-03,19,44
2019-10-03,20,40
2019-10-03,21,45
2019-10-03,22,26
2019-10-03,23,20
2019-10-04,0,11
2019-10-04,1,13
2019-10-04,2,3
2019-10-04,3,2
2019-10-04,4,1
2019-10-04,5,3
2019-10-04,6,20
2019-10-04,7,61
2019-10-04,8,86
2019-10-04,9,68
2019-10-04,10,65
2019-10-04,11,79
2019-10-04,12,75
2019-10-04,13,59
2019-10-04,14,74
2019-10-04,15,68
2019-10-04,16,66
2019-10-04,17,69
2019-10-04,18,58
2019-10-04,19,47
2019-10-04,20,34
2019-10-04,21,27
2019-10-04,22,26
2019-10-04,23,15
2019-10-05,0,17
2019-10-05,1,12
2019-10-05,2,6
2019-10-05,3,4
2019-10-05,4,4
2019-10-05,5,3
2019-10-05,6,9
2019-10-05,7,16
2019-10-05,8,38
2019-10-05,9,25
2019-10-05,10,44
2019-10-05,11,71
2019-10-05,12,63
2019-10-05,13,90
2019-10-05,14,51
2019-10-05,15,42
2019-10-05,16,66
2019-10-05,17,53
2019-10-05,18,47
2019-10-05,19,70
2019-10-05,20,35
2019-10-05,21,38
2019-10-05,22,19
2019-10-05,23,20
2019-10-06,0,9
2019-10-06,1,14
2019-10-06,2,9
2019-10-06,3,7
2019-10-06,4,2
2019-10-06,5,4
2019-10-06,6,21
2019-10-06,7,40
2019-10-06,8,30
2019-10-06,9,24
2019-10-06,10,33
2019-10-06,11,36
2019-10-06,12,49
2019-10-06,13,54
2019-10-06,14,56
2019-10-06,15,47
2019-10-06,16,63
2019-10-06,17,38
2019-10-06,18,39
2019-10-06,19,37
2019-10-06,20,24
2019-10-06,21,18
2019-10-06,22,11
2019-10-06,23,11
2019-10-07,0,8
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,3
2019-10-07,4,2
2019-10-07,5,4
2019-10-07,6,12
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,12
2019-10-07,11,55
2019-10-07,12,68
2019-10-07,13,59
2019-10-07,14,76
2019-10-07,15,74
2019-10-07,16,61
