date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,16
2019-10-01,6,58
2019-10-01,7,158
2019-10-01,8,157
2019-10-01,9,104
2019-10-01,10,100
2019-10-01,11,109
2019-10-01,12,119
2019-10-01,13,97
2019-10-01,14,118
2019-10-01,15,126
2019-10-01,16,177
2019-10-01,17,147
2019-10-01,18,111
2019-10-01,19,57
2019-10-01,20,40
2019-10-01,21,31
2019-10-01,22,16
2019-10-01,23,8
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,16
2019-10-02,6,62
2019-10-02,7,163
2019-10-02,8,157
2019-10-02,9,110
2019-10-02,10,110
2019-10-02,11,110
2019-10-02,12,119
2019-10-02,13,109
2019-10-02,14,128
2019-10-02,15,137
2019-10-02,16,166
2019-10-02,17,162
2019-10-02,18,105
2019-10-02,19,71
2019-10-02,20,48
2019-10-02,21,31
2019-10-02,22,16
2019-10-02,23,4
2019-10-03,0,4
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,16
2019-10-03,6,58
2019-10-03,7,154
2019-10-03,8,169
2019-10-03,9,110
2019-10-03,10,114
2019-10-03,11,119
2019-10-03,12,124
2019-10-03,13,128
2019-10-03,14,123
2019-10-03,15,130
2019-10-03,16,195
2019-10-03,17,157
2019-10-03,18,105
2019-10-03,19,62
2019-10-03,20,44
2019-10-03,21,36
2019-10-03,22,26
2019-10-03,23,8
2019-10-04,0,4
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,16
2019-10-04,6,49
2019-10-04,7,141
2019-10-04,8,166
2019-10-04,9,119
2019-10-04,10,128
2019-10-04,11,122
2019-10-04,12,137
2019-10-04,13,137
2019-10-04,14,136
2019-10-04,15,171
2019-10-04,16,203
2019-10-04,17,140
2019-10-04,18,127
2019-10-04,19,70
2019-10-04,20,44
2019-10-04,21,36
2019-10-04,22,36
2019-10-04,23,21
2019-10-05,0,21
2019-10-05,1,8
2019-10-05,2,4
2019-10-05,3,4
2019-10-05,4,0
2019-10-05,5,8
2019-10-05,6,21
2019-10-05,7,48
2019-10-05,8,76
2019-10-05,9,100
2019-10-05,10,110
2019-10-05,11,123
2019-10-05,12,137
2019-10-05,13,141
2019-10-05,14,109
2019-10-05,15,109
2019-10-05,16,109
2019-10-05,17,114
2019-10-05,18,88
2019-10-05,19,62
2019-10-05,20,57
2019-10-05,21,44
2019-10-05,22,35
2019-10-05,23,36
2019-10-06,0,21
2019-10-06,1,16
2019-10-06,2,16
2019-10-06,3,4
2019-10-06,4,4
2019-10-06,5,4
2019-10-06,6,16
2019-10-06,7,21
2019-10-06,8,44
2019-10-06,9,87
2019-10-06,10,84
2019-10-06,11,106
2019-10-06,12,131
2019-10-06,13,119
2019-10-06,14,100
2019-10-06,15,104
2019-10-06,16,114
2019-10-06,17,115
2019-10-06,18,97
2019-10-06,19,57
2019-10-06,20,40
2019-10-06,21,36
2019-10-06,22,16
2019-10-06,23,12
2019-10-07,0,8
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,16
2019-10-07,6,58
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,109
2019-10-07,12,136
2019-10-07,13,105
2019-10-07,14,114
2019-10-07,15,132
2019-10-07,16,184
2019-10-07,17,141
2019-10-07,18,96
2019-10-07,19,62
2019-10-07,20,44
2019-10-07,21,31
2019-10-07,22,21
2019-10-07,23,12
2019-10-08,0,4
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,16
2019-10-08,6,53
2019-10-08,7,163
2019-10-08,8,150
2019-10-08,9,106
2019-10-08,10,109
2019-10-08,11,116
2019-10-08,12,118
2019-10-08,13,107
2019-10-08,14,110
2019-10-08,15,121
2019-10-08,16,190
2019-10-08,17,146
2019-10-08,18,100
2019-10-08,19,55
2019-10-08,20,52
2019-10-08,21,25
2019-10-08,22,11
2019-10-08,23,10
2019-10-09,0,6
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,6
2019-10-09,4,7
2019-10-09,5,14
2019-10-09,6,53
2019-10-09,7,191
2019-10-09,8,192
2019-10-09,9,102
2019-10-09,10,101
2019-10-09,11,110
2019-10-09,12,95
2019-10-09,13,113
2019-10-09,14,203
2019-10-09,15,145
2019-10-09,16,205
2019-10-09,17,162
2019-10-09,18,111
2019-10-09,19,58
2019-10-09,20,38
2019-10-09,21,32
2019-10-09,22,17
2019-10-09,23,12
2019-10-10,0,7
2019-10-10,1,8
2019-10-10,2,2
2019-10-10,3,1
2019-10-10,4,6
2019-10-10,5,16
2019-10-10,6,52
2019-10-10,7,166
2019-10-10,8,187
2019-10-10,9,104
2019-10-10,10,111
2019-10-10,11,108
2019-10-10,12,97
2019-10-10,13,127
2019-10-10,14,125
2019-10-10,15,172
2019-10-10,16,266
2019-10-10,17,229
2019-10-10,18,98
2019-10-10,19,49
2019-10-10,20,46
2019-10-10,21,21
2019-10-10,22,15
2019-10-10,23,12
2019-10-11,0,8
2019-10-11,1,5
2019-10-11,2,5
2019-10-11,3,3
2019-10-11,4,4
2019-10-11,5,8
2019-10-11,6,39
2019-10-11,7,127
2019-10-11,8,136
2019-10-11,9,97
2019-10-11,10,118
2019-10-11,11,134
2019-10-11,12,142
2019-10-11,13,123
2019-10-11,14,135
2019-10-11,15,121
2019-10-11,16,166
2019-10-11,17,123
2019-10-11,18,108
2019-10-11,19,90
2019-10-11,20,124
2019-10-11,21,106
2019-10-11,22,44
