date,time,flow
2019-10-01,0,7
2019-10-01,1,5
2019-10-01,2,1
2019-10-01,3,5
2019-10-01,4,3
2019-10-01,5,14
2019-10-01,6,59
2019-10-01,7,98
2019-10-01,8,132
2019-10-01,9,108
2019-10-01,10,107
2019-10-01,11,112
2019-10-01,12,127
2019-10-01,13,128
2019-10-01,14,152
2019-10-01,15,136
2019-10-01,16,128
2019-10-01,17,96
2019-10-01,18,89
2019-10-01,19,58
2019-10-01,20,53
2019-10-01,21,60
2019-10-01,22,29
2019-10-01,23,12
2019-10-02,0,8
2019-10-02,1,5
2019-10-02,2,4
2019-10-02,3,3
2019-10-02,4,13
2019-10-02,5,18
2019-10-02,6,54
2019-10-02,7,92
2019-10-02,8,108
2019-10-02,9,102
2019-10-02,10,129
2019-10-02,11,150
2019-10-02,12,169
2019-10-02,13,157
2019-10-02,14,135
2019-10-02,15,138
2019-10-02,16,139
2019-10-02,17,118
2019-10-02,18,101
2019-10-02,19,69
2019-10-02,20,65
2019-10-02,21,53
2019-10-02,22,32
2019-10-02,23,19
2019-10-03,0,9
2019-10-03,1,4
2019-10-03,2,3
2019-10-03,3,3
2019-10-03,4,11
2019-10-03,5,17
2019-10-03,6,54
2019-10-03,7,116
2019-10-03,8,108
2019-10-03,9,110
2019-10-03,10,115
2019-10-03,11,129
2019-10-03,12,140
2019-10-03,13,141
2019-10-03,14,152
2019-10-03,15,162
2019-10-03,16,132
2019-10-03,17,127
2019-10-03,18,84
2019-10-03,19,75
2019-10-03,20,67
2019-10-03,21,60
2019-10-03,22,36
2019-10-03,23,22
2019-10-04,0,7
2019-10-04,1,6
2019-10-04,2,6
2019-10-04,3,4
2019-10-04,4,7
2019-10-04,5,23
2019-10-04,6,55
2019-10-04,7,102
2019-10-04,8,119
2019-10-04,9,162
2019-10-04,10,140
2019-10-04,11,159
2019-10-04,12,137
2019-10-04,13,154
2019-10-04,14,155
2019-10-04,15,139
2019-10-04,16,135
2019-10-04,17,122
2019-10-04,18,112
2019-10-04,19,74
2019-10-04,20,59
2019-10-04,21,60
2019-10-04,22,36
2019-10-04,23,33
2019-10-05,0,24
2019-10-05,1,12
2019-10-05,2,13
2019-10-05,3,9
2019-10-05,4,15
2019-10-05,5,20
2019-10-05,6,51
2019-10-05,7,58
2019-10-05,8,64
2019-10-05,9,85
2019-10-05,10,126
2019-10-05,11,135
2019-10-05,12,133
2019-10-05,13,162
2019-10-05,14,159
2019-10-05,15,120
2019-10-05,16,117
2019-10-05,17,106
2019-10-05,18,86
2019-10-05,19,88
2019-10-05,20,76
2019-10-05,21,57
2019-10-05,22,46
2019-10-05,23,53
2019-10-06,0,32
2019-10-06,1,20
2019-10-06,2,11
2019-10-06,3,12
2019-10-06,4,2
2019-10-06,5,9
2019-10-06,6,14
2019-10-06,7,25
2019-10-06,8,35
2019-10-06,9,53
2019-10-06,10,86
2019-10-06,11,99
2019-10-06,12,124
2019-10-06,13,112
2019-10-06,14,113
2019-10-06,15,84
2019-10-06,16,119
2019-10-06,17,107
2019-10-06,18,76
2019-10-06,19,73
2019-10-06,20,48
2019-10-06,21,56
2019-10-06,22,23
2019-10-06,23,13
2019-10-07,0,7
2019-10-07,1,4
2019-10-07,2,5
2019-10-07,3,5
2019-10-07,4,6
2019-10-07,5,21
2019-10-07,6,62
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,30
2019-10-07,11,157
2019-10-07,12,157
2019-10-07,13,167
2019-10-07,14,164
2019-10-07,15,142
2019-10-07,16,92
2019-10-07,17,94
2019-10-07,18,94
2019-10-07,19,56
2019-10-07,20,64
2019-10-07,21,38
2019-10-07,22,27
2019-10-07,23,10
2019-10-08,0,4
2019-10-08,1,2
2019-10-08,2,3
2019-10-08,3,2
2019-10-08,4,12
2019-10-08,5,23
2019-10-08,6,50
2019-10-08,7,90
2019-10-08,8,114
2019-10-08,9,126
2019-10-08,10,130
2019-10-08,11,198
2019-10-08,12,165
2019-10-08,13,118
2019-10-08,14,159
2019-10-08,15,154
2019-10-08,16,131
2019-10-08,17,99
2019-10-08,18,88
2019-10-08,19,70
2019-10-08,20,43
2019-10-08,21,46
2019-10-08,22,24
2019-10-08,23,18
2019-10-09,0,10
2019-10-09,1,4
2019-10-09,2,1
2019-10-09,3,3
2019-10-09,4,11
2019-10-09,5,20
2019-10-09,6,55
2019-10-09,7,87
2019-10-09,8,93
2019-10-09,9,103
2019-10-09,10,108
2019-10-09,11,143
2019-10-09,12,182
2019-10-09,13,155
2019-10-09,14,179
2019-10-09,15,152
2019-10-09,16,140
2019-10-09,17,120
2019-10-09,18,88
2019-10-09,19,71
2019-10-09,20,79
2019-10-09,21,55
2019-10-09,22,21
2019-10-09,23,12
2019-10-10,0,8
2019-10-10,1,6
2019-10-10,2,6
2019-10-10,3,4
2019-10-10,4,8
2019-10-10,5,14
2019-10-10,6,61
2019-10-10,7,118
2019-10-10,8,128
2019-10-10,9,135
2019-10-10,10,114
2019-10-10,11,166
2019-10-10,12,135
2019-10-10,13,150
2019-10-10,14,162
2019-10-10,15,127
2019-10-10,16,155
2019-10-10,17,137
2019-10-10,18,106
2019-10-10,19,86
2019-10-10,20,56
2019-10-10,21,57
2019-10-10,22,35
2019-10-10,23,12
2019-10-11,0,6
2019-10-11,1,7
2019-10-11,2,14
2019-10-11,3,3
2019-10-11,4,9
2019-10-11,5,14
2019-10-11,6,54
2019-10-11,7,103
2019-10-11,8,99
2019-10-11,9,110
2019-10-11,10,124
2019-10-11,11,143
2019-10-11,12,149
2019-10-11,13,189
2019-10-11,14,143
2019-10-11,15,124
2019-10-11,16,112
2019-10-11,17,134
2019-10-11,18,124
2019-10-11,19,96
2019-10-11,20,58
2019-10-11,21,71
2019-10-11,22,42
2019-10-11,23,28
2019-10-12,0,26
2019-10-12,1,12
2019-10-12,2,13
2019-10-12,3,12
2019-10-12,4,7
2019-10-12,5,11
2019-10-12,6,55
2019-10-12,7,45
2019-10-12,8,73
2019-10-12,9,92
2019-10-12,10,123
2019-10-12,11,149
2019-10-12,12,152
2019-10-12,13,134
2019-10-12,14,128
2019-10-12,15,131
2019-10-12,16,118
2019-10-12,17,103
2019-10-12,18,115
2019-10-12,19,69
2019-10-12,20,76
2019-10-12,21,47
2019-10-12,22,40
2019-10-12,23,54
2019-10-13,0,23
2019-10-13,1,15
2019-10-13,2,10
2019-10-13,3,10
2019-10-13,4,6
2019-10-13,5,12
2019-10-13,6,24
2019-10-13,7,20
2019-10-13,8,34
2019-10-13,9,52
2019-10-13,10,73
2019-10-13,11,90
2019-10-13,12,109
2019-10-13,13,113
2019-10-13,14,129
2019-10-13,15,112
2019-10-13,16,75
2019-10-13,17,100
2019-10-13,18,54
2019-10-13,19,74
2019-10-13,20,47
2019-10-13,21,51
2019-10-13,22,27
2019-10-13,23,26
2019-10-14,0,7
2019-10-14,1,4
2019-10-14,2,8
2019-10-14,3,66
2019-10-14,4,7
2019-10-14,5,19
2019-10-14,6,48
2019-10-14,7,79
2019-10-14,8,98
2019-10-14,9,128
2019-10-14,10,130
2019-10-14,11,111
2019-10-14,12,130
2019-10-14,13,130
2019-10-14,14,135
2019-10-14,15,134
2019-10-14,16,102
2019-10-14,17,71
2019-10-14,18,77
2019-10-14,19,62
2019-10-14,20,49
2019-10-14,21,48
2019-10-14,22,18
2019-10-14,23,17
2019-10-15,0,11
2019-10-15,1,1
2019-10-15,2,5
2019-10-15,3,2
2019-10-15,4,5
2019-10-15,5,19
2019-10-15,6,51
2019-10-15,7,80
2019-10-15,8,88
2019-10-15,9,127
2019-10-15,10,112
2019-10-15,11,121
2019-10-15,12,143
2019-10-15,13,125
2019-10-15,14,133
2019-10-15,15,144
2019-10-15,16,124
2019-10-15,17,92
2019-10-15,18,74
2019-10-15,19,77
2019-10-15,20,45
2019-10-15,21,43
2019-10-15,22,19
2019-10-15,23,18
2019-10-16,0,8
2019-10-16,1,7
2019-10-16,2,5
2019-10-16,3,5
2019-10-16,4,4
2019-10-16,5,16
2019-10-16,6,53
2019-10-16,7,92
2019-10-16,8,104
2019-10-16,9,98
2019-10-16,10,125
2019-10-16,11,121
2019-10-16,12,137
2019-10-16,13,124
2019-10-16,14,130
2019-10-16,15,118
2019-10-16,16,104
2019-10-16,17,86
2019-10-16,18,72
2019-10-16,19,70
2019-11-20,12,112
2019-11-20,13,133
2019-11-20,14,143
2019-11-20,15,150
2019-11-20,16,135
2019-11-20,17,145
2019-11-20,18,93
2019-11-20,19,85
2019-11-20,20,58
2019-11-20,21,68
2019-11-20,22,61
2019-11-20,23,28
2019-11-21,0,15
2019-11-21,1,8
2019-11-21,2,8
2019-11-21,3,6
2019-11-21,4,6
2019-11-21,5,3
2019-11-21,6,18
2019-11-21,7,57
2019-11-21,8,115
2019-11-21,9,114
2019-11-21,10,138
2019-11-21,11,121
2019-11-21,12,165
