date,time,flow
2019-10-01,0,8
2019-10-01,1,10
2019-10-01,2,8
2019-10-01,3,7
2019-10-01,4,14
2019-10-01,5,14
2019-10-01,6,33
2019-10-01,7,72
2019-10-01,8,65
2019-10-01,9,65
2019-10-01,10,88
2019-10-01,11,64
2019-10-01,12,72
2019-10-01,13,77
2019-10-01,14,63
2019-10-01,15,64
2019-10-01,16,63
2019-10-01,17,76
2019-10-01,18,67
2019-10-01,19,46
2019-10-01,20,62
2019-10-01,21,47
2019-10-01,22,45
2019-10-01,23,31
2019-10-02,0,14
2019-10-02,1,17
2019-10-02,2,13
2019-10-02,3,8
2019-10-02,4,11
2019-10-02,5,27
2019-10-02,6,44
2019-10-02,7,81
2019-10-02,8,74
2019-10-02,9,65
2019-10-02,10,74
2019-10-02,11,70
2019-10-02,12,70
2019-10-02,13,71
2019-10-02,14,78
2019-10-02,15,71
2019-10-02,16,64
2019-10-02,17,75
2019-10-02,18,73
2019-10-02,19,64
2019-10-02,20,48
2019-10-02,21,39
2019-10-02,22,28
2019-10-02,23,23
2019-10-03,0,13
2019-10-03,1,18
2019-10-03,2,14
2019-10-03,3,3
2019-10-03,4,14
2019-10-03,5,22
2019-10-03,6,39
2019-10-03,7,41
2019-10-03,8,36
2019-10-03,9,54
2019-10-03,10,41
2019-10-03,11,59
2019-10-03,12,55
2019-10-03,13,52
2019-10-03,14,64
2019-10-03,15,54
2019-10-03,16,62
2019-10-03,17,52
2019-10-03,18,60
2019-10-03,19,44
2019-10-03,20,50
2019-10-03,21,51
2019-10-03,22,38
2019-10-03,23,33
2019-10-04,0,27
2019-10-04,1,22
2019-10-04,2,21
2019-10-04,3,8
2019-10-04,4,16
2019-10-04,5,22
2019-10-04,6,41
2019-10-04,7,66
2019-10-04,8,59
2019-10-04,9,50
2019-10-04,10,83
2019-10-04,11,72
2019-10-04,12,74
2019-10-04,13,73
2019-10-04,14,63
2019-10-04,15,62
2019-10-04,16,70
2019-10-04,17,75
2019-10-04,18,79
2019-10-04,19,82
2019-10-04,20,55
2019-10-04,21,65
2019-10-04,22,48
2019-10-04,23,60
2019-10-05,0,40
2019-10-05,1,39
2019-10-05,2,32
2019-10-05,3,22
2019-10-05,4,15
2019-10-05,5,13
2019-10-05,6,18
2019-10-05,7,32
2019-10-05,8,48
2019-10-05,9,53
2019-10-05,10,69
2019-10-05,11,87
2019-10-05,12,81
2019-10-05,13,88
2019-10-05,14,81
2019-10-05,15,87
2019-10-05,16,89
2019-10-05,17,78
2019-10-05,18,81
2019-10-05,19,82
2019-10-05,20,72
2019-10-05,21,70
2019-10-05,22,66
2019-10-05,23,57
2019-10-06,0,56
2019-10-06,1,41
2019-10-06,2,35
2019-10-06,3,25
2019-10-06,4,6
2019-10-06,5,11
