date,time,flow
2019-10-01,0,16
2019-10-01,1,0
2019-10-01,2,12
2019-10-01,3,0
2019-10-01,4,8
2019-10-01,5,35
2019-10-01,6,102
2019-10-01,7,163
2019-10-01,8,122
2019-10-01,9,67
2019-10-01,10,47
2019-10-01,11,126
2019-10-01,12,176
2019-10-01,13,166
2019-10-01,14,182
2019-10-01,15,181
2019-10-01,16,206
2019-10-01,17,188
2019-10-01,18,166
2019-10-01,19,132
2019-10-01,20,86
2019-10-01,21,52
2019-10-01,22,21
2019-10-01,23,18
2019-10-02,0,8
2019-10-02,1,12
2019-10-02,2,6
2019-10-02,3,11
2019-10-02,4,15
2019-10-02,5,41
2019-10-02,6,121
2019-10-02,7,254
2019-10-02,8,203
2019-10-02,9,107
2019-10-02,10,155
2019-10-02,11,84
2019-10-02,12,45
2019-10-02,13,206
2019-10-02,14,184
2019-10-02,15,201
2019-10-02,16,137
2019-10-02,17,106
2019-10-02,18,159
2019-10-02,19,114
2019-10-02,20,83
2019-10-02,21,58
2019-10-02,22,31
2019-10-02,23,16
2019-10-03,0,8
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,30
2019-10-03,6,132
2019-10-03,7,264
2019-10-03,8,216
2019-10-03,9,160
2019-10-03,10,172
2019-10-03,11,180
2019-10-03,12,220
2019-10-03,13,189
2019-10-03,14,198
2019-10-03,15,193
2019-10-03,16,164
2019-10-03,17,137
2019-10-03,18,127
2019-10-03,19,101
2019-10-03,20,72
2019-10-03,21,63
2019-10-03,22,39
2019-10-03,23,16
2019-10-04,0,12
2019-10-04,1,4
2019-10-04,2,8
2019-10-04,3,8
2019-10-04,4,16
2019-10-04,5,35
2019-10-04,6,103
2019-10-04,7,108
2019-10-04,8,48
2019-10-04,9,56
2019-10-04,10,124
2019-10-04,11,60
2019-10-04,12,74
2019-10-04,13,201
2019-10-04,14,168
2019-10-04,15,215
2019-10-04,16,116
2019-10-04,17,146
2019-10-04,18,93
2019-10-04,19,117
2019-10-04,20,75
2019-10-04,21,63
2019-10-04,22,48
2019-10-04,23,36
2019-10-05,0,30
2019-10-05,1,11
2019-10-05,2,17
2019-10-05,3,13
2019-10-05,4,8
2019-10-05,5,19
2019-10-05,6,46
2019-10-05,7,84
2019-10-05,8,107
2019-10-05,9,162
2019-10-05,10,185
2019-10-05,11,180
2019-10-05,12,177
2019-10-05,13,170
2019-10-05,14,158
2019-10-05,15,146
2019-10-05,16,176
2019-10-05,17,171
2019-10-05,18,128
2019-10-05,19,91
2019-10-05,20,59
2019-10-05,21,68
2019-10-05,22,56
2019-10-05,23,42
2019-10-06,0,36
2019-10-06,1,33
2019-10-06,2,20
2019-10-06,3,14
2019-10-06,4,16
2019-10-06,5,20
2019-10-06,6,36
2019-10-06,7,51
2019-10-06,8,69
2019-10-06,9,111
2019-10-06,10,144
2019-10-06,11,159
2019-10-06,12,183
2019-10-06,13,197
2019-10-06,14,162
2019-10-06,15,161
2019-10-06,16,184
2019-10-06,17,94
2019-10-06,18,90
2019-10-06,19,96
2019-10-06,20,61
2019-10-06,21,40
2019-10-06,22,36
2019-10-06,23,16
2019-10-07,0,16
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,21
2019-10-07,5,40
2019-10-07,6,101
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,159
2019-10-07,12,172
2019-10-07,13,168
2019-10-07,14,163
2019-10-07,15,213
2019-10-07,16,193
2019-10-07,17,171
2019-10-07,18,146
2019-10-07,19,84
2019-10-07,20,72
2019-10-07,21,49
2019-10-07,22,31
2019-10-07,23,16
2019-10-08,0,12
2019-10-08,1,4
2019-10-08,2,12
2019-10-08,3,0
2019-10-08,4,17
2019-10-08,5,35
2019-10-08,6,110
2019-10-08,7,255
2019-10-08,8,208
2019-10-08,9,155
2019-10-08,10,136
2019-10-08,11,138
2019-10-08,12,189
2019-10-08,13,145
2019-10-08,14,186
2019-10-08,15,194
2019-10-08,16,157
2019-10-08,17,203
2019-10-08,18,155
2019-10-08,19,88
2019-10-08,20,88
2019-10-08,21,52
2019-10-08,22,31
2019-10-08,23,16
2019-10-09,0,8
2019-10-09,1,4
2019-10-09,2,0
2019-10-09,3,4
2019-10-09,4,16
2019-10-09,5,35
2019-10-09,6,131
2019-10-09,7,238
2019-10-09,8,203
2019-10-09,9,147
2019-10-09,10,159
2019-10-09,11,184
2019-10-09,12,187
2019-10-09,13,172
2019-10-09,14,197
2019-10-09,15,199
2019-10-09,16,207
2019-10-09,17,176
2019-10-09,18,163
2019-10-09,19,112
2019-10-09,20,92
2019-10-09,21,57
2019-10-09,22,31
2019-10-09,23,16
2019-10-10,0,8
2019-10-10,1,4
2019-10-10,2,4
2019-10-10,3,0
2019-10-10,4,12
2019-10-10,5,35
2019-10-10,6,128
2019-10-10,7,264
2019-10-10,8,233
2019-10-10,9,127
2019-10-10,10,140
2019-10-10,11,180
2019-10-10,12,159
2019-10-10,13,159
2019-10-10,14,150
2019-10-10,15,146
2019-10-10,16,159
2019-10-10,17,162
2019-10-10,18,155
2019-10-10,19,114
2019-10-10,20,84
2019-10-10,21,58
2019-10-10,22,31
2019-10-10,23,21
2019-10-11,0,16
2019-10-11,1,12
2019-10-11,2,12
2019-10-11,3,8
2019-10-11,4,16
2019-10-11,5,30
2019-10-11,6,93
2019-10-11,7,212
2019-10-11,8,168
2019-10-11,9,159
2019-10-11,10,172
2019-10-11,11,185
2019-10-11,12,195
2019-10-11,13,184
2019-10-11,14,185
2019-10-11,15,198
2019-10-11,16,195
2019-10-11,17,175
