date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,4
2019-10-01,6,31
2019-10-01,7,53
2019-10-01,8,84
2019-10-01,9,53
2019-10-01,10,40
2019-10-01,11,40
2019-10-01,12,48
2019-10-01,13,36
2019-10-01,14,36
2019-10-01,15,26
2019-10-01,16,36
2019-10-01,17,48
2019-10-01,18,36
2019-10-01,19,31
2019-10-01,20,21
2019-10-01,21,16
2019-10-01,22,12
2019-10-01,23,0
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,0
2019-10-02,5,4
2019-10-02,6,31
2019-10-02,7,55
2019-10-02,8,75
2019-10-02,9,49
2019-10-02,10,40
2019-10-02,11,40
2019-10-02,12,36
2019-10-02,13,40
2019-10-02,14,36
2019-10-02,15,36
2019-10-02,16,36
2019-10-02,17,44
2019-10-02,18,40
2019-10-02,19,21
2019-10-02,20,21
2019-10-02,21,21
2019-10-02,22,12
2019-10-02,23,0
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,0
2019-10-03,5,4
2019-10-03,6,26
2019-10-03,7,78
2019-10-03,8,92
2019-10-03,9,54
2019-10-03,10,48
2019-10-03,11,52
2019-10-03,12,44
2019-10-03,13,58
2019-10-03,14,39
2019-10-03,15,40
2019-10-03,16,40
2019-10-03,17,40
2019-10-03,18,40
2019-10-03,19,31
2019-10-03,20,21
2019-10-03,21,21
2019-10-03,22,16
2019-10-03,23,8
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,0
2019-10-04,5,4
2019-10-04,6,31
2019-10-04,7,62
2019-10-04,8,88
2019-10-04,9,58
2019-10-04,10,44
2019-10-04,11,40
2019-10-04,12,44
2019-10-04,13,44
2019-10-04,14,44
2019-10-04,15,36
2019-10-04,16,40
2019-10-04,17,44
2019-10-04,18,44
2019-10-04,19,26
2019-10-04,20,21
2019-10-04,21,21
2019-10-04,22,16
2019-10-04,23,16
2019-10-05,0,16
2019-10-05,1,4
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,0
2019-10-05,6,8
2019-10-05,7,8
2019-10-05,8,31
2019-10-05,9,45
2019-10-05,10,40
2019-10-05,11,36
2019-10-05,12,36
2019-10-05,13,36
2019-10-05,14,45
2019-10-05,15,35
2019-10-05,16,36
2019-10-05,17,52
2019-10-05,18,44
2019-10-05,19,31
2019-10-05,20,16
2019-10-05,21,16
2019-10-05,22,16
2019-10-05,23,16
2019-10-06,0,16
2019-10-06,1,8
2019-10-06,2,4
2019-10-06,3,4
2019-10-06,4,0
2019-10-06,5,0
2019-10-06,6,0
2019-10-06,7,4
2019-10-06,8,8
2019-10-06,9,16
2019-10-06,10,26
2019-10-06,11,26
2019-10-06,12,31
2019-10-06,13,36
2019-10-06,14,26
2019-10-06,15,21
2019-10-06,16,44
2019-10-06,17,44
2019-10-06,18,31
2019-10-06,19,16
2019-10-06,20,16
2019-10-06,21,12
2019-10-06,22,4
2019-10-06,23,0
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,0
2019-10-07,5,4
2019-10-07,6,31
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,0
2019-10-07,12,0
2019-10-07,13,0
2019-10-07,14,0
2019-10-07,15,0
2019-10-07,16,0
2019-10-07,17,0
2019-10-07,18,0
2019-10-07,19,0
2019-10-07,20,0
2019-10-07,21,0
2019-10-07,22,0
2019-10-07,23,0
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,0
2019-10-08,5,4
2019-10-08,6,31
2019-10-08,7,62
2019-10-08,8,75
2019-10-08,9,61
2019-10-08,10,40
2019-10-08,11,48
2019-10-08,12,48
2019-10-08,13,48
2019-10-08,14,40
2019-10-08,15,26
2019-10-08,16,36
2019-10-08,17,57
2019-10-08,18,48
2019-10-08,19,36
2019-10-08,20,31
2019-10-08,21,31
2019-10-08,22,16
2019-10-08,23,0
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,0
2019-10-09,5,4
2019-10-09,6,31
2019-10-09,7,62
2019-10-09,8,79
2019-10-09,9,62
2019-10-09,10,48
2019-10-09,11,40
2019-10-09,12,36
2019-10-09,13,44
2019-10-09,14,40
2019-10-09,15,36
2019-10-09,16,36
2019-10-09,17,66
2019-10-09,18,53
2019-10-09,19,21
2019-10-09,20,16
2019-10-09,21,16
2019-10-09,22,4
2019-10-09,23,0
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,0
2019-10-10,5,4
2019-10-10,6,26
2019-10-10,7,73
2019-10-10,8,85
2019-10-10,9,42
2019-10-10,10,48
2019-10-10,11,57
2019-10-10,12,44
2019-10-10,13,49
2019-10-10,14,39
2019-10-10,15,40
2019-10-10,16,40
2019-10-10,17,57
2019-10-10,18,53
2019-10-10,19,31
2019-10-10,20,21
2019-10-10,21,16
2019-10-10,22,16
2019-10-10,23,8
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,4
2019-10-11,6,31
2019-10-11,7,66
2019-10-11,8,70
2019-10-11,9,53
2019-10-11,10,44
2019-10-11,11,36
2019-10-11,12,44
2019-10-11,13,40
2019-10-11,14,44
2019-10-11,15,40
2019-10-11,16,36
2019-10-11,17,40
2019-10-11,18,40
2019-10-11,19,21
2019-10-11,20,21
2019-10-11,21,21
2019-10-11,22,16
