date,time,flow
2019-10-01,0,18
2019-10-01,1,8
2019-10-01,2,8
2019-10-01,3,4
2019-10-01,4,31
2019-10-01,5,88
2019-10-01,6,317
2019-10-01,7,472
2019-10-01,8,430
2019-10-01,9,335
2019-10-01,10,340
2019-10-01,11,344
2019-10-01,12,352
2019-10-01,13,313
2019-10-01,14,349
2019-10-01,15,414
2019-10-01,16,368
2019-10-01,17,344
2019-10-01,18,274
2019-10-01,19,224
2019-10-01,20,180
2019-10-01,21,102
2019-10-01,22,88
2019-10-01,23,25
2019-10-02,0,4
2019-10-02,1,12
2019-10-02,2,8
2019-10-02,3,12
2019-10-02,4,26
2019-10-02,5,97
2019-10-02,6,308
2019-10-02,7,462
2019-10-02,8,434
2019-10-02,9,334
2019-10-02,10,295
2019-10-02,11,331
2019-10-02,12,326
2019-10-02,13,305
2019-10-02,14,315
2019-10-02,15,383
2019-10-02,16,405
2019-10-02,17,327
2019-10-02,18,297
2019-10-02,19,225
2019-10-02,20,172
2019-10-02,21,184
2019-10-02,22,67
2019-10-02,23,25
2019-10-03,0,8
2019-10-03,1,0
2019-10-03,2,8
2019-10-03,3,8
2019-10-03,4,26
2019-10-03,5,71
2019-10-03,6,295
2019-10-03,7,462
2019-10-03,8,436
2019-10-03,9,291
2019-10-03,10,278
2019-10-03,11,290
2019-10-03,12,291
2019-10-03,13,286
2019-10-03,14,335
2019-10-03,15,411
2019-10-03,16,406
2019-10-03,17,275
2019-10-03,18,256
2019-10-03,19,177
2019-10-03,20,132
2019-10-03,21,123
2019-10-03,22,66
2019-10-03,23,56
2019-10-04,0,21
2019-10-04,1,16
2019-10-04,2,12
2019-10-04,3,8
2019-10-04,4,16
2019-10-04,5,66
2019-10-04,6,292
2019-10-04,7,485
2019-10-04,8,408
2019-10-04,9,339
2019-10-04,10,340
2019-10-04,11,322
2019-10-04,12,363
2019-10-04,13,340
2019-10-04,14,375
2019-10-04,15,449
2019-10-04,16,376
2019-10-04,17,339
2019-10-04,18,319
2019-10-04,19,211
2019-10-04,20,140
2019-10-04,21,136
2019-10-04,22,75
2019-10-04,23,40
2019-10-05,0,43
2019-10-05,1,16
2019-10-05,2,16
2019-10-05,3,12
2019-10-05,4,8
2019-10-05,5,35
2019-10-05,6,119
2019-10-05,7,185
2019-10-05,8,278
2019-10-05,9,278
2019-10-05,10,400
2019-10-05,11,435
2019-10-05,12,427
2019-10-05,13,480
2019-10-05,14,357
2019-10-05,15,321
2019-10-05,16,318
2019-10-05,17,292
2019-10-05,18,260
2019-10-05,19,216
2019-10-05,20,154
2019-10-05,21,155
2019-10-05,22,101
2019-10-05,23,53
2019-10-06,0,31
2019-10-06,1,21
2019-10-06,2,16
2019-10-06,3,12
2019-10-06,4,16
2019-10-06,5,43
2019-10-06,6,93
2019-10-06,7,145
2019-10-06,8,154
2019-10-06,9,234
2019-10-06,10,282
2019-10-06,11,327
2019-10-06,12,427
2019-10-06,13,384
2019-10-06,14,314
2019-10-06,15,304
2019-10-06,16,290
2019-10-06,17,251
2019-10-06,18,190
2019-10-06,19,172
2019-10-06,20,133
2019-10-06,21,89
2019-10-06,22,58
2019-10-06,23,22
2019-10-07,0,12
2019-10-07,1,8
2019-10-07,2,4
2019-10-07,3,8
2019-10-07,4,26
2019-10-07,5,101
2019-10-07,6,317
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,56
2019-10-07,11,299
2019-10-07,12,296
2019-10-07,13,325
2019-10-07,14,322
2019-10-07,15,392
2019-10-07,16,402
2019-10-07,17,348
2019-10-07,18,288
2019-10-07,19,172
2019-10-07,20,150
2019-10-07,21,105
2019-10-07,22,96
2019-10-07,23,26
2019-10-08,0,9
2019-10-08,1,4
2019-10-08,2,0
2019-10-08,3,4
2019-10-08,4,44
2019-10-08,5,102
2019-10-08,6,335
2019-10-08,7,455
2019-10-08,8,456
2019-10-08,9,310
2019-10-08,10,311
2019-10-08,11,335
2019-10-08,12,341
2019-10-08,13,327
2019-10-08,14,322
2019-10-08,15,397
2019-10-08,16,361
2019-10-08,17,300
2019-10-08,18,296
2019-10-08,19,211
2019-10-08,20,177
2019-10-08,21,98
2019-10-08,22,115
2019-10-08,23,39
2019-10-09,0,4
2019-10-09,1,12
2019-10-09,2,21
2019-10-09,3,12
2019-10-09,4,30
2019-10-09,5,102
2019-10-09,6,322
2019-10-09,7,493
2019-10-09,8,400
2019-10-09,9,335
2019-10-09,10,305
2019-10-09,11,322
2019-10-09,12,343
2019-10-09,13,331
2019-10-09,14,327
2019-10-09,15,384
2019-10-09,16,402
2019-10-09,17,335
2019-10-09,18,322
2019-10-09,19,217
2019-10-09,20,181
2019-10-09,21,158
2019-10-09,22,75
2019-10-09,23,25
2019-10-10,0,12
2019-10-10,1,12
2019-10-10,2,8
2019-10-10,3,8
2019-10-10,4,16
2019-10-10,5,75
2019-10-10,6,303
2019-10-10,7,459
2019-10-10,8,405
2019-10-10,9,271
2019-10-10,10,300
2019-10-10,11,304
2019-10-10,12,299
2019-10-10,13,300
2019-10-10,14,336
2019-10-10,15,406
2019-10-10,16,441
2019-10-10,17,287
2019-10-10,18,295
2019-10-10,19,190
2019-10-10,20,124
2019-10-10,21,101
2019-10-10,22,65
2019-10-10,23,52
2019-10-11,0,21
2019-10-11,1,16
2019-10-11,2,16
2019-10-11,3,16
2019-10-11,4,17
2019-10-11,5,66
2019-10-11,6,304
2019-10-11,7,455
2019-10-11,8,326
2019-10-11,9,340
2019-10-11,10,344
2019-10-11,11,331
2019-10-11,12,378
2019-10-11,13,348
2019-10-11,14,388
2019-10-11,15,427
2019-10-11,16,344
2019-10-11,17,287
2019-10-11,18,318
2019-10-11,19,199
2019-10-11,20,127
2019-10-11,21,101
2019-10-11,22,75
2019-10-11,23,41
2019-10-12,0,34
2019-10-12,1,16
2019-10-12,2,16
2019-10-12,3,12
2019-10-12,4,16
2019-10-12,5,35
2019-10-12,6,131
2019-10-12,7,168
2019-10-12,8,226
2019-10-12,9,282
2019-10-12,10,339
2019-10-12,11,396
2019-10-12,12,397
2019-10-12,13,454
2019-10-12,14,317
2019-10-12,15,274
2019-10-12,16,309
2019-10-12,17,287
2019-10-12,18,239
2019-10-12,19,211
2019-10-12,20,154
2019-10-12,21,220
2019-10-12,22,89
2019-10-12,23,49
2019-10-13,0,31
2019-10-13,1,21
2019-10-13,2,12
2019-10-13,3,12
2019-10-13,4,16
2019-10-13,5,42
2019-10-13,6,92
2019-10-13,7,128
2019-10-13,8,127
2019-10-13,9,220
