date,time,flow
2019-10-01,0,8
2019-10-01,1,6
2019-10-01,2,8
2019-10-01,3,3
2019-10-01,4,10
2019-10-01,5,27
2019-10-01,6,65
2019-10-01,7,118
2019-10-01,8,103
2019-10-01,9,93
2019-10-01,10,80
2019-10-01,11,89
2019-10-01,12,78
2019-10-01,13,85
2019-10-01,14,100
2019-10-01,15,97
2019-10-01,16,111
2019-10-01,17,129
2019-10-01,18,112
2019-10-01,19,72
2019-10-01,20,58
2019-10-01,21,44
2019-10-01,22,30
2019-10-01,23,17
2019-10-02,0,7
2019-10-02,1,4
2019-10-02,2,4
2019-10-02,3,5
2019-10-02,4,7
2019-10-02,5,15
2019-10-02,6,56
2019-10-02,7,130
2019-10-02,8,97
2019-10-02,9,92
2019-10-02,10,83
2019-10-02,11,82
2019-10-02,12,85
2019-10-02,13,91
2019-10-02,14,90
2019-10-02,15,100
2019-10-02,16,91
2019-10-02,17,97
2019-10-02,18,102
2019-10-02,19,74
2019-10-02,20,47
2019-10-02,21,36
2019-10-02,22,27
2019-10-02,23,13
2019-10-03,0,14
2019-10-03,1,10
2019-10-03,2,3
2019-10-03,3,5
2019-10-03,4,14
2019-10-03,5,18
2019-10-03,6,67
2019-10-03,7,138
2019-10-03,8,106
2019-10-03,9,81
2019-10-03,10,82
2019-10-03,11,85
2019-10-03,12,80
2019-10-03,13,78
2019-10-03,14,99
2019-10-03,15,106
2019-10-03,16,109
2019-10-03,17,100
2019-10-03,18,88
2019-10-03,19,77
2019-10-03,20,49
2019-10-03,21,49
2019-10-03,22,38
2019-10-03,23,17
2019-10-04,0,15
2019-10-04,1,5
2019-10-04,2,5
2019-10-04,3,6
2019-10-04,4,9
2019-10-04,5,28
2019-10-04,6,74
2019-10-04,7,114
2019-10-04,8,117
2019-10-04,9,88
2019-10-04,10,80
2019-10-04,11,90
2019-10-04,12,119
2019-10-04,13,121
2019-10-04,14,116
2019-10-04,15,101
2019-10-04,16,119
2019-10-04,17,90
2019-10-04,18,80
2019-10-04,19,79
2019-10-04,20,52
2019-10-04,21,55
2019-10-04,22,49
2019-10-04,23,33
2019-10-05,0,10
2019-10-05,1,12
2019-10-05,2,15
2019-10-05,3,10
2019-10-05,4,12
2019-10-05,5,12
2019-10-05,6,27
2019-10-05,7,35
2019-10-05,8,56
2019-10-05,9,72
2019-10-05,10,76
2019-10-05,11,95
2019-10-05,12,92
2019-10-05,13,124
2019-10-05,14,98
2019-10-05,15,85
2019-10-05,16,105
2019-10-05,17,102
2019-10-05,18,80
2019-10-05,19,72
2019-10-05,20,48
2019-10-05,21,43
2019-10-05,22,53
2019-10-05,23,40
2019-10-06,0,22
2019-10-06,1,26
2019-10-06,2,13
2019-10-06,3,10
2019-10-06,4,8
2019-10-06,5,13
2019-10-06,6,20
