date,time,flow
2019-10-01,0,5
2019-10-01,1,5
2019-10-01,2,6
2019-10-01,3,3
2019-10-01,4,9
2019-10-01,5,15
2019-10-01,6,54
2019-10-01,7,76
2019-10-01,8,71
2019-10-01,9,71
2019-10-01,10,59
2019-10-01,11,67
2019-10-01,12,63
2019-10-01,13,80
2019-10-01,14,90
2019-10-01,15,94
2019-10-01,16,78
2019-10-01,17,86
2019-10-01,18,74
2019-10-01,19,59
2019-10-01,20,47
2019-10-01,21,28
2019-10-01,22,24
2019-10-01,23,12
2019-10-02,0,6
2019-10-02,1,4
2019-10-02,2,3
2019-10-02,3,1
2019-10-02,4,7
2019-10-02,5,19
2019-10-02,6,52
2019-10-02,7,82
2019-10-02,8,83
2019-10-02,9,61
2019-10-02,10,60
2019-10-02,11,64
2019-10-02,12,82
2019-10-02,13,85
2019-10-02,14,90
2019-10-02,15,87
2019-10-02,16,69
2019-10-02,17,66
2019-10-02,18,97
2019-10-02,19,49
2019-10-02,20,31
2019-10-02,21,22
2019-10-02,22,11
2019-10-02,23,12
2019-10-03,0,5
2019-10-03,1,5
2019-10-03,2,3
2019-10-03,3,3
2019-10-03,4,5
2019-10-03,5,21
2019-10-03,6,49
2019-10-03,7,84
2019-10-03,8,100
2019-10-03,9,81
2019-10-03,10,62
2019-10-03,11,65
2019-10-03,12,79
2019-10-03,13,78
2019-10-03,14,90
2019-10-03,15,84
2019-10-03,16,87
2019-10-03,17,63
2019-10-03,18,64
2019-10-03,19,60
2019-10-03,20,49
2019-10-03,21,47
2019-10-03,22,26
2019-10-03,23,9
2019-10-04,0,7
2019-10-04,1,6
2019-10-04,2,4
2019-10-04,3,2
2019-10-04,4,7
2019-10-04,5,26
2019-10-04,6,60
2019-10-04,7,80
2019-10-04,8,85
2019-10-04,9,65
2019-10-04,10,65
2019-10-04,11,76
2019-10-04,12,86
2019-10-04,13,104
2019-10-04,14,106
2019-10-04,15,97
2019-10-04,16,74
2019-10-04,17,87
2019-10-04,18,72
2019-10-04,19,50
2019-10-04,20,39
2019-10-04,21,35
2019-10-04,22,34
2019-10-04,23,19
2019-10-05,0,14
2019-10-05,1,10
2019-10-05,2,11
2019-10-05,3,6
2019-10-05,4,5
2019-10-05,5,4
2019-10-05,6,16
2019-10-05,7,23
2019-10-05,8,49
2019-10-05,9,61
2019-10-05,10,59
2019-10-05,11,66
2019-10-05,12,96
2019-10-05,13,99
2019-10-05,14,75
2019-10-05,15,74
2019-10-05,16,87
2019-10-05,17,59
2019-10-05,18,61
2019-10-05,19,51
2019-10-05,20,41
2019-10-05,21,26
2019-10-05,22,41
2019-10-05,23,34
2019-10-06,0,19
2019-10-06,1,20
2019-10-06,2,8
2019-10-06,3,8
2019-10-06,4,7
2019-10-06,5,7
2019-10-06,6,17
2019-10-06,7,13
2019-10-06,8,19
2019-10-06,9,55
2019-10-06,10,45
2019-10-06,11,56
2019-10-06,12,55
2019-10-06,13,55
2019-10-06,14,75
2019-10-06,15,70
2019-10-06,16,64
2019-10-06,17,58
2019-10-06,18,43
2019-10-06,19,36
2019-10-06,20,32
2019-10-06,21,26
2019-10-06,22,20
2019-10-06,23,16
2019-10-07,0,5
2019-10-07,1,2
2019-10-07,2,4
2019-10-07,3,2
2019-10-07,4,10
2019-10-07,5,17
2019-10-07,6,52
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,18
2019-10-07,11,75
2019-10-07,12,75
2019-10-07,13,79
2019-10-07,14,67
2019-10-07,15,96
2019-10-07,16,80
2019-10-07,17,85
2019-10-07,18,59
2019-10-07,19,50
2019-10-07,20,41
2019-10-07,21,22
2019-10-07,22,12
2019-10-07,23,11
2019-10-08,0,6
2019-10-08,1,7
2019-10-08,2,6
2019-10-08,3,3
2019-10-08,4,5
2019-10-08,5,16
2019-10-08,6,46
2019-10-08,7,73
2019-10-08,8,73
2019-10-08,9,69
2019-10-08,10,72
