date,time,flow
2019-10-01,0,34
2019-10-01,1,4
2019-10-01,2,4
2019-10-01,3,4
2019-10-01,4,12
2019-10-01,5,35
2019-10-01,6,93
2019-10-01,7,146
2019-10-01,8,163
2019-10-01,9,127
2019-10-01,10,123
2019-10-01,11,124
2019-10-01,12,128
2019-10-01,13,136
2019-10-01,14,149
2019-10-01,15,207
2019-10-01,16,234
2019-10-01,17,216
2019-10-01,18,146
2019-10-01,19,110
2019-10-01,20,76
2019-10-01,21,84
2019-10-01,22,36
2019-10-01,23,21
2019-10-02,0,12
2019-10-02,1,4
2019-10-02,2,8
2019-10-02,3,8
2019-10-02,4,16
2019-10-02,5,31
2019-10-02,6,101
2019-10-02,7,153
2019-10-02,8,141
2019-10-02,9,140
2019-10-02,10,110
2019-10-02,11,129
2019-10-02,12,136
2019-10-02,13,137
2019-10-02,14,158
2019-10-02,15,229
2019-10-02,16,270
2019-10-02,17,216
2019-10-02,18,124
2019-10-02,19,102
2019-10-02,20,80
2019-10-02,21,62
2019-10-02,22,52
2019-10-02,23,31
2019-10-03,0,8
2019-10-03,1,0
2019-10-03,2,8
2019-10-03,3,4
2019-10-03,4,16
2019-10-03,5,35
2019-10-03,6,89
2019-10-03,7,159
2019-10-03,8,138
2019-10-03,9,124
2019-10-03,10,123
2019-10-03,11,124
2019-10-03,12,124
2019-10-03,13,141
2019-10-03,14,172
2019-10-03,15,181
2019-10-03,16,266
2019-10-03,17,235
2019-10-03,18,137
2019-10-03,19,105
2019-10-03,20,88
2019-10-03,21,75
2019-10-03,22,48
2019-10-03,23,44
2019-10-04,0,16
2019-10-04,1,16
2019-10-04,2,16
2019-10-04,3,8
2019-10-04,4,12
2019-10-04,5,21
2019-10-04,6,97
2019-10-04,7,133
2019-10-04,8,133
2019-10-04,9,137
2019-10-04,10,129
2019-10-04,11,142
2019-10-04,12,137
2019-10-04,13,172
2019-10-04,14,186
2019-10-04,15,239
2019-10-04,16,212
2019-10-04,17,167
2019-10-04,18,144
2019-10-04,19,119
2019-10-04,20,88
2019-10-04,21,72
2019-10-04,22,62
2019-10-04,23,49
2019-10-05,0,30
2019-10-05,1,26
2019-10-05,2,21
2019-10-05,3,16
2019-10-05,4,16
2019-10-05,5,16
2019-10-05,6,31
2019-10-05,7,70
2019-10-05,8,88
2019-10-05,9,92
2019-10-05,10,104
2019-10-05,11,144
2019-10-05,12,154
2019-10-05,13,154
2019-10-05,14,150
2019-10-05,15,158
2019-10-05,16,224
2019-10-05,17,141
2019-10-05,18,118
2019-10-05,19,92
2019-10-05,20,72
2019-10-05,21,71
2019-10-05,22,71
2019-10-05,23,57
2019-10-06,0,44
2019-10-06,1,26
2019-10-06,2,21
2019-10-06,3,16
2019-10-06,4,12
2019-10-06,5,16
2019-10-06,6,16
2019-10-06,7,26
2019-10-06,8,36
2019-10-06,9,57
2019-10-06,10,88
2019-10-06,11,104
2019-10-06,12,110
2019-10-06,13,115
2019-10-06,14,124
2019-10-06,15,133
2019-10-06,16,119
2019-10-06,17,104
2019-10-06,18,92
2019-10-06,19,84
2019-10-06,20,61
2019-10-06,21,52
2019-10-06,22,44
2019-10-06,23,31
2019-10-07,0,16
2019-10-07,1,8
2019-10-07,2,4
2019-10-07,3,4
2019-10-07,4,12
2019-10-07,5,40
2019-10-07,6,106
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,140
2019-10-07,12,123
2019-10-07,13,137
2019-10-07,14,132
2019-10-07,15,137
2019-10-07,16,159
2019-10-07,17,168
2019-10-07,18,120
2019-10-07,19,97
2019-10-07,20,80
2019-10-07,21,62
2019-10-07,22,48
2019-10-07,23,40
2019-10-08,0,38
2019-10-08,1,0
2019-10-08,2,4
2019-10-08,3,0
2019-10-08,4,12
2019-10-08,5,35
2019-10-08,6,88
2019-10-08,7,145
2019-10-08,8,163
2019-10-08,9,120
2019-10-08,10,124
2019-10-08,11,140
2019-10-08,12,132
2019-10-08,13,137
2019-10-08,14,177
2019-10-08,15,211
2019-10-08,16,237
2019-10-08,17,237
2019-10-08,18,172
2019-10-08,19,114
2019-10-08,20,80
2019-10-08,21,76
2019-10-08,22,44
2019-10-08,23,26
2019-10-09,0,12
2019-10-09,1,0
2019-10-09,2,16
2019-10-09,3,8
2019-10-09,4,16
2019-10-09,5,31
2019-10-09,6,92
2019-10-09,7,154
2019-10-09,8,150
2019-10-09,9,127
2019-10-09,10,107
2019-10-09,11,146
2019-10-09,12,158
2019-10-09,13,137
2019-10-09,14,159
2019-10-09,15,229
2019-10-09,16,258
2019-10-09,17,207
2019-10-09,18,124
2019-10-09,19,108
2019-10-09,20,84
2019-10-09,21,70
2019-10-09,22,44
2019-10-09,23,31
2019-10-10,0,13
2019-10-10,1,4
2019-10-10,2,16
2019-10-10,3,4
2019-10-10,4,12
2019-10-10,5,35
2019-10-10,6,92
2019-10-10,7,159
2019-10-10,8,155
2019-10-10,9,135
2019-10-10,10,119
2019-10-10,11,122
2019-10-10,12,144
2019-10-10,13,163
2019-10-10,14,175
2019-10-10,15,186
2019-10-10,16,253
2019-10-10,17,253
2019-10-10,18,150
2019-10-10,19,115
2019-10-10,20,96
2019-10-10,21,79
2019-10-10,22,44
2019-10-10,23,40
2019-10-11,0,16
2019-10-11,1,16
2019-10-11,2,16
2019-10-11,3,16
2019-10-11,4,16
2019-10-11,5,30
2019-10-11,6,101
2019-10-11,7,132
2019-10-11,8,119
2019-10-11,9,137
2019-10-11,10,123
2019-10-11,11,136
2019-10-11,12,146
2019-10-11,13,146
2019-10-11,14,172
2019-10-11,15,242
2019-10-11,16,207
2019-10-11,17,184
2019-10-11,18,132
2019-10-11,19,129
2019-10-11,20,76
2019-10-11,21,76
2019-10-11,22,52
2019-10-11,23,48
2019-10-12,0,32
2019-10-12,1,21
2019-10-12,2,16
2019-10-12,3,16
2019-10-12,4,16
2019-10-12,5,16
2019-10-12,6,31
2019-10-12,7,61
2019-10-12,8,84
2019-10-12,9,102
2019-10-12,10,109
2019-10-12,11,136
2019-10-12,12,137
2019-10-12,13,136
2019-10-12,14,163
2019-10-12,15,150
2019-10-12,16,189
2019-10-12,17,136
2019-10-12,18,115
2019-10-12,19,84
2019-10-12,20,72
2019-10-12,21,80
2019-10-12,22,67
2019-10-12,23,62
2019-10-13,0,44
2019-10-13,1,16
2019-10-13,2,31
2019-10-13,3,16
2019-10-13,4,8
2019-10-13,5,16
2019-10-13,6,16
2019-10-13,7,31
2019-10-13,8,35
2019-10-13,9,57
2019-10-13,10,84
2019-10-13,11,105
2019-10-13,12,110
2019-10-13,13,124
2019-10-13,14,119
2019-10-13,15,141
2019-10-13,16,123
2019-10-13,17,109
2019-10-13,18,96
2019-10-13,19,92
2019-10-13,20,76
2019-10-13,21,62
2019-10-13,22,44
2019-10-13,23,30
2019-10-14,0,16
2019-10-14,1,12
2019-10-14,2,12
2019-10-14,3,0
2019-10-14,4,12
2019-10-14,5,26
2019-10-14,6,79
2019-10-14,7,132
2019-10-14,8,106
2019-10-14,9,110
2019-10-14,10,107
2019-10-14,11,115
2019-10-14,12,119
2019-10-14,13,123
2019-10-14,14,123
2019-10-14,15,133
2019-10-14,16,137
2019-10-14,17,154
2019-10-14,18,114
2019-10-14,19,101
2019-10-14,20,80
2019-10-14,21,62
2019-10-14,22,57
2019-10-14,23,38
2019-10-15,0,34
2019-10-15,1,0
2019-10-15,2,4
2019-10-15,3,4
2019-10-15,4,12
2019-10-15,5,35
2019-10-15,6,79
2019-10-15,7,119
2019-10-15,8,129
2019-10-15,9,124
2019-10-15,10,116
2019-10-15,11,115
2019-10-15,12,124
2019-10-15,13,128
2019-10-15,14,145
2019-10-15,15,167
2019-10-15,16,221
2019-10-15,17,212
2019-10-15,18,132
2019-10-15,19,96
2019-10-15,20,76
2019-10-15,21,65
2019-10-15,22,40
2019-10-15,23,26
2019-10-16,0,16
2019-10-16,1,4
2019-10-16,2,8
