date,time,flow
2019-10-01,0,9
2019-10-01,1,10
2019-10-01,2,19
2019-10-01,3,17
2019-10-01,4,28
2019-10-01,5,75
2019-10-01,6,171
2019-10-01,7,261
2019-10-01,8,257
2019-10-01,9,200
2019-10-01,10,198
2019-10-01,11,189
2019-10-01,12,205
2019-10-01,13,209
2019-10-01,14,195
2019-10-01,15,219
2019-10-01,16,176
2019-10-01,17,189
2019-10-01,18,140
2019-10-01,19,100
2019-10-01,20,127
2019-10-01,21,44
2019-10-01,22,29
2019-10-01,23,19
2019-10-02,0,8
2019-10-02,1,8
2019-10-02,2,18
2019-10-02,3,12
2019-10-02,4,32
2019-10-02,5,79
2019-10-02,6,176
2019-10-02,7,290
2019-10-02,8,273
2019-10-02,9,210
2019-10-02,10,208
2019-10-02,11,223
2019-10-02,12,207
2019-10-02,13,196
2019-10-02,14,210
2019-10-02,15,185
2019-10-02,16,185
2019-10-02,17,197
2019-10-02,18,125
2019-10-02,19,111
2019-10-02,20,73
2019-10-02,21,57
2019-10-02,22,44
2019-10-02,23,10
2019-10-03,0,10
2019-10-03,1,7
2019-10-03,2,8
2019-10-03,3,15
2019-10-03,4,23
2019-10-03,5,84
2019-10-03,6,174
2019-10-03,7,284
2019-10-03,8,242
2019-10-03,9,212
2019-10-03,10,195
2019-10-03,11,217
2019-10-03,12,194
2019-10-03,13,201
2019-10-03,14,185
2019-10-03,15,211
2019-10-03,16,208
2019-10-03,17,156
2019-10-03,18,128
2019-10-03,19,96
2019-10-03,20,78
2019-10-03,21,57
2019-10-03,22,65
2019-10-03,23,24
2019-10-04,0,21
2019-10-04,1,12
2019-10-04,2,22
2019-10-04,3,21
2019-10-04,4,28
2019-10-04,5,85
2019-10-04,6,196
2019-10-04,7,254
2019-10-04,8,222
2019-10-04,9,214
2019-10-04,10,188
2019-10-04,11,188
2019-10-04,12,235
2019-10-04,13,190
2019-10-04,14,257
2019-10-04,15,197
2019-10-04,16,177
2019-10-04,17,153
2019-10-04,18,139
2019-10-04,19,98
2019-10-04,20,84
2019-10-04,21,61
2019-10-04,22,44
2019-10-04,23,43
2019-10-05,0,15
2019-10-05,1,16
2019-10-05,2,15
2019-10-05,3,20
2019-10-05,4,21
2019-10-05,5,32
2019-10-05,6,49
2019-10-05,7,92
2019-10-05,8,141
2019-10-05,9,172
2019-10-05,10,168
2019-10-05,11,213
2019-10-05,12,225
2019-10-05,13,192
2019-10-05,14,178
2019-10-05,15,163
2019-10-05,16,162
2019-10-05,17,131
2019-10-05,18,118
2019-10-05,19,76
2019-10-05,20,83
2019-10-05,21,57
2019-10-05,22,49
2019-10-05,23,45
2019-10-06,0,27
2019-10-06,1,14
2019-10-06,2,12
2019-10-06,3,15
2019-10-06,4,9
2019-10-06,5,17
2019-10-06,6,37
2019-10-06,7,53
2019-10-06,8,92
2019-10-06,9,120
2019-10-06,10,154
2019-10-06,11,180
2019-10-06,12,171
2019-10-06,13,155
2019-10-06,14,142
2019-10-06,15,140
2019-10-06,16,124
2019-10-06,17,125
2019-10-06,18,117
2019-10-06,19,84
2019-10-06,20,57
2019-10-06,21,51
2019-10-06,22,28
2019-10-06,23,18
2019-10-07,0,12
2019-10-07,1,5
2019-10-07,2,19
2019-10-07,3,17
2019-10-07,4,25
2019-10-07,5,57
2019-10-07,6,167
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,0
2019-10-07,11,159
2019-10-07,12,188
2019-10-07,13,185
2019-10-07,14,188
2019-10-07,15,203
2019-10-07,16,164
2019-10-07,17,170
2019-10-07,18,130
2019-10-07,19,90
2019-10-07,20,67
2019-10-07,21,47
2019-10-07,22,39
2019-10-07,23,14
2019-10-08,0,10
2019-10-08,1,14
2019-10-08,2,27
2019-10-08,3,14
2019-10-08,4,34
2019-10-08,5,87
2019-10-08,6,185
2019-10-08,7,274
2019-10-08,8,253
2019-10-08,9,208
2019-10-08,10,212
2019-10-08,11,171
2019-10-08,12,197
2019-10-08,13,180
2019-10-08,14,177
2019-10-08,15,208
2019-10-08,16,210
2019-10-08,17,182
2019-10-08,18,146
2019-10-08,19,98
2019-10-08,20,93
2019-10-08,21,66
2019-10-08,22,29
2019-10-08,23,21
2019-10-09,0,6
2019-10-09,1,15
2019-10-09,2,17
2019-10-09,3,12
2019-10-09,4,32
2019-10-09,5,83
2019-10-09,6,209
2019-10-09,7,257
2019-10-09,8,257
2019-10-09,9,223
2019-10-09,10,210
2019-10-09,11,218
2019-10-09,12,205
2019-10-09,13,223
2019-10-09,14,207
2019-10-09,15,203
2019-10-09,16,208
2019-10-09,17,172
2019-10-09,18,167
2019-10-09,19,107
2019-10-09,20,71
2019-10-09,21,59
2019-10-09,22,40
2019-10-09,23,22
2019-10-10,0,11
2019-10-10,1,10
2019-10-10,2,14
2019-10-10,3,21
2019-10-10,4,30
2019-10-10,5,88
2019-10-10,6,171
2019-10-10,7,248
2019-10-10,8,263
2019-10-10,9,0
2019-10-10,10,0
2019-10-10,11,0
2019-10-10,12,0
2019-10-10,13,0
2019-10-10,14,0
2019-10-10,15,0
2019-10-10,16,0
2019-10-10,17,0
2019-10-10,18,0
2019-10-10,19,0
2019-10-10,20,0
2019-10-10,21,0
2019-10-10,22,0
2019-10-10,23,0
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,0
2019-10-11,5,0
2019-10-11,6,0
2019-10-11,7,0
2019-10-11,8,0
2019-10-11,9,0
2019-10-11,10,0
2019-10-11,11,0
2019-10-11,12,0
2019-10-11,13,0
2019-10-11,14,162
2019-10-11,15,213
2019-10-11,16,183
2019-10-11,17,179
2019-10-11,18,156
2019-10-11,19,138
2019-10-11,20,99
2019-10-11,21,54
2019-10-11,22,58
2019-10-11,23,27
2019-10-12,0,22
2019-10-12,1,20
2019-10-12,2,19
2019-10-12,3,11
2019-10-12,4,18
2019-10-12,5,33
2019-10-12,6,56
2019-10-12,7,95
2019-10-12,8,129
2019-10-12,9,171
2019-10-12,10,160
2019-10-12,11,184
2019-10-12,12,204
2019-10-12,13,178
2019-10-12,14,180
2019-10-12,15,163
2019-10-12,16,168
2019-10-12,17,120
2019-10-12,18,138
2019-10-12,19,85
2019-10-12,20,78
2019-10-12,21,61
2019-10-12,22,49
2019-10-12,23,54
2019-10-13,0,21
2019-10-13,1,16
2019-10-13,2,13
2019-10-13,3,21
2019-10-13,4,16
2019-10-13,5,16
2019-10-13,6,34
2019-10-13,7,52
2019-10-13,8,63
2019-10-13,9,88
2019-10-13,10,123
2019-10-13,11,163
2019-10-13,12,165
2019-10-13,13,163
2019-10-13,14,158
2019-10-13,15,122
2019-10-13,16,153
2019-10-13,17,124
2019-10-13,18,88
2019-10-13,19,93
2019-10-13,20,56
2019-10-13,21,52
2019-10-13,22,37
2019-10-13,23,18
2019-10-14,0,11
2019-10-14,1,11
2019-10-14,2,11
2019-10-14,3,10
2019-10-14,4,24
2019-10-14,5,64
2019-10-14,6,146
2019-10-14,7,212
2019-10-14,8,235
2019-10-14,9,177
2019-10-14,10,199
2019-10-14,11,211
2019-10-14,12,187
2019-10-14,13,185
2019-10-14,14,187
2019-10-14,15,183
2019-10-14,16,163
2019-10-14,17,174
2019-10-14,18,129
2019-10-14,19,97
2019-10-14,20,69
2019-10-14,21,49
2019-10-14,22,23
2019-10-14,23,19
2019-10-15,0,11
2019-10-15,1,5
2019-10-15,2,13
2019-10-15,3,19
2019-10-15,4,28
2019-10-15,5,69
2019-10-15,6,178
2019-10-15,7,209
2019-10-15,8,214
2019-10-15,9,201
2019-10-15,10,184
2019-10-15,11,186
2019-10-15,12,199
2019-10-15,13,188
2019-10-15,14,199
2019-10-15,15,188
2019-10-15,16,191
2019-10-15,17,162
2019-10-15,18,117
2019-10-15,19,81
2019-10-15,20,77
2019-10-15,21,55
2019-10-15,22,33
2019-10-15,23,21
2019-10-16,0,9
2019-10-16,1,14
2019-10-16,2,16
2019-10-16,3,15
2019-10-16,4,19
2019-10-16,5,74
2019-10-16,6,155
2019-10-16,7,240
2019-10-16,8,192
2019-10-16,9,189
2019-10-16,10,193
2019-10-16,11,188
2019-10-16,12,207
2019-10-16,13,185
2019-10-16,14,195
2019-10-16,15,178
2019-10-16,16,180
2019-10-16,17,173
2019-10-16,18,118
2019-10-16,19,98
2019-11-20,12,184
2019-11-20,13,192
2019-11-20,14,200
2019-11-20,15,217
2019-11-20,16,210
2019-11-20,17,174
2019-11-20,18,181
2019-11-20,19,144
2019-11-20,20,97
2019-11-20,21,80
2019-11-20,22,55
2019-11-20,23,40
2019-11-21,0,19
2019-11-21,1,9
2019-11-21,2,13
2019-11-21,3,18
2019-11-21,4,21
2019-11-21,5,29
2019-11-21,6,67
2019-11-21,7,201
2019-11-21,8,305
2019-11-21,9,279
2019-11-21,10,197
2019-11-21,11,218
2019-11-21,12,215
2019-11-21,13,189
2019-11-21,14,246
2019-11-21,15,223
2019-11-21,16,221
2019-11-21,17,225
2019-11-21,18,183
2019-11-21,19,131
2019-11-21,20,106
2019-11-21,21,83
2019-11-21,22,68
2019-11-21,23,36
2019-11-22,0,21
2019-11-22,1,15
2019-11-22,2,11
2019-11-22,3,14
2019-11-22,4,12
2019-11-22,5,28
2019-11-22,6,71
2019-11-22,7,158
2019-11-22,8,290
2019-11-22,9,271
2019-11-22,10,213
2019-11-22,11,230
2019-11-22,12,223
2019-11-22,13,209
2019-11-22,14,218
2019-11-22,15,238
2019-11-22,16,238
2019-11-22,17,193
2019-11-22,18,171
2019-11-22,19,159
2019-11-22,20,84
2019-11-22,21,73
2019-11-22,22,50
2019-11-22,23,48
2019-11-23,0,34
2019-11-23,1,23
2019-11-23,2,15
2019-11-23,3,26
2019-11-23,4,14
2019-11-23,5,18
2019-11-23,6,17
2019-11-23,7,49
2019-11-23,8,91
2019-11-23,9,133
2019-11-23,10,172
2019-11-23,11,182
2019-11-23,12,201
2019-11-23,13,229
2019-11-23,14,224
2019-11-23,15,180
2019-11-23,16,174
2019-11-23,17,149
2019-11-23,18,139
2019-11-23,19,102
2019-11-23,20,93
2019-11-23,21,73
2019-11-23,22,62
2019-11-23,23,34
2019-11-24,0,44
2019-11-24,1,23
2019-11-24,2,17
2019-11-24,3,12
2019-11-24,4,13
2019-11-24,5,11
2019-11-24,6,17
2019-11-24,7,29
2019-11-24,8,51
2019-11-24,9,68
2019-11-24,10,120
2019-11-24,11,154
2019-11-24,12,138
2019-11-24,13,182
2019-11-24,14,166
2019-11-24,15,162
2019-11-24,16,136
2019-11-24,17,118
2019-11-24,18,118
2019-11-24,19,123
2019-11-24,20,59
2019-11-24,21,57
2019-11-24,22,52
2019-11-24,23,44
2019-11-25,0,16
2019-11-25,1,12
2019-11-25,2,12
2019-11-25,3,15
2019-11-25,4,16
2019-11-25,5,23
2019-11-25,6,71
2019-11-25,7,191
2019-11-25,8,281
2019-11-25,9,262
2019-11-25,10,204
2019-11-25,11,219
2019-11-25,12,217
2019-11-25,13,217
2019-11-25,14,221
2019-11-25,15,235
2019-11-25,16,222
2019-11-25,17,198
2019-11-25,18,156
2019-11-25,19,123
2019-11-25,20,96
2019-11-25,21,71
2019-11-25,22,51
2019-11-25,23,32
2019-11-26,0,18
2019-11-26,1,12
2019-11-26,2,15
2019-11-26,3,21
2019-11-26,4,22
2019-11-26,5,26
2019-11-26,6,98
2019-11-26,7,169
2019-11-26,8,273
2019-11-26,9,270
2019-11-26,10,228
2019-11-26,11,188
2019-11-26,12,206
2019-11-26,13,209
2019-11-26,14,219
2019-11-26,15,233
2019-11-26,16,220
2019-11-26,17,207
2019-11-26,18,205
2019-11-26,19,165
2019-11-26,20,108
2019-11-26,21,71
2019-11-26,22,65
2019-11-26,23,32
2019-11-27,0,20
2019-11-27,1,6
2019-11-27,2,16
2019-11-27,3,16
2019-11-27,4,7
2019-11-27,5,29
2019-11-27,6,96
2019-11-27,7,177
2019-11-27,8,268
2019-11-27,9,260
2019-11-27,10,225
2019-11-27,11,202
2019-11-27,12,193
2019-11-27,13,203
2019-11-27,14,224
2019-11-27,15,222
2019-11-27,16,239
2019-11-27,17,189
2019-11-27,18,189
2019-11-27,19,121
2019-11-27,20,103
2019-11-27,21,78
2019-11-27,22,52
2019-11-27,23,35
2019-11-28,0,17
2019-11-28,1,13
2019-11-28,2,7
2019-11-28,3,20
2019-11-28,4,16
2019-11-28,5,39
2019-11-28,6,75
2019-11-28,7,170
2019-11-28,8,273
2019-11-28,9,278
2019-11-28,10,169
2019-11-28,11,197
2019-11-28,12,213
2019-11-28,13,196
2019-11-28,14,233
2019-11-28,15,203
2019-11-28,16,209
2019-11-28,17,230
2019-11-28,18,161
2019-11-28,19,137
2019-11-28,20,107
2019-11-28,21,78
2019-11-28,22,64
2019-11-28,23,53
2019-11-29,0,23
2019-11-29,1,15
2019-11-29,2,12
2019-11-29,3,11
2019-11-29,4,21
2019-11-29,5,26
2019-11-29,6,71
2019-11-29,7,163
2019-11-29,8,246
2019-11-29,9,250
2019-11-29,10,204
2019-11-29,11,237
2019-11-29,12,212
2019-11-29,13,258
2019-11-29,14,213
2019-11-29,15,215
2019-11-29,16,199
2019-11-29,17,215
2019-11-29,18,188
2019-11-29,19,127
2019-11-29,20,91
2019-11-29,21,80
2019-11-29,22,59
2019-11-29,23,60
2019-11-30,0,30
2019-11-30,1,28
2019-11-30,2,18
2019-11-30,3,18
2019-11-30,4,18
2019-11-30,5,14
2019-11-30,6,27
2019-11-30,7,56
2019-11-30,8,108
2019-11-30,9,112
2019-11-30,10,164
2019-11-30,11,170
2019-11-30,12,180
2019-11-30,13,206
2019-11-30,14,196
2019-11-30,15,178
2019-11-30,16,165
2019-11-30,17,146
2019-11-30,18,122
2019-11-30,19,119
2019-11-30,20,84
2019-11-30,21,81
2019-11-30,22,52
2019-11-30,23,46
2019-12-01,0,40
2019-12-01,1,38
2019-12-01,2,19
2019-12-01,3,16
2019-12-01,4,18
2019-12-01,5,16
2019-12-01,6,20
2019-12-01,7,27
2019-12-01,8,48
2019-12-01,9,65
2019-12-01,10,108
2019-12-01,11,174
2019-12-01,12,165
2019-12-01,13,166
2019-12-01,14,169
2019-12-01,15,138
2019-12-01,16,140
2019-12-01,17,126
2019-12-01,18,110
2019-12-01,19,106
2019-12-01,20,53
2019-12-01,21,68
2019-12-01,22,41
2019-12-01,23,32
2019-12-02,0,26
2019-12-02,1,9
2019-12-02,2,9
2019-12-02,3,18
2019-12-02,4,18
2019-12-02,5,29
2019-12-02,6,71
2019-12-02,7,150
2019-12-02,8,297
2019-12-02,9,255
2019-12-02,10,152
2019-12-02,11,207
2019-12-02,12,187
2019-12-02,13,200
2019-12-02,14,212
2019-12-02,15,210
2019-12-02,16,211
2019-12-02,17,198
2019-12-02,18,157
2019-12-02,19,131
2019-12-02,20,86
2019-12-02,21,74
2019-12-02,22,48
2019-12-02,23,33
2019-12-03,0,28
2019-12-03,1,12
2019-12-03,2,12
2019-12-03,3,12
2019-12-03,4,11
2019-12-03,5,34
2019-12-03,6,75
2019-12-03,7,162
2019-12-03,8,298
2019-12-03,9,275
2019-12-03,10,203
2019-12-03,11,178
2019-12-03,12,200
2019-12-03,13,209
2019-12-03,14,207
2019-12-03,15,211
2019-12-03,16,239
2019-12-03,17,200
2019-12-03,18,186
2019-12-03,19,137
2019-12-03,20,92
2019-12-03,21,79
2019-12-03,22,40
2019-12-03,23,29
2019-12-04,0,15
2019-12-04,1,12
2019-12-04,2,23
2019-12-04,3,21
2019-12-04,4,19
2019-12-04,5,34
2019-12-04,6,82
2019-12-04,7,172
2019-12-04,8,293
2019-12-04,9,282
2019-12-04,10,212
2019-12-04,11,220
2019-12-04,12,237
2019-12-04,13,220
2019-12-04,14,215
2019-12-04,15,217
2019-12-04,16,204
2019-12-04,17,180
2019-12-04,18,188
2019-12-04,19,121
2019-12-04,20,78
2019-12-04,21,66
