date,time,flow
2019-10-01,0,16
2019-10-01,1,11
2019-10-01,2,14
2019-10-01,3,8
2019-10-01,4,23
2019-10-01,5,52
2019-10-01,6,109
2019-10-01,7,147
2019-10-01,8,181
2019-10-01,9,156
2019-10-01,10,151
2019-10-01,11,161
2019-10-01,12,192
2019-10-01,13,173
2019-10-01,14,149
2019-10-01,15,191
2019-10-01,16,214
2019-10-01,17,217
2019-10-01,18,151
2019-10-01,19,113
2019-10-01,20,75
2019-10-01,21,67
2019-10-01,22,44
2019-10-01,23,27
2019-10-02,0,10
2019-10-02,1,5
2019-10-02,2,10
2019-10-02,3,14
2019-10-02,4,15
2019-10-02,5,51
2019-10-02,6,129
2019-10-02,7,157
2019-10-02,8,190
2019-10-02,9,146
2019-10-02,10,146
2019-10-02,11,152
2019-10-02,12,196
2019-10-02,13,181
2019-10-02,14,175
2019-10-02,15,193
2019-10-02,16,233
2019-10-02,17,175
2019-10-02,18,119
2019-10-02,19,124
2019-10-02,20,101
2019-10-02,21,62
2019-10-02,22,75
2019-10-02,23,26
2019-10-03,0,14
2019-10-03,1,14
2019-10-03,2,18
2019-10-03,3,17
2019-10-03,4,25
2019-10-03,5,49
2019-10-03,6,118
2019-10-03,7,165
2019-10-03,8,206
2019-10-03,9,172
2019-10-03,10,140
2019-10-03,11,184
2019-10-03,12,179
2019-10-03,13,195
2019-10-03,14,175
2019-10-03,15,221
2019-10-03,16,176
2019-10-03,17,216
2019-10-03,18,116
2019-10-03,19,109
2019-10-03,20,72
2019-10-03,21,109
2019-10-03,22,84
2019-10-03,23,34
2019-10-04,0,20
2019-10-04,1,10
2019-10-04,2,14
2019-10-04,3,13
2019-10-04,4,22
2019-10-04,5,54
2019-10-04,6,110
2019-10-04,7,173
2019-10-04,8,173
2019-10-04,9,146
2019-10-04,10,168
2019-10-04,11,193
2019-10-04,12,243
2019-10-04,13,189
2019-10-04,14,187
2019-10-04,15,188
2019-10-04,16,183
2019-10-04,17,205
2019-10-04,18,136
