date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,0
2019-10-01,5,26
2019-10-01,6,65
2019-10-01,7,140
2019-10-01,8,128
2019-10-01,9,110
2019-10-01,10,92
2019-10-01,11,100
2019-10-01,12,100
2019-10-01,13,100
2019-10-01,14,123
2019-10-01,15,132
2019-10-01,16,127
2019-10-01,17,88
2019-10-01,18,71
2019-10-01,19,57
2019-10-01,20,57
2019-10-01,21,31
2019-10-01,22,26
2019-10-01,23,8
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,21
2019-10-02,6,62
2019-10-02,7,115
2019-10-02,8,110
2019-10-02,9,109
2019-10-02,10,104
2019-10-02,11,104
2019-10-02,12,128
2019-10-02,13,119
2019-10-02,14,118
2019-10-02,15,141
2019-10-02,16,128
2019-10-02,17,104
2019-10-02,18,72
2019-10-02,19,62
2019-10-02,20,44
2019-10-02,21,36
2019-10-02,22,16
2019-10-02,23,21
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,4
2019-10-03,5,17
2019-10-03,6,58
2019-10-03,7,114
2019-10-03,8,118
2019-10-03,9,96
2019-10-03,10,109
2019-10-03,11,119
2019-10-03,12,119
2019-10-03,13,124
2019-10-03,14,132
2019-10-03,15,150
2019-10-03,16,150
2019-10-03,17,92
2019-10-03,18,67
2019-10-03,19,62
2019-10-03,20,36
2019-10-03,21,40
2019-10-03,22,26
2019-10-03,23,12
2019-10-04,0,0
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,21
2019-10-04,6,49
2019-10-04,7,115
2019-10-04,8,119
2019-10-04,9,92
2019-10-04,10,128
2019-10-04,11,127
2019-10-04,12,128
2019-10-04,13,136
2019-10-04,14,137
2019-10-04,15,145
2019-10-04,16,128
2019-10-04,17,92
2019-10-04,18,75
2019-10-04,19,57
2019-10-04,20,48
2019-10-04,21,31
2019-10-04,22,16
2019-10-04,23,21
2019-10-05,0,4
2019-10-05,1,0
2019-10-05,2,0
2019-10-05,3,4
2019-10-05,4,0
2019-10-05,5,12
2019-10-05,6,21
2019-10-05,7,40
2019-10-05,8,52
2019-10-05,9,92
2019-10-05,10,92
2019-10-05,11,100
2019-10-05,12,105
2019-10-05,13,105
2019-10-05,14,88
2019-10-05,15,83
2019-10-05,16,84
2019-10-05,17,67
2019-10-05,18,71
2019-10-05,19,53
2019-10-05,20,44
2019-10-05,21,31
2019-10-05,22,21
2019-10-05,23,21
2019-10-06,0,8
2019-10-06,1,0
2019-10-06,2,0
2019-10-06,3,0
2019-10-06,4,0
2019-10-06,5,4
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,21
2019-10-06,9,40
2019-10-06,10,52
2019-10-06,11,52
2019-10-06,12,67
2019-10-06,13,76
2019-10-06,14,72
2019-10-06,15,67
2019-10-06,16,57
2019-10-06,17,57
2019-10-06,18,52
2019-10-06,19,40
2019-10-06,20,36
2019-10-06,21,26
2019-10-06,22,16
2019-10-06,23,4
2019-10-07,0,0
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,53
2019-10-07,5,16
2019-10-07,6,61
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,26
2019-10-07,11,96
2019-10-07,12,100
2019-10-07,13,96
2019-10-07,14,104
2019-10-07,15,132
2019-10-07,16,119
2019-10-07,17,88
2019-10-07,18,79
2019-10-07,19,48
2019-10-07,20,45
2019-10-07,21,26
2019-10-07,22,16
2019-10-07,23,4
2019-10-08,0,0
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,13
2019-10-08,5,31
2019-10-08,6,70
2019-10-08,7,140
2019-10-08,8,132
2019-10-08,9,114
2019-10-08,10,92
2019-10-08,11,100
2019-10-08,12,96
2019-10-08,13,104
2019-10-08,14,115
2019-10-08,15,123
2019-10-08,16,118
2019-10-08,17,88
2019-10-08,18,62
2019-10-08,19,57
2019-10-08,20,48
2019-10-08,21,36
2019-10-08,22,16
2019-10-08,23,4
2019-10-09,0,0
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,0
2019-10-09,4,4
2019-10-09,5,16
2019-10-09,6,62
2019-10-09,7,119
2019-10-09,8,113
2019-10-09,9,100
2019-10-09,10,92
2019-10-09,11,114
2019-10-09,12,123
2019-10-09,13,119
2019-10-09,14,109
2019-10-09,15,137
2019-10-09,16,128
2019-10-09,17,96
2019-10-09,18,67
2019-10-09,19,48
2019-10-09,20,40
2019-10-09,21,31
2019-10-09,22,16
2019-10-09,23,4
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,4
2019-10-10,5,16
2019-10-10,6,58
2019-10-10,7,114
2019-10-10,8,122
2019-10-10,9,104
2019-10-10,10,109
2019-10-10,11,119
2019-10-10,12,127
2019-10-10,13,120
2019-10-10,14,132
2019-10-10,15,141
2019-10-10,16,141
2019-10-10,17,97
2019-10-10,18,72
2019-10-10,19,67
2019-10-10,20,44
2019-10-10,21,36
2019-10-10,22,16
2019-10-10,23,8
2019-10-11,0,0
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,0
2019-10-11,4,4
2019-10-11,5,21
2019-10-11,6,62
2019-10-11,7,115
2019-10-11,8,114
2019-10-11,9,96
2019-10-11,10,123
2019-10-11,11,114
2019-10-11,12,136
2019-10-11,13,145
2019-10-11,14,137
2019-10-11,15,141
2019-10-11,16,124
2019-10-11,17,88
2019-10-11,18,80
2019-10-11,19,52
2019-10-11,20,40
2019-10-11,21,31
2019-10-11,22,16
