date,time,flow
2019-10-01,0,13
2019-10-01,1,6
2019-10-01,2,8
2019-10-01,3,11
2019-10-01,4,182
2019-10-01,5,181
2019-10-01,6,96
2019-10-01,7,152
2019-10-01,8,132
2019-10-01,9,139
2019-10-01,10,122
2019-10-01,11,158
2019-10-01,12,141
2019-10-01,13,201
2019-10-01,14,202
2019-10-01,15,220
2019-10-01,16,210
2019-10-01,17,138
2019-10-01,18,163
2019-10-01,19,137
2019-10-01,20,229
2019-10-01,21,156
2019-10-01,22,238
2019-10-01,23,178
2019-10-02,0,60
2019-10-02,1,43
2019-10-02,2,51
2019-10-02,3,56
2019-10-02,4,178
2019-10-02,5,182
2019-10-02,6,116
2019-10-02,7,145
2019-10-02,8,153
2019-10-02,9,124
2019-10-02,10,130
2019-10-02,11,199
2019-10-02,12,154
2019-10-02,13,157
2019-10-02,14,175
2019-10-02,15,199
2019-10-02,16,226
2019-10-02,17,162
2019-10-02,18,139
2019-10-02,19,154
2019-10-02,20,178
2019-10-02,21,151
2019-10-02,22,156
2019-10-02,23,116
2019-10-03,0,38
2019-10-03,1,25
2019-10-03,2,27
2019-10-03,3,43
2019-10-03,4,105
2019-10-03,5,93
2019-10-03,6,80
2019-10-03,7,124
2019-10-03,8,109
2019-10-03,9,142
2019-10-03,10,130
2019-10-03,11,135
2019-10-03,12,176
2019-10-03,13,186
2019-10-03,14,190
2019-10-03,15,231
2019-10-03,16,232
2019-10-03,17,168
2019-10-03,18,155
2019-10-03,19,139
2019-10-03,20,80
2019-10-03,21,71
2019-10-03,22,218
2019-10-03,23,122
2019-10-04,0,65
2019-10-04,1,47
2019-10-04,2,42
2019-10-04,3,43
2019-10-04,4,41
2019-10-04,5,58
2019-10-04,6,91
2019-10-04,7,106
2019-10-04,8,120
2019-10-04,9,157
2019-10-04,10,123
2019-10-04,11,210
2019-10-04,12,151
2019-10-04,13,230
2019-10-04,14,181
2019-10-04,15,187
2019-10-04,16,192
2019-10-04,17,136
2019-10-04,18,153
2019-10-04,19,104
2019-10-04,20,93
2019-10-04,21,66
2019-10-04,22,43
2019-10-04,23,53
2019-10-05,0,122
2019-10-05,1,69
2019-10-05,2,79
2019-10-05,3,77
2019-10-05,4,53
2019-10-05,5,33
2019-10-05,6,42
2019-10-05,7,61
2019-10-05,8,71
2019-10-05,9,104
2019-10-05,10,129
2019-10-05,11,133
2019-10-05,12,102
2019-10-05,13,140
2019-10-05,14,154
2019-10-05,15,134
2019-10-05,16,134
2019-10-05,17,119
2019-10-05,18,148
2019-10-05,19,100
2019-10-05,20,114
2019-10-05,21,70
2019-10-05,22,71
2019-10-05,23,48
2019-10-06,0,32
2019-10-06,1,20
2019-10-06,2,20
2019-10-06,3,16
2019-10-06,4,11
2019-10-06,5,20
2019-10-06,6,25
2019-10-06,7,42
2019-10-06,8,49
2019-10-06,9,82
2019-10-06,10,91
2019-10-06,11,86
2019-10-06,12,126
2019-10-06,13,100
2019-10-06,14,131
2019-10-06,15,112
2019-10-06,16,118
2019-10-06,17,118
2019-10-06,18,100
2019-10-06,19,116
2019-10-06,20,75
2019-10-06,21,83
2019-10-06,22,45
2019-10-06,23,52
2019-10-07,0,10
2019-10-07,1,5
2019-10-07,2,10
2019-10-07,3,61
2019-10-07,4,215
2019-10-07,5,57
2019-10-07,6,84
2019-10-07,7,102
2019-10-07,8,128
2019-10-07,9,114
2019-10-07,10,97
2019-10-07,11,143
2019-10-07,12,149
2019-10-07,13,171
2019-10-07,14,170
2019-10-07,15,198
2019-10-07,16,210
2019-10-07,17,174
2019-10-07,18,166
2019-10-07,19,143
2019-10-07,20,98
2019-10-07,21,108
2019-10-07,22,45
2019-10-07,23,63
2019-10-08,0,17
2019-10-08,1,11
2019-10-08,2,11
2019-10-08,3,5
2019-10-08,4,15
2019-10-08,5,30
2019-10-08,6,88
2019-10-08,7,136
2019-10-08,8,132
2019-10-08,9,95
2019-10-08,10,121
2019-10-08,11,156
2019-10-08,12,134
2019-10-08,13,146
2019-10-08,14,169
2019-10-08,15,212
2019-10-08,16,227
2019-10-08,17,182
2019-10-08,18,138
2019-10-08,19,119
2019-10-08,20,108
2019-10-08,21,53
2019-10-08,22,44
2019-10-08,23,21
2019-10-09,0,11
2019-10-09,1,7
2019-10-09,2,12
2019-10-09,3,11
2019-10-09,4,15
2019-10-09,5,47
2019-10-09,6,84
2019-10-09,7,134
2019-10-09,8,189
2019-10-09,9,119
2019-10-09,10,143
2019-10-09,11,137
2019-10-09,12,167
2019-10-09,13,185
2019-10-09,14,174
2019-10-09,15,168
2019-10-09,16,183
2019-10-09,17,179
2019-10-09,18,147
2019-10-09,19,125
2019-10-09,20,140
2019-10-09,21,69
2019-10-09,22,191
2019-10-09,23,45
2019-10-10,0,7
2019-10-10,1,6
2019-10-10,2,10
2019-10-10,3,1
2019-10-10,4,58
2019-10-10,5,127
2019-10-10,6,79
2019-10-10,7,145
2019-10-10,8,152
2019-10-10,9,0
2019-10-10,10,0
2019-10-10,11,0
2019-10-10,12,0
2019-10-10,13,0
2019-10-10,14,0
2019-10-10,15,0
2019-10-10,16,150
2019-10-10,17,200
2019-10-10,18,149
2019-10-10,19,136
2019-10-10,20,88
2019-10-10,21,57
2019-10-10,22,45
2019-10-10,23,17
2019-10-11,0,15
2019-10-11,1,8
2019-10-11,2,6
2019-10-11,3,10
2019-10-11,4,28
2019-10-11,5,135
2019-10-11,6,73
2019-10-11,7,104
2019-10-11,8,128
2019-10-11,9,130
2019-10-11,10,145
2019-10-11,11,169
2019-10-11,12,183
2019-10-11,13,156
2019-10-11,14,153
2019-10-11,15,213
2019-10-11,16,248
2019-10-11,17,156
2019-10-11,18,149
2019-10-11,19,100
2019-10-11,20,82
2019-10-11,21,83
2019-10-11,22,51
2019-10-11,23,40
2019-10-12,0,25
2019-10-12,1,28
2019-10-12,2,19
2019-10-12,3,14
2019-10-12,4,199
2019-10-12,5,171
2019-10-12,6,36
2019-10-12,7,50
2019-10-12,8,83
2019-10-12,9,92
2019-10-12,10,103
2019-10-12,11,140
2019-10-12,12,155
2019-10-12,13,118
2019-10-12,14,142
2019-10-12,15,166
2019-10-12,16,143
2019-10-12,17,136
2019-10-12,18,135
2019-10-12,19,100
2019-10-12,20,82
2019-10-12,21,71
2019-10-12,22,45
2019-10-12,23,57
2019-10-13,0,104
2019-10-13,1,247
2019-10-13,2,225
2019-10-13,3,295
2019-10-13,4,242
2019-10-13,5,185
2019-10-13,6,35
2019-10-13,7,50
2019-10-13,8,52
2019-10-13,9,82
2019-10-13,10,77
2019-10-13,11,112
2019-10-13,12,115
2019-10-13,13,133
2019-10-13,14,139
2019-10-13,15,140
2019-10-13,16,104
2019-10-13,17,99
2019-10-13,18,91
2019-10-13,19,92
2019-10-13,20,53
2019-10-13,21,68
2019-10-13,22,31
2019-10-13,23,28
2019-10-14,0,8
2019-10-14,1,8
2019-10-14,2,3
2019-10-14,3,13
2019-10-14,4,16
2019-10-14,5,49
2019-10-14,6,81
2019-10-14,7,79
2019-10-14,8,94
2019-10-14,9,111
2019-10-14,10,127
2019-10-14,11,105
2019-10-14,12,145
2019-10-14,13,149
2019-10-14,14,168
2019-10-14,15,187
2019-10-14,16,179
2019-10-14,17,149
2019-10-14,18,110
2019-10-14,19,86
2019-10-14,20,61
2019-10-14,21,47
2019-10-14,22,27
2019-10-14,23,23
2019-10-15,0,12
2019-10-15,1,13
2019-10-15,2,7
2019-10-15,3,7
2019-10-15,4,12
2019-10-15,5,43
2019-10-15,6,69
2019-10-15,7,96
2019-10-15,8,113
2019-10-15,9,106
2019-10-15,10,121
2019-10-15,11,137
2019-10-15,12,131
