date,time,flow
2019-10-01,0,12
2019-10-01,1,8
2019-10-01,2,2
2019-10-01,3,8
2019-10-01,4,25
2019-10-01,5,52
2019-10-01,6,76
2019-10-01,7,132
2019-10-01,8,166
2019-10-01,9,119
2019-10-01,10,145
2019-10-01,11,143
2019-10-01,12,169
2019-10-01,13,168
2019-10-01,14,202
2019-10-01,15,247
2019-10-01,16,289
2019-10-01,17,254
2019-10-01,18,157
2019-10-01,19,142
2019-10-01,20,84
2019-10-01,21,65
2019-10-01,22,50
2019-10-01,23,37
2019-10-02,0,23
2019-10-02,1,12
2019-10-02,2,4
2019-10-02,3,50
2019-10-02,4,21
2019-10-02,5,44
2019-10-02,6,96
2019-10-02,7,134
2019-10-02,8,153
2019-10-02,9,134
2019-10-02,10,155
2019-10-02,11,148
2019-10-02,12,150
2019-10-02,13,155
2019-10-02,14,185
2019-10-02,15,223
2019-10-02,16,268
2019-10-02,17,217
2019-10-02,18,128
2019-10-02,19,127
2019-10-02,20,113
2019-10-02,21,119
2019-10-02,22,82
2019-10-02,23,30
2019-10-03,0,12
2019-10-03,1,12
2019-10-03,2,15
2019-10-03,3,18
2019-10-03,4,16
2019-10-03,5,38
2019-10-03,6,76
2019-10-03,7,138
2019-10-03,8,139
2019-10-03,9,148
2019-10-03,10,142
2019-10-03,11,147
2019-10-03,12,147
2019-10-03,13,175
2019-10-03,14,186
2019-10-03,15,220
2019-10-03,16,297
2019-10-03,17,251
2019-10-03,18,227
2019-10-03,19,147
2019-10-03,20,103
2019-10-03,21,148
2019-10-03,22,231
2019-10-03,23,57
2019-10-04,0,26
2019-10-04,1,12
2019-10-04,2,19
2019-10-04,3,12
2019-10-04,4,16
2019-10-04,5,45
2019-10-04,6,72
2019-10-04,7,132
2019-10-04,8,137
2019-10-04,9,135
2019-10-04,10,143
2019-10-04,11,166
2019-10-04,12,194
2019-10-04,13,210
2019-10-04,14,276
2019-10-04,15,243
2019-10-04,16,245
2019-10-04,17,247
2019-10-04,18,160
2019-10-04,19,131
2019-10-04,20,100
2019-10-04,21,73
2019-10-04,22,62
2019-10-04,23,54
2019-10-05,0,51
2019-10-05,1,36
2019-10-05,2,31
2019-10-05,3,28
2019-10-05,4,18
2019-10-05,5,21
2019-10-05,6,33
2019-10-05,7,51
2019-10-05,8,75
2019-10-05,9,96
2019-10-05,10,117
2019-10-05,11,137
2019-10-05,12,158
2019-10-05,13,164
2019-10-05,14,185
2019-10-05,15,167
2019-10-05,16,135
2019-10-05,17,143
2019-10-05,18,134
2019-10-05,19,107
2019-10-05,20,80
2019-10-05,21,69
2019-10-05,22,71
2019-10-05,23,56
2019-10-06,0,40
2019-10-06,1,28
2019-10-06,2,20
2019-10-06,3,16
2019-10-06,4,16
2019-10-06,5,16
2019-10-06,6,23
2019-10-06,7,36
2019-10-06,8,44
2019-10-06,9,79
2019-10-06,10,94
2019-10-06,11,97
2019-10-06,12,140
2019-10-06,13,125
2019-10-06,14,130
2019-10-06,15,133
2019-10-06,16,135
2019-10-06,17,142
2019-10-06,18,113
2019-10-06,19,88
2019-10-06,20,68
2019-10-06,21,53
2019-10-06,22,36
2019-10-06,23,26
2019-10-07,0,12
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,8
2019-10-07,4,34
2019-10-07,5,48
2019-10-07,6,74
2019-10-07,7,96
2019-10-07,8,124
2019-10-07,9,114
2019-10-07,10,81
2019-10-07,11,141
2019-10-07,12,120
2019-10-07,13,146
2019-10-07,14,180
2019-10-07,15,201
2019-10-07,16,245
2019-10-07,17,167
2019-10-07,18,121
2019-10-07,19,123
2019-10-07,20,66
2019-10-07,21,58
2019-10-07,22,40
2019-10-07,23,22
2019-10-08,0,7
2019-10-08,1,3
2019-10-08,2,1
2019-10-08,3,3
