date,time,flow
2019-10-01,0,5
2019-10-01,1,2
2019-10-01,2,8
2019-10-01,3,5
2019-10-01,4,19
2019-10-01,5,55
2019-10-01,6,153
2019-10-01,7,233
2019-10-01,8,211
2019-10-01,9,136
2019-10-01,10,164
2019-10-01,11,180
2019-10-01,12,193
2019-10-01,13,159
2019-10-01,14,166
2019-10-01,15,176
2019-10-01,16,183
2019-10-01,17,152
2019-10-01,18,140
2019-10-01,19,68
2019-10-01,20,69
2019-10-01,21,42
2019-10-01,22,24
2019-10-01,23,14
2019-10-02,0,10
2019-10-02,1,5
2019-10-02,2,7
2019-10-02,3,16
2019-10-02,4,19
2019-10-02,5,41
2019-10-02,6,147
2019-10-02,7,232
2019-10-02,8,193
2019-10-02,9,127
2019-10-02,10,184
2019-10-02,11,164
2019-10-02,12,134
2019-10-02,13,193
2019-10-02,14,185
2019-10-02,15,166
2019-10-02,16,163
2019-10-02,17,162
2019-10-02,18,151
2019-10-02,19,71
2019-10-02,20,74
2019-10-02,21,42
2019-10-02,22,32
2019-10-02,23,14
2019-10-03,0,4
2019-10-03,1,2
2019-10-03,2,4
2019-10-03,3,15
2019-10-03,4,16
2019-10-03,5,65
2019-10-03,6,174
2019-10-03,7,196
2019-10-03,8,200
2019-10-03,9,134
2019-10-03,10,144
2019-10-03,11,152
2019-10-03,12,184
2019-10-03,13,185
2019-10-03,14,151
2019-10-03,15,160
2019-10-03,16,200
2019-10-03,17,284
2019-10-03,18,266
2019-10-03,19,69
2019-10-03,20,82
2019-10-03,21,40
2019-10-03,22,32
2019-10-03,23,15
2019-10-04,0,15
2019-10-04,1,2
2019-10-04,2,4
2019-10-04,3,10
2019-10-04,4,20
2019-10-04,5,57
2019-10-04,6,161
2019-10-04,7,230
2019-10-04,8,168
2019-10-04,9,149
2019-10-04,10,184
2019-10-04,11,206
2019-10-04,12,164
2019-10-04,13,168
2019-10-04,14,189
2019-10-04,15,178
2019-10-04,16,153
2019-10-04,17,160
2019-10-04,18,119
2019-10-04,19,84
2019-10-04,20,64
2019-10-04,21,46
2019-10-04,22,30
2019-10-04,23,22
2019-10-05,0,18
2019-10-05,1,11
2019-10-05,2,13
2019-10-05,3,9
2019-10-05,4,10
2019-10-05,5,18
2019-10-05,6,43
2019-10-05,7,57
2019-10-05,8,138
2019-10-05,9,159
2019-10-05,10,176
2019-10-05,11,175
2019-10-05,12,154
2019-10-05,13,185
2019-10-05,14,140
2019-10-05,15,129
2019-10-05,16,146
2019-10-05,17,127
2019-10-05,18,96
2019-10-05,19,58
2019-10-05,20,46
2019-10-05,21,39
2019-10-05,22,40
2019-10-05,23,26
2019-10-06,0,20
2019-10-06,1,11
2019-10-06,2,7
2019-10-06,3,11
2019-10-06,4,9
2019-10-06,5,24
2019-10-06,6,16
2019-10-06,7,38
2019-10-06,8,54
2019-10-06,9,116
2019-10-06,10,147
2019-10-06,11,120
2019-10-06,12,160
2019-10-06,13,189
2019-10-06,14,122
2019-10-06,15,95
2019-10-06,16,84
2019-10-06,17,90
2019-10-06,18,78
2019-10-06,19,81
2019-10-06,20,53
2019-10-06,21,38
2019-10-06,22,25
2019-10-06,23,16
2019-10-07,0,4
2019-10-07,1,6
2019-10-07,2,5
2019-10-07,3,6
2019-10-07,4,18
2019-10-07,5,45
2019-10-07,6,136
2019-10-07,7,178
2019-10-07,8,177
2019-10-07,9,132
2019-10-07,10,93
2019-10-07,11,142
2019-10-07,12,174
2019-10-07,13,126
2019-10-07,14,161
2019-10-07,15,159
2019-10-07,16,140
2019-10-07,17,160
2019-10-07,18,101
2019-10-07,19,69
2019-10-07,20,63
2019-10-07,21,38
2019-10-07,22,16
2019-10-07,23,9
2019-10-08,0,2
2019-10-08,1,10
2019-10-08,2,9
2019-10-08,3,5
2019-10-08,4,17
2019-10-08,5,52
2019-10-08,6,159
2019-10-08,7,224
2019-10-08,8,189
2019-10-08,9,127
2019-10-08,10,160
2019-10-08,11,139
2019-10-08,12,146
2019-10-08,13,144
2019-10-08,14,159
2019-10-08,15,149
2019-10-08,16,158
2019-10-08,17,176
2019-10-08,18,141
2019-10-08,19,70
2019-10-08,20,65
2019-10-08,21,47
2019-10-08,22,16
2019-10-08,23,6
2019-10-09,0,9
2019-10-09,1,9
2019-10-09,2,1
2019-10-09,3,12
2019-10-09,4,19
2019-10-09,5,53
2019-10-09,6,155
2019-10-09,7,232
2019-10-09,8,231
2019-10-09,9,141
2019-10-09,10,172
2019-10-09,11,141
2019-10-09,12,160
2019-10-09,13,142
2019-10-09,14,171
2019-10-09,15,165
2019-10-09,16,171
2019-10-09,17,157
2019-10-09,18,132
2019-10-09,19,83
2019-10-09,20,67
2019-10-09,21,48
2019-10-09,22,19
2019-10-09,23,13
2019-10-10,0,8
2019-10-10,1,9
2019-10-10,2,7
2019-10-10,3,9
2019-10-10,4,17
2019-10-10,5,66
2019-10-10,6,154
2019-10-10,7,228
2019-10-10,8,191
2019-10-10,9,140
2019-10-10,10,155
2019-10-10,11,148
2019-10-10,12,169
2019-10-10,13,171
2019-10-10,14,153
2019-10-10,15,174
2019-10-10,16,167
2019-10-10,17,144
2019-10-10,18,160
2019-10-10,19,85
2019-10-10,20,74
2019-10-10,21,44
2019-10-10,22,24
2019-10-10,23,14
2019-10-11,0,8
2019-10-11,1,11
2019-10-11,2,5
2019-10-11,3,8
2019-10-11,4,22
2019-10-11,5,48
2019-10-11,6,145
2019-10-11,7,190
2019-10-11,8,182
2019-10-11,9,172
2019-10-11,10,158
2019-10-11,11,157
2019-10-11,12,155
2019-10-11,13,191
2019-10-11,14,186
2019-10-11,15,201
2019-10-11,16,168
2019-10-11,17,163
2019-10-11,18,169
2019-10-11,19,71
2019-10-11,20,66
2019-10-11,21,47
2019-10-11,22,33
2019-10-11,23,24
2019-10-12,0,11
2019-10-12,1,19
2019-10-12,2,20
2019-10-12,3,13
2019-10-12,4,7
2019-10-12,5,18
2019-10-12,6,42
2019-10-12,7,58
2019-10-12,8,111
2019-10-12,9,151
2019-10-12,10,162
2019-10-12,11,206
2019-10-12,12,177
2019-10-12,13,160
2019-10-12,14,159
2019-10-12,15,146
2019-10-12,16,122
2019-10-12,17,116
2019-10-12,18,93
2019-10-12,19,60
2019-10-12,20,56
2019-10-12,21,37
2019-10-12,22,40
2019-10-12,23,30
2019-10-13,0,18
2019-10-13,1,14
2019-10-13,2,11
2019-10-13,3,5
2019-10-13,4,12
2019-10-13,5,20
2019-10-13,6,25
2019-10-13,7,35
2019-10-13,8,60
2019-10-13,9,117
2019-10-13,10,135
2019-10-13,11,136
2019-10-13,12,174
2019-10-13,13,147
2019-10-13,14,154
2019-10-13,15,128
2019-10-13,16,113
2019-10-13,17,100
2019-10-13,18,94
2019-10-13,19,64
2019-10-13,20,46
2019-10-13,21,37
2019-10-13,22,24
2019-10-13,23,14
2019-10-14,0,5
2019-10-14,1,8
