date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,2
2019-10-01,3,0
2019-10-01,4,3
2019-10-01,5,20
2019-10-01,6,50
2019-10-01,7,64
2019-10-01,8,114
2019-10-01,9,38
2019-10-01,10,55
2019-10-01,11,57
2019-10-01,12,73
2019-10-01,13,73
2019-10-01,14,75
2019-10-01,15,90
2019-10-01,16,74
2019-10-01,17,45
2019-10-01,18,22
2019-10-01,19,18
2019-10-01,20,10
2019-10-01,21,27
2019-10-01,22,23
2019-10-01,23,1
2019-10-02,0,2
2019-10-02,1,1
2019-10-02,2,3
2019-10-02,3,4
2019-10-02,4,3
2019-10-02,5,11
2019-10-02,6,56
2019-10-02,7,50
2019-10-02,8,115
2019-10-02,9,43
2019-10-02,10,72
2019-10-02,11,67
2019-10-02,12,52
2019-10-02,13,78
2019-10-02,14,102
2019-10-02,15,93
2019-10-02,16,88
2019-10-02,17,36
2019-10-02,18,23
2019-10-02,19,11
2019-10-02,20,12
2019-10-02,21,6
2019-10-02,22,9
2019-10-02,23,4
2019-10-03,0,0
2019-10-03,1,1
2019-10-03,2,0
2019-10-03,3,3
2019-10-03,4,4
2019-10-03,5,16
2019-10-03,6,45
2019-10-03,7,56
2019-10-03,8,94
2019-10-03,9,44
2019-10-03,10,62
2019-10-03,11,74
2019-10-03,12,75
2019-10-03,13,68
2019-10-03,14,84
2019-10-03,15,96
2019-10-03,16,86
2019-10-03,17,137
2019-10-03,18,153
2019-10-03,19,12
2019-10-03,20,17
2019-10-03,21,5
2019-10-03,22,11
2019-10-03,23,3
2019-10-04,0,1
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,2
2019-10-04,4,7
2019-10-04,5,20
2019-10-04,6,41
2019-10-04,7,61
2019-10-04,8,65
2019-10-04,9,47
2019-10-04,10,98
2019-10-04,11,86
2019-10-04,12,83
2019-10-04,13,68
2019-10-04,14,105
2019-10-04,15,100
2019-10-04,16,75
2019-10-04,17,38
2019-10-04,18,34
2019-10-04,19,24
2019-10-04,20,16
2019-10-04,21,12
2019-10-04,22,11
2019-10-04,23,6
2019-10-05,0,3
2019-10-05,1,1
2019-10-05,2,2
2019-10-05,3,1
2019-10-05,4,5
2019-10-05,5,7
2019-10-05,6,12
2019-10-05,7,17
2019-10-05,8,44
2019-10-05,9,51
2019-10-05,10,58
2019-10-05,11,67
2019-10-05,12,57
2019-10-05,13,75
2019-10-05,14,57
2019-10-05,15,54
2019-10-05,16,24
2019-10-05,17,25
2019-10-05,18,18
2019-10-05,19,14
2019-10-05,20,10
2019-10-05,21,8
2019-10-05,22,9
2019-10-05,23,5
2019-10-06,0,5
2019-10-06,1,1
2019-10-06,2,2
2019-10-06,3,2
2019-10-06,4,0
2019-10-06,5,5
2019-10-06,6,4
2019-10-06,7,16
2019-10-06,8,16
2019-10-06,9,35
2019-10-06,10,39
2019-10-06,11,28
2019-10-06,12,44
2019-10-06,13,109
2019-10-06,14,36
2019-10-06,15,26
2019-10-06,16,24
2019-10-06,17,29
2019-10-06,18,26
2019-10-06,19,32
2019-10-06,20,12
2019-10-06,21,13
2019-10-06,22,5
2019-10-06,23,4
2019-10-07,0,2
2019-10-07,1,5
2019-10-07,2,2
2019-10-07,3,1
2019-10-07,4,8
2019-10-07,5,8
2019-10-07,6,44
2019-10-07,7,54
2019-10-07,8,71
2019-10-07,9,52
2019-10-07,10,38
2019-10-07,11,75
2019-10-07,12,63
2019-10-07,13,47
2019-10-07,14,68
2019-10-07,15,85
2019-10-07,16,96
2019-10-07,17,58
2019-10-07,18,44
2019-10-07,19,31
2019-10-07,20,18
2019-10-07,21,16
2019-10-07,22,8
2019-10-07,23,4
2019-10-08,0,1
2019-10-08,1,7
2019-10-08,2,2
2019-10-08,3,0
2019-10-08,4,4
2019-10-08,5,19
2019-10-08,6,53
2019-10-08,7,51
2019-10-08,8,120
2019-10-08,9,60
2019-10-08,10,65
2019-10-08,11,82
2019-10-08,12,58
2019-10-08,13,77
2019-10-08,14,85
2019-10-08,15,90
2019-10-08,16,85
2019-10-08,17,59
2019-10-08,18,52
2019-10-08,19,21
2019-10-08,20,10
2019-10-08,21,12
2019-10-08,22,12
2019-10-08,23,2
2019-10-09,0,4
2019-10-09,1,3
2019-10-09,2,0
2019-10-09,3,4
2019-10-09,4,6
2019-10-09,5,16
2019-10-09,6,48
2019-10-09,7,41
2019-10-09,8,131
2019-10-09,9,65
2019-10-09,10,91
2019-10-09,11,57
2019-10-09,12,81
2019-10-09,13,51
2019-10-09,14,75
2019-10-09,15,93
2019-10-09,16,92
2019-10-09,17,33
2019-10-09,18,34
2019-10-09,19,22
2019-10-09,20,12
2019-10-09,21,8
2019-10-09,22,4
2019-10-09,23,2
2019-10-10,0,2
2019-10-10,1,1
2019-10-10,2,2
2019-10-10,3,1
2019-10-10,4,1
2019-10-10,5,21
2019-10-10,6,37
2019-10-10,7,60
2019-10-10,8,93
2019-10-10,9,60
2019-10-10,10,61
2019-10-10,11,66
2019-10-10,12,69
2019-10-10,13,71
2019-10-10,14,57
2019-10-10,15,85
2019-10-10,16,63
2019-10-10,17,48
2019-10-10,18,24
2019-10-10,19,19
2019-10-10,20,14
2019-10-10,21,4
2019-10-10,22,5
2019-10-10,23,0
2019-10-11,0,2
2019-10-11,1,4
2019-10-11,2,1
2019-10-11,3,2
2019-10-11,4,5
2019-10-11,5,17
2019-10-11,6,44
2019-10-11,7,67
2019-10-11,8,58
2019-10-11,9,62
2019-10-11,10,86
2019-10-11,11,73
2019-10-11,12,85
2019-10-11,13,85
2019-10-11,14,110
2019-10-11,15,116
2019-10-11,16,85
2019-10-11,17,74
2019-10-11,18,99
2019-10-11,19,35
2019-10-11,20,31
2019-10-11,21,11
2019-10-11,22,10
