date,time,flow
2019-10-01,0,13
2019-10-01,1,4
2019-10-01,2,26
2019-10-01,3,13
2019-10-01,4,21
2019-10-01,5,36
2019-10-01,6,67
2019-10-01,7,119
2019-10-01,8,137
2019-10-01,9,167
2019-10-01,10,145
2019-10-01,11,141
2019-10-01,12,146
2019-10-01,13,176
2019-10-01,14,189
2019-10-01,15,197
2019-10-01,16,188
2019-10-01,17,160
2019-10-01,18,120
2019-10-01,19,105
2019-10-01,20,57
2019-10-01,21,70
2019-10-01,22,21
2019-10-01,23,21
2019-10-02,0,8
2019-10-02,1,5
2019-10-02,2,13
2019-10-02,3,26
2019-10-02,4,4
2019-10-02,5,26
2019-10-02,6,58
2019-10-02,7,116
2019-10-02,8,162
2019-10-02,9,181
2019-10-02,10,132
2019-10-02,11,155
2019-10-02,12,155
2019-10-02,13,168
2019-10-02,14,176
2019-10-02,15,198
2019-10-02,16,188
2019-10-02,17,162
2019-10-02,18,137
2019-10-02,19,110
2019-10-02,20,92
2019-10-02,21,45
2019-10-02,22,35
2019-10-02,23,38
2019-10-03,0,34
2019-10-03,1,9
2019-10-03,2,0
2019-10-03,3,31
2019-10-03,4,17
2019-10-03,5,31
2019-10-03,6,67
2019-10-03,7,110
2019-10-03,8,137
2019-10-03,9,159
2019-10-03,10,156
2019-10-03,11,207
2019-10-03,12,161
2019-10-03,13,176
2019-10-03,14,214
2019-10-03,15,181
2019-10-03,16,179
2019-10-03,17,184
2019-10-03,18,168
2019-10-03,19,119
2019-10-03,20,62
2019-10-03,21,83
2019-10-03,22,61
2019-10-03,23,18
2019-10-04,0,12
2019-10-04,1,22
2019-10-04,2,22
2019-10-04,3,4
2019-10-04,4,17
2019-10-04,5,21
2019-10-04,6,66
2019-10-04,7,97
2019-10-04,8,155
2019-10-04,9,180
2019-10-04,10,149
2019-10-04,11,217
2019-10-04,12,177
2019-10-04,13,189
2019-10-04,14,193
2019-10-04,15,191
2019-10-04,16,190
2019-10-04,17,166
2019-10-04,18,164
2019-10-04,19,115
2019-10-04,20,57
2019-10-04,21,79
2019-10-04,22,53
2019-10-04,23,43
2019-10-05,0,38
2019-10-05,1,22
2019-10-05,2,39
2019-10-05,3,31
2019-10-05,4,21
2019-10-05,5,10
2019-10-05,6,16
2019-10-05,7,49
2019-10-05,8,53
2019-10-05,9,113
2019-10-05,10,136
2019-10-05,11,151
2019-10-05,12,172
2019-10-05,13,150
2019-10-05,14,146
2019-10-05,15,154
2019-10-05,16,146
2019-10-05,17,127
2019-10-05,18,102
2019-10-05,19,75
2019-10-05,20,75
2019-10-05,21,44
2019-10-05,22,66
2019-10-05,23,36
2019-10-06,0,62
2019-10-06,1,31
2019-10-06,2,17
2019-10-06,3,17
2019-10-06,4,25
2019-10-06,5,4
2019-10-06,6,22
2019-10-06,7,45
2019-10-06,8,49
2019-10-06,9,92
2019-10-06,10,142
2019-10-06,11,128
2019-10-06,12,147
2019-10-06,13,199
2019-10-06,14,124
2019-10-06,15,128
2019-10-06,16,128
2019-10-06,17,139
2019-10-06,18,88
2019-10-06,19,122
2019-10-06,20,78
2019-10-06,21,71
2019-10-06,22,67
2019-10-06,23,44
2019-10-07,0,18
2019-10-07,1,12
2019-10-07,2,8
2019-10-07,3,4
2019-10-07,4,25
2019-10-07,5,45
2019-10-07,6,97
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,31
2019-10-07,11,159
2019-10-07,12,197
2019-10-07,13,181
2019-10-07,14,159
2019-10-07,15,192
2019-10-07,16,188
2019-10-07,17,173
2019-10-07,18,110
2019-10-07,19,97
2019-10-07,20,88
2019-10-07,21,57
2019-10-07,22,35
2019-10-07,23,26
2019-10-08,0,18
2019-10-08,1,4
2019-10-08,2,26
2019-10-08,3,8
2019-10-08,4,31
2019-10-08,5,36
2019-10-08,6,71
2019-10-08,7,128
2019-10-08,8,154
2019-10-08,9,162
2019-10-08,10,124
2019-10-08,11,138
2019-10-08,12,133
2019-10-08,13,186
2019-10-08,14,194
2019-10-08,15,188
2019-10-08,16,200
2019-10-08,17,168
2019-10-08,18,128
2019-10-08,19,109
2019-10-08,20,57
2019-10-08,21,71
2019-10-08,22,31
2019-10-08,23,12
2019-10-09,0,8
2019-10-09,1,4
2019-10-09,2,9
2019-10-09,3,17
2019-10-09,4,4
2019-10-09,5,26
2019-10-09,6,58
2019-10-09,7,120
2019-10-09,8,164
2019-10-09,9,191
2019-10-09,10,137
2019-10-09,11,181
2019-10-09,12,153
2019-10-09,13,168
2019-10-09,14,184
2019-10-09,15,188
2019-10-09,16,182
2019-10-09,17,180
2019-10-09,18,141
2019-10-09,19,115
2019-10-09,20,101
2019-10-09,21,44
2019-10-09,22,27
2019-10-09,23,22
2019-10-10,0,21
2019-10-10,1,9
2019-10-10,2,0
2019-10-10,3,22
2019-10-10,4,16
2019-10-10,5,31
2019-10-10,6,58
2019-10-10,7,110
2019-10-10,8,158
2019-10-10,9,149
2019-10-10,10,156
2019-10-10,11,176
2019-10-10,12,168
2019-10-10,13,168
2019-10-10,14,200
2019-10-10,15,187
2019-10-10,16,166
2019-10-10,17,173
2019-10-10,18,157
2019-10-10,19,96
2019-10-10,20,53
2019-10-10,21,44
2019-10-10,22,48
2019-10-10,23,18
2019-10-11,0,13
2019-10-11,1,17
2019-10-11,2,22
2019-10-11,3,4
2019-10-11,4,17
2019-10-11,5,26
2019-10-11,6,58
2019-10-11,7,101
2019-10-11,8,154
2019-10-11,9,159
2019-10-11,10,151
