date,time,flow
2019-10-01,0,9
2019-10-01,1,4
2019-10-01,2,0
2019-10-01,3,4
2019-10-01,4,16
2019-10-01,5,31
2019-10-01,6,73
2019-10-01,7,300
2019-10-01,8,282
2019-10-01,9,235
2019-10-01,10,301
2019-10-01,11,267
2019-10-01,12,285
2019-10-01,13,246
2019-10-01,14,248
2019-10-01,15,266
2019-10-01,16,283
2019-10-01,17,293
2019-10-01,18,243
2019-10-01,19,234
2019-10-01,20,148
2019-10-01,21,112
2019-10-01,22,58
2019-10-01,23,30
2019-10-02,0,16
2019-10-02,1,4
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,8
2019-10-02,5,21
2019-10-02,6,62
2019-10-02,7,237
2019-10-02,8,252
2019-10-02,9,255
2019-10-02,10,311
2019-10-02,11,290
2019-10-02,12,309
2019-10-02,13,242
2019-10-02,14,276
2019-10-02,15,215
2019-10-02,16,250
2019-10-02,17,293
2019-10-02,18,258
2019-10-02,19,194
2019-10-02,20,129
2019-10-02,21,71
2019-10-02,22,40
2019-10-02,23,17
2019-10-03,0,8
2019-10-03,1,8
2019-10-03,2,4
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,39
2019-10-03,6,72
2019-10-03,7,222
2019-10-03,8,248
2019-10-03,9,273
2019-10-03,10,282
2019-10-03,11,292
2019-10-03,12,279
2019-10-03,13,251
2019-10-03,14,290
2019-10-03,15,271
2019-10-03,16,241
2019-10-03,17,224
2019-10-03,18,198
2019-10-03,19,219
2019-10-03,20,149
2019-10-03,21,149
2019-10-03,22,80
2019-10-03,23,36
2019-10-04,0,16
2019-10-04,1,16
2019-10-04,2,12
2019-10-04,3,4
2019-10-04,4,8
2019-10-04,5,21
2019-10-04,6,71
2019-10-04,7,247
2019-10-04,8,237
2019-10-04,9,251
2019-10-04,10,272
2019-10-04,11,268
2019-10-04,12,268
2019-10-04,13,241
2019-10-04,14,233
2019-10-04,15,245
2019-10-04,16,284
2019-10-04,17,301
2019-10-04,18,295
2019-10-04,19,240
2019-10-04,20,146
2019-10-04,21,119
2019-10-04,22,58
2019-10-04,23,74
2019-10-05,0,28
2019-10-05,1,17
2019-10-05,2,21
2019-10-05,3,12
2019-10-05,4,8
2019-10-05,5,16
2019-10-05,6,31
2019-10-05,7,54
2019-10-05,8,181
2019-10-05,9,207
2019-10-05,10,273
2019-10-05,11,317
2019-10-05,12,313
2019-10-05,13,268
2019-10-05,14,320
2019-10-05,15,321
2019-10-05,16,251
2019-10-05,17,218
2019-10-05,18,226
2019-10-05,19,222
2019-10-05,20,119
2019-10-05,21,106
2019-10-05,22,62
2019-10-05,23,48
2019-10-06,0,44
2019-10-06,1,28
2019-10-06,2,31
2019-10-06,3,21
2019-10-06,4,12
2019-10-06,5,16
2019-10-06,6,16
2019-10-06,7,34
2019-10-06,8,53
2019-10-06,9,139
2019-10-06,10,237
2019-10-06,11,226
2019-10-06,12,233
2019-10-06,13,252
2019-10-06,14,196
2019-10-06,15,208
2019-10-06,16,255
2019-10-06,17,247
2019-10-06,18,174
2019-10-06,19,178
2019-10-06,20,121
2019-10-06,21,87
2019-10-06,22,28
2019-10-06,23,26
2019-10-07,0,8
2019-10-07,1,8
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,4
2019-10-07,5,26
2019-10-07,6,80
2019-10-07,7,236
2019-10-07,8,247
2019-10-07,9,274
2019-10-07,10,216
2019-10-07,11,308
2019-10-07,12,278
2019-10-07,13,296
2019-10-07,14,299
2019-10-07,15,325
2019-10-07,16,323
2019-10-07,17,314
2019-10-07,18,266
2019-10-07,19,189
2019-10-07,20,150
2019-10-07,21,67
2019-10-07,22,39
2019-10-07,23,21
2019-10-08,0,9
2019-10-08,1,0
2019-10-08,2,0
2019-10-08,3,0
2019-10-08,4,8
2019-10-08,5,26
2019-10-08,6,68
2019-10-08,7,286
2019-10-08,8,277
2019-10-08,9,257
2019-10-08,10,285
2019-10-08,11,298
2019-10-08,12,242
2019-10-08,13,263
2019-10-08,14,235
2019-10-08,15,274
2019-10-08,16,264
2019-10-08,17,290
2019-10-08,18,251
2019-10-08,19,250
2019-10-08,20,143
2019-10-08,21,109
2019-10-08,22,53
2019-10-08,23,30
2019-10-09,0,12
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,4
2019-10-09,4,4
2019-10-09,5,21
2019-10-09,6,66
2019-10-09,7,235
2019-10-09,8,283
2019-10-09,9,259
2019-10-09,10,268
2019-10-09,11,237
2019-10-09,12,276
2019-10-09,13,236
2019-10-09,14,284
2019-10-09,15,250
2019-10-09,16,243
2019-10-09,17,298
2019-10-09,18,244
2019-10-09,19,176
2019-10-09,20,133
2019-10-09,21,66
2019-10-09,22,36
2019-10-09,23,16
2019-10-10,0,8
2019-10-10,1,8
2019-10-10,2,4
2019-10-10,3,0
2019-10-10,4,8
2019-10-10,5,43
2019-10-10,6,68
2019-10-10,7,223
2019-10-10,8,247
2019-10-10,9,271
2019-10-10,10,283
2019-10-10,11,281
2019-10-10,12,316
2019-10-10,13,267
2019-10-10,14,272
2019-10-10,15,277
2019-10-10,16,249
2019-10-10,17,241
2019-10-10,18,297
2019-10-10,19,221
2019-10-10,20,138
2019-10-10,21,84
2019-10-10,22,44
2019-10-10,23,27
2019-10-11,0,16
2019-10-11,1,12
2019-10-11,2,12
2019-10-11,3,8
2019-10-11,4,12
2019-10-11,5,22
2019-10-11,6,72
2019-10-11,7,246
2019-10-11,8,212
2019-10-11,9,259
2019-10-11,10,249
2019-10-11,11,226
2019-10-11,12,275
2019-10-11,13,240
2019-10-11,14,228
2019-10-11,15,248
2019-10-11,16,278
2019-10-11,17,312
2019-10-11,18,294
2019-10-11,19,220
2019-10-11,20,153
2019-10-11,21,119
2019-10-11,22,53
2019-10-11,23,69
2019-10-12,0,27
2019-10-12,1,16
2019-10-12,2,21
2019-10-12,3,16
2019-10-12,4,8
2019-10-12,5,16
2019-10-12,6,21
2019-10-12,7,54
2019-10-12,8,163
2019-10-12,9,202
2019-10-12,10,252
2019-10-12,11,309
2019-10-12,12,292
2019-10-12,13,302
2019-10-12,14,318
2019-10-12,15,329
2019-10-12,16,256
2019-10-12,17,232
2019-10-12,18,218
2019-10-12,19,205
2019-10-12,20,119
2019-10-12,21,107
2019-10-12,22,63
2019-10-12,23,44
2019-10-13,0,40
2019-10-13,1,23
2019-10-13,2,27
2019-10-13,3,21
2019-10-13,4,12
2019-10-13,5,16
2019-10-13,6,16
2019-10-13,7,26
2019-10-13,8,53
2019-10-13,9,143
2019-10-13,10,242
2019-10-13,11,251
2019-10-13,12,256
2019-10-13,13,280
2019-10-13,14,218
2019-10-13,15,238
2019-10-13,16,268
2019-10-13,17,230
2019-10-13,18,201
2019-10-13,19,171
2019-10-13,20,136
2019-10-13,21,88
2019-10-13,22,28
2019-10-13,23,22
2019-10-14,0,12
2019-10-14,1,17
2019-10-14,2,0
2019-10-14,3,0
2019-10-14,4,4
2019-10-14,5,21
2019-10-14,6,66
2019-10-14,7,216
2019-10-14,8,220
2019-10-14,9,266
2019-10-14,10,288
2019-10-14,11,271
2019-10-14,12,314
2019-10-14,13,293
2019-10-14,14,283
2019-10-14,15,308
2019-10-14,16,306
2019-10-14,17,302
2019-10-14,18,233
2019-10-14,19,193
2019-10-14,20,150
2019-10-14,21,71
2019-10-14,22,35
2019-10-14,23,26
2019-10-15,0,0
2019-10-15,1,0
2019-10-15,2,0
2019-10-15,3,0
2019-10-15,4,8
2019-10-15,5,26
2019-10-15,6,58
2019-10-15,7,257
2019-10-15,8,252
2019-10-15,9,221
2019-10-15,10,273
2019-10-15,11,269
2019-10-15,12,285
2019-10-15,13,270
2019-10-15,14,248
2019-10-15,15,243
2019-10-15,16,272
2019-10-15,17,261
2019-10-15,18,226
2019-10-15,19,229
2019-10-15,20,138
2019-10-15,21,103
2019-10-15,22,58
2019-10-15,23,34
2019-10-16,0,12
2019-10-16,1,4
2019-10-16,2,4
2019-10-16,3,4
2019-10-16,4,8
2019-10-16,5,21
2019-10-16,6,58
2019-10-16,7,207
2019-10-16,8,222
2019-10-16,9,220
2019-10-16,10,286
2019-10-16,11,192
2019-10-16,12,286
2019-10-16,13,227
2019-10-16,14,249
2019-10-16,15,261
2019-10-16,16,242
2019-10-16,17,273
2019-10-16,18,255
2019-10-16,19,176
2019-11-20,12,276
2019-11-20,13,340
2019-11-20,14,255
2019-11-20,15,261
2019-11-20,16,265
2019-11-20,17,259
2019-11-20,18,278
2019-11-20,19,270
2019-11-20,20,177
2019-11-20,21,129
2019-11-20,22,72
2019-11-20,23,40
2019-11-21,0,26
2019-11-21,1,8
2019-11-21,2,13
2019-11-21,3,8
2019-11-21,4,8
2019-11-21,5,8
2019-11-21,6,43
2019-11-21,7,80
2019-11-21,8,227
2019-11-21,9,260
2019-11-21,10,280
2019-11-21,11,299
2019-11-21,12,260
2019-11-21,13,328
2019-11-21,14,238
2019-11-21,15,248
2019-11-21,16,256
2019-11-21,17,224
2019-11-21,18,233
2019-11-21,19,311
2019-11-21,20,221
2019-11-21,21,138
2019-11-21,22,97
2019-11-21,23,44
2019-11-22,0,31
2019-11-22,1,16
2019-11-22,2,16
2019-11-22,3,16
2019-11-22,4,12
2019-11-22,5,16
2019-11-22,6,26
2019-11-22,7,72
2019-11-22,8,255
2019-11-22,9,238
2019-11-22,10,286
2019-11-22,11,248
2019-11-22,12,305
2019-11-22,13,311
2019-11-22,14,275
2019-11-22,15,264
2019-11-22,16,281
2019-11-22,17,296
2019-11-22,18,298
2019-11-22,19,304
2019-11-22,20,224
