date,time,flow
2019-10-01,0,12
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,8
2019-10-01,4,16
2019-10-01,5,32
2019-10-01,6,92
2019-10-01,7,137
2019-10-01,8,154
2019-10-01,9,115
2019-10-01,10,128
2019-10-01,11,141
2019-10-01,12,133
2019-10-01,13,142
2019-10-01,14,126
2019-10-01,15,102
2019-10-01,16,101
2019-10-01,17,94
2019-10-01,18,110
2019-10-01,19,60
2019-10-01,20,45
2019-10-01,21,35
2019-10-01,22,16
2019-10-01,23,12
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,4
2019-10-02,4,16
2019-10-02,5,36
2019-10-02,6,87
2019-10-02,7,122
2019-10-02,8,149
2019-10-02,9,124
2019-10-02,10,128
2019-10-02,11,112
2019-10-02,12,119
2019-10-02,13,122
2019-10-02,14,149
2019-10-02,15,119
2019-10-02,16,110
2019-10-02,17,106
2019-10-02,18,88
2019-10-02,19,67
2019-10-02,20,57
2019-10-02,21,39
2019-10-02,22,30
2019-10-02,23,20
2019-10-03,0,12
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,4
2019-10-03,4,12
2019-10-03,5,36
2019-10-03,6,97
2019-10-03,7,146
2019-10-03,8,149
2019-10-03,9,126
2019-10-03,10,118
2019-10-03,11,125
2019-10-03,12,126
2019-10-03,13,102
2019-10-03,14,121
2019-10-03,15,125
2019-10-03,16,125
2019-10-03,17,125
2019-10-03,18,154
2019-10-03,19,90
2019-10-03,20,53
2019-10-03,21,46
2019-10-03,22,41
2019-10-03,23,17
2019-10-04,0,16
2019-10-04,1,12
2019-10-04,2,4
2019-10-04,3,4
2019-10-04,4,12
2019-10-04,5,31
2019-10-04,6,88
2019-10-04,7,122
2019-10-04,8,158
2019-10-04,9,149
2019-10-04,10,140
2019-10-04,11,154
2019-10-04,12,146
2019-10-04,13,144
2019-10-04,14,137
2019-10-04,15,127
2019-10-04,16,102
2019-10-04,17,118
2019-10-04,18,92
2019-10-04,19,75
2019-10-04,20,61
2019-10-04,21,45
2019-10-04,22,31
2019-10-04,23,26
2019-10-05,0,24
2019-10-05,1,8
2019-10-05,2,12
2019-10-05,3,8
2019-10-05,4,4
2019-10-05,5,20
2019-10-05,6,44
2019-10-05,7,61
2019-10-05,8,114
2019-10-05,9,110
2019-10-05,10,158
2019-10-05,11,144
2019-10-05,12,128
2019-10-05,13,162
2019-10-05,14,111
2019-10-05,15,119
2019-10-05,16,97
2019-10-05,17,92
2019-10-05,18,76
2019-10-05,19,59
2019-10-05,20,49
2019-10-05,21,40
2019-10-05,22,28
2019-10-05,23,33
2019-10-06,0,21
2019-10-06,1,12
2019-10-06,2,16
2019-10-06,3,12
2019-10-06,4,16
2019-10-06,5,12
2019-10-06,6,26
2019-10-06,7,44
2019-10-06,8,70
2019-10-06,9,106
2019-10-06,10,126
2019-10-06,11,110
2019-10-06,12,128
2019-10-06,13,147
2019-10-06,14,54
2019-10-06,15,67
2019-10-06,16,83
2019-10-06,17,88
2019-10-06,18,62
2019-10-06,19,53
2019-10-06,20,44
2019-10-06,21,39
2019-10-06,22,25
2019-10-06,23,20
2019-10-07,0,8
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,12
2019-10-07,5,31
2019-10-07,6,71
2019-10-07,7,99
2019-10-07,8,114
2019-10-07,9,100
2019-10-07,10,73
2019-10-07,11,100
2019-10-07,12,122
2019-10-07,13,109
2019-10-07,14,126
2019-10-07,15,101
2019-10-07,16,92
2019-10-07,17,75
2019-10-07,18,106
2019-10-07,19,54
2019-10-07,20,52
2019-10-07,21,35
2019-10-07,22,29
2019-10-07,23,8
2019-10-08,0,0
2019-10-08,1,4
2019-10-08,2,0
2019-10-08,3,8
2019-10-08,4,16
2019-10-08,5,32
2019-10-08,6,87
2019-10-08,7,127
2019-10-08,8,151
2019-10-08,9,111
2019-10-08,10,117
2019-10-08,11,124
2019-10-08,12,133
2019-10-08,13,123
2019-10-08,14,128
2019-10-08,15,102
2019-10-08,16,121
2019-10-08,17,105
2019-10-08,18,92
2019-10-08,19,62
2019-10-08,20,44
2019-10-08,21,30
2019-10-08,22,16
2019-10-08,23,8
2019-10-09,0,4
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,8
2019-10-09,4,16
2019-10-09,5,36
2019-10-09,6,88
2019-10-09,7,132
2019-10-09,8,146
2019-10-09,9,144
2019-10-09,10,132
2019-10-09,11,149
2019-10-09,12,122
2019-10-09,13,155
2019-10-09,14,122
2019-10-09,15,114
2019-10-09,16,115
2019-10-09,17,112
2019-10-09,18,84
2019-10-09,19,61
2019-10-09,20,52
2019-10-09,21,35
2019-10-09,22,21
2019-10-09,23,8
2019-10-10,0,4
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,0
2019-10-10,4,12
2019-10-10,5,35
2019-10-10,6,87
2019-10-10,7,144
