date,time,flow
2019-10-01,0,5
2019-10-01,1,4
2019-10-01,2,7
2019-10-01,3,9
2019-10-01,4,18
2019-10-01,5,34
2019-10-01,6,118
2019-10-01,7,200
2019-10-01,8,180
2019-10-01,9,121
2019-10-01,10,106
2019-10-01,11,94
2019-10-01,12,105
2019-10-01,13,110
2019-10-01,14,103
2019-10-01,15,117
2019-10-01,16,89
2019-10-01,17,82
2019-10-01,18,81
2019-10-01,19,55
2019-10-01,20,55
2019-10-01,21,25
2019-10-01,22,20
2019-10-01,23,11
2019-10-02,0,10
2019-10-02,1,7
2019-10-02,2,6
2019-10-02,3,12
2019-10-02,4,16
2019-10-02,5,45
2019-10-02,6,97
2019-10-02,7,228
2019-10-02,8,190
2019-10-02,9,128
2019-10-02,10,108
2019-10-02,11,90
2019-10-02,12,128
2019-10-02,13,116
2019-10-02,14,97
2019-10-02,15,94
2019-10-02,16,98
2019-10-02,17,67
2019-10-02,18,71
2019-10-02,19,56
2019-10-02,20,72
2019-10-02,21,31
2019-10-02,22,20
2019-10-02,23,22
2019-10-03,0,12
2019-10-03,1,6
2019-10-03,2,8
2019-10-03,3,5
2019-10-03,4,22
2019-10-03,5,50
2019-10-03,6,129
2019-10-03,7,177
2019-10-03,8,181
2019-10-03,9,109
2019-10-03,10,99
2019-10-03,11,112
2019-10-03,12,117
2019-10-03,13,89
2019-10-03,14,110
2019-10-03,15,118
2019-10-03,16,92
2019-10-03,17,98
2019-10-03,18,51
2019-10-03,19,72
2019-10-03,20,32
2019-10-03,21,131
2019-10-03,22,39
2019-10-03,23,23
2019-10-04,0,8
2019-10-04,1,5
2019-10-04,2,4
2019-10-04,3,7
2019-10-04,4,17
2019-10-04,5,36
2019-10-04,6,102
2019-10-04,7,219
2019-10-04,8,151
2019-10-04,9,108
2019-10-04,10,98
2019-10-04,11,116
2019-10-04,12,112
2019-10-04,13,113
2019-10-04,14,127
2019-10-04,15,99
2019-10-04,16,107
2019-10-04,17,112
2019-10-04,18,92
2019-10-04,19,69
2019-10-04,20,58
2019-10-04,21,51
2019-10-04,22,45
2019-10-04,23,31
2019-10-05,0,26
2019-10-05,1,16
2019-10-05,2,16
2019-10-05,3,10
2019-10-05,4,14
2019-10-05,5,28
2019-10-05,6,48
2019-10-05,7,85
2019-10-05,8,85
2019-10-05,9,94
2019-10-05,10,101
2019-10-05,11,108
2019-10-05,12,138
2019-10-05,13,140
2019-10-05,14,100
2019-10-05,15,97
2019-10-05,16,86
2019-10-05,17,101
2019-10-05,18,79
2019-10-05,19,73
2019-10-05,20,47
2019-10-05,21,46
2019-10-05,22,30
2019-10-05,23,36
2019-10-06,0,16
2019-10-06,1,20
2019-10-06,2,14
2019-10-06,3,10
2019-10-06,4,3
2019-10-06,5,6
2019-10-06,6,26
2019-10-06,7,40
2019-10-06,8,54
2019-10-06,9,79
2019-10-06,10,84
2019-10-06,11,78
2019-10-06,12,109
2019-10-06,13,132
2019-10-06,14,95
2019-10-06,15,96
2019-10-06,16,90
2019-10-06,17,66
2019-10-06,18,65
2019-10-06,19,54
2019-10-06,20,57
2019-10-06,21,30
2019-10-06,22,21
2019-10-06,23,20
2019-10-07,0,8
2019-10-07,1,8
2019-10-07,2,3
2019-10-07,3,8
2019-10-07,4,12
2019-10-07,5,35
2019-10-07,6,79
2019-10-07,7,161
2019-10-07,8,119
2019-10-07,9,84
2019-10-07,10,82
2019-10-07,11,118
2019-10-07,12,122
2019-10-07,13,105
2019-10-07,14,110
2019-10-07,15,90
2019-10-07,16,92
2019-10-07,17,91
2019-10-07,18,71
2019-10-07,19,46
2019-10-07,20,45
2019-10-07,21,36
2019-10-07,22,19
2019-10-07,23,10
2019-10-08,0,4
2019-10-08,1,7
2019-10-08,2,4
2019-10-08,3,8
2019-10-08,4,8
2019-10-08,5,26
2019-10-08,6,105
2019-10-08,7,192
2019-10-08,8,159
2019-10-08,9,98
2019-10-08,10,92
2019-10-08,11,117
2019-10-08,12,114
2019-10-08,13,104
2019-10-08,14,92
2019-10-08,15,110
2019-10-08,16,69
2019-10-08,17,78
2019-10-08,18,53
2019-10-08,19,50
2019-10-08,20,37
2019-10-08,21,23
2019-10-08,22,28
2019-10-08,23,8
2019-10-09,0,4
2019-10-09,1,5
2019-10-09,2,2
2019-10-09,3,6
2019-10-09,4,16
2019-10-09,5,38
2019-10-09,6,87
2019-10-09,7,156
2019-10-09,8,193
2019-10-09,9,118
2019-10-09,10,88
2019-10-09,11,101
