date,time,flow
2019-10-01,0,1
2019-10-01,1,1
2019-10-01,2,1
2019-10-01,3,0
2019-10-01,4,5
2019-10-01,5,19
2019-10-01,6,67
2019-10-01,7,209
2019-10-01,8,159
2019-10-01,9,57
2019-10-01,10,35
2019-10-01,11,45
2019-10-01,12,44
2019-10-01,13,46
2019-10-01,14,39
2019-10-01,15,38
2019-10-01,16,55
2019-10-01,17,52
2019-10-01,18,40
2019-10-01,19,26
2019-10-01,20,19
2019-10-01,21,10
2019-10-01,22,12
2019-10-01,23,1
2019-10-02,0,1
2019-10-02,1,1
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,6
2019-10-02,5,17
2019-10-02,6,62
2019-10-02,7,158
2019-10-02,8,150
2019-10-02,9,46
2019-10-02,10,34
2019-10-02,11,43
2019-10-02,12,37
2019-10-02,13,33
2019-10-02,14,31
2019-10-02,15,48
2019-10-02,16,52
2019-10-02,17,47
2019-10-02,18,44
2019-10-02,19,23
2019-10-02,20,19
2019-10-02,21,10
2019-10-02,22,14
2019-10-02,23,0
2019-10-03,0,1
2019-10-03,1,1
2019-10-03,2,2
2019-10-03,3,1
2019-10-03,4,5
2019-10-03,5,21
2019-10-03,6,64
2019-10-03,7,145
2019-10-03,8,108
2019-10-03,9,56
2019-10-03,10,40
2019-10-03,11,47
2019-10-03,12,44
2019-10-03,13,47
2019-10-03,14,51
2019-10-03,15,46
2019-10-03,16,57
2019-10-03,17,36
2019-10-03,18,42
2019-10-03,19,26
2019-10-03,20,15
2019-10-03,21,18
2019-10-03,22,13
2019-10-03,23,3
2019-10-04,0,3
2019-10-04,1,1
2019-10-04,2,4
2019-10-04,3,1
2019-10-04,4,7
2019-10-04,5,12
2019-10-04,6,60
2019-10-04,7,158
2019-10-04,8,128
2019-10-04,9,67
2019-10-04,10,50
2019-10-04,11,53
2019-10-04,12,47
2019-10-04,13,52
2019-10-04,14,53
2019-10-04,15,45
2019-10-04,16,48
2019-10-04,17,26
2019-10-04,18,34
2019-10-04,19,26
2019-10-04,20,15
2019-10-04,21,11
2019-10-04,22,12
2019-10-04,23,8
2019-10-05,0,6
2019-10-05,1,8
2019-10-05,2,4
2019-10-05,3,2
2019-10-05,4,3
2019-10-05,5,12
2019-10-05,6,13
2019-10-05,7,30
2019-10-05,8,45
2019-10-05,9,46
2019-10-05,10,37
2019-10-05,11,45
2019-10-05,12,58
2019-10-05,13,65
2019-10-05,14,35
2019-10-05,15,30
2019-10-05,16,27
2019-10-05,17,23
2019-10-05,18,25
2019-10-05,19,16
2019-10-05,20,17
2019-10-05,21,11
2019-10-05,22,12
2019-10-05,23,12
2019-10-06,0,6
2019-10-06,1,6
2019-10-06,2,4
2019-10-06,3,2
2019-10-06,4,2
2019-10-06,5,2
2019-10-06,6,9
2019-10-06,7,20
2019-10-06,8,31
2019-10-06,9,52
2019-10-06,10,30
2019-10-06,11,40
2019-10-06,12,51
2019-10-06,13,47
2019-10-06,14,24
2019-10-06,15,32
2019-10-06,16,36
2019-10-06,17,24
2019-10-06,18,14
2019-10-06,19,13
2019-10-06,20,12
2019-10-06,21,4
2019-10-06,22,5
2019-10-06,23,2
2019-10-07,0,0
2019-10-07,1,1
2019-10-07,2,2
2019-10-07,3,0
2019-10-07,4,7
2019-10-07,5,12
2019-10-07,6,53
2019-10-07,7,0
2019-10-07,8,0
2019-10-07,9,0
2019-10-07,10,10
2019-10-07,11,37
2019-10-07,12,46
2019-10-07,13,38
2019-10-07,14,47
2019-10-07,15,48
2019-10-07,16,47
2019-10-07,17,37
2019-10-07,18,38
2019-10-07,19,24
2019-10-07,20,19
2019-10-07,21,13
2019-10-07,22,8
2019-10-07,23,2
2019-10-08,0,1
2019-10-08,1,1
2019-10-08,2,1
2019-10-08,3,2
2019-10-08,4,5
2019-10-08,5,19
2019-10-08,6,69
2019-10-08,7,201
2019-10-08,8,128
2019-10-08,9,64
2019-10-08,10,55
2019-10-08,11,42
2019-10-08,12,45
2019-10-08,13,41
2019-10-08,14,39
2019-10-08,15,42
2019-10-08,16,40
2019-10-08,17,52
2019-10-08,18,39
2019-10-08,19,16
2019-10-08,20,18
2019-10-08,21,9
2019-10-08,22,6
2019-10-08,23,1
2019-10-09,0,1
2019-10-09,1,1
2019-10-09,2,0
2019-10-09,3,1
2019-10-09,4,5
2019-10-09,5,18
2019-10-09,6,58
2019-10-09,7,151
2019-10-09,8,190
2019-10-09,9,60
2019-10-09,10,33
2019-10-09,11,58
2019-10-09,12,46
2019-10-09,13,41
2019-10-09,14,37
2019-10-09,15,53
2019-10-09,16,45
2019-10-09,17,53
2019-10-09,18,41
2019-10-09,19,27
2019-10-09,20,23
2019-10-09,21,8
2019-10-09,22,4
2019-10-09,23,3
2019-10-10,0,1
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,2
2019-10-10,4,4
2019-10-10,5,17
2019-10-10,6,67
2019-10-10,7,194
2019-10-10,8,171
2019-10-10,9,61
2019-10-10,10,41
2019-10-10,11,45
2019-10-10,12,53
2019-10-10,13,40
2019-10-10,14,41
2019-10-10,15,51
2019-10-10,16,51
2019-10-10,17,34
2019-10-10,18,39
2019-10-10,19,24
2019-10-10,20,16
2019-10-10,21,14
2019-10-10,22,10
2019-10-10,23,5
2019-10-11,0,3
2019-10-11,1,1
2019-10-11,2,0
2019-10-11,3,2
2019-10-11,4,3
2019-10-11,5,14
2019-10-11,6,62
2019-10-11,7,125
2019-10-11,8,80
2019-10-11,9,40
2019-10-11,10,42
2019-10-11,11,55
2019-10-11,12,50
2019-10-11,13,37
2019-10-11,14,47
2019-10-11,15,43
2019-10-11,16,45
2019-10-11,17,38
2019-10-11,18,33
2019-10-11,19,18
2019-10-11,20,11
2019-10-11,21,16
2019-10-11,22,8
2019-10-11,23,9
2019-10-12,0,7
