date,time,flow
2019-10-01,0,7
2019-10-01,1,4
2019-10-01,2,2
2019-10-01,3,4
2019-10-01,4,10
2019-10-01,5,25
2019-10-01,6,63
2019-10-01,7,92
2019-10-01,8,72
2019-10-01,9,96
2019-10-01,10,101
2019-10-01,11,122
2019-10-01,12,118
2019-10-01,13,108
2019-10-01,14,131
2019-10-01,15,165
2019-10-01,16,195
2019-10-01,17,131
2019-10-01,18,82
2019-10-01,19,72
2019-10-01,20,58
2019-10-01,21,35
2019-10-01,22,15
2019-10-01,23,10
2019-10-02,0,4
2019-10-02,1,3
2019-10-02,2,2
2019-10-02,3,4
2019-10-02,4,16
2019-10-02,5,31
2019-10-02,6,63
2019-10-02,7,112
2019-10-02,8,110
2019-10-02,9,95
2019-10-02,10,104
2019-10-02,11,112
2019-10-02,12,120
2019-10-02,13,114
2019-10-02,14,125
2019-10-02,15,139
2019-10-02,16,151
2019-10-02,17,133
2019-10-02,18,98
2019-10-02,19,76
2019-10-02,20,66
2019-10-02,21,45
2019-10-02,22,17
2019-10-02,23,12
2019-10-03,0,12
2019-10-03,1,0
2019-10-03,2,10
2019-10-03,3,2
2019-10-03,4,7
2019-10-03,5,35
2019-10-03,6,64
2019-10-03,7,108
2019-10-03,8,87
2019-10-03,9,98
2019-10-03,10,105
2019-10-03,11,139
2019-10-03,12,134
2019-10-03,13,140
2019-10-03,14,136
2019-10-03,15,155
2019-10-03,16,200
2019-10-03,17,132
2019-10-03,18,103
2019-10-03,19,76
2019-10-03,20,61
2019-10-03,21,328
2019-10-03,22,150
2019-10-03,23,26
2019-10-04,0,7
2019-10-04,1,6
2019-10-04,2,9
2019-10-04,3,6
2019-10-04,4,7
2019-10-04,5,29
2019-10-04,6,64
2019-10-04,7,115
2019-10-04,8,98
2019-10-04,9,94
2019-10-04,10,104
2019-10-04,11,138
2019-10-04,12,151
2019-10-04,13,139
2019-10-04,14,154
2019-10-04,15,172
2019-10-04,16,167
2019-10-04,17,146
2019-10-04,18,100
2019-10-04,19,76
2019-10-04,20,59
2019-10-04,21,42
2019-10-04,22,27
2019-10-04,23,17
2019-10-05,0,14
2019-10-05,1,13
2019-10-05,2,8
2019-10-05,3,7
2019-10-05,4,10
2019-10-05,5,9
2019-10-05,6,28
2019-10-05,7,41
2019-10-05,8,55
2019-10-05,9,85
2019-10-05,10,103
2019-10-05,11,132
2019-10-05,12,115
2019-10-05,13,106
2019-10-05,14,103
2019-10-05,15,109
2019-10-05,16,123
2019-10-05,17,87
2019-10-05,18,87
2019-10-05,19,70
2019-10-05,20,38
2019-10-05,21,39
2019-10-05,22,29
2019-10-05,23,29
2019-10-06,0,27
2019-10-06,1,12
2019-10-06,2,9
2019-10-06,3,5
2019-10-06,4,12
2019-10-06,5,12
2019-10-06,6,20
2019-10-06,7,28
2019-10-06,8,37
2019-10-06,9,65
2019-10-06,10,75
2019-10-06,11,89
2019-10-06,12,109
2019-10-06,13,98
2019-10-06,14,118
2019-10-06,15,105
2019-10-06,16,119
2019-10-06,17,78
2019-10-06,18,63
2019-10-06,19,63
2019-10-06,20,41
2019-10-06,21,26
2019-10-06,22,16
2019-10-06,23,18
2019-10-07,0,4
2019-10-07,1,2
2019-10-07,2,7
2019-10-07,3,6
2019-10-07,4,9
2019-10-07,5,31
2019-10-07,6,58
2019-10-07,7,84
2019-10-07,8,76
2019-10-07,9,80
2019-10-07,10,75
2019-10-07,11,112
2019-10-07,12,123
2019-10-07,13,109
2019-10-07,14,130
2019-10-07,15,153
2019-10-07,16,156
2019-10-07,17,143
2019-10-07,18,86
2019-10-07,19,55
2019-10-07,20,65
2019-10-07,21,36
2019-10-07,22,24
2019-10-07,23,20
2019-10-08,0,8
2019-10-08,1,4
2019-10-08,2,3
2019-10-08,3,3
2019-10-08,4,8
2019-10-08,5,27
2019-10-08,6,60
2019-10-08,7,98
2019-10-08,8,98
2019-10-08,9,71
2019-10-08,10,97
2019-10-08,11,143
2019-10-08,12,129
2019-10-08,13,114
2019-10-08,14,115
2019-10-08,15,179
2019-10-08,16,212
2019-10-08,17,150
2019-10-08,18,113
2019-10-08,19,58
2019-10-08,20,54
2019-10-08,21,43
2019-10-08,22,22
2019-10-08,23,15
2019-10-09,0,5
2019-10-09,1,5
2019-10-09,2,6
2019-10-09,3,3
2019-10-09,4,11
2019-10-09,5,29
2019-10-09,6,69
2019-10-09,7,107
2019-10-09,8,117
2019-10-09,9,99
2019-10-09,10,96
2019-10-09,11,118
2019-10-09,12,108
2019-10-09,13,129
2019-10-09,14,129
2019-10-09,15,145
2019-10-09,16,185
2019-10-09,17,134
2019-10-09,18,98
2019-10-09,19,79
2019-10-09,20,62
2019-10-09,21,45
2019-10-09,22,28
2019-10-09,23,18
2019-10-10,0,6
2019-10-10,1,4
2019-10-10,2,6
2019-10-10,3,6
2019-10-10,4,9
2019-10-10,5,31
2019-10-10,6,75
2019-10-10,7,90
2019-10-10,8,92
2019-10-10,9,93
2019-10-10,10,88
2019-10-10,11,116
2019-10-10,12,106
2019-10-10,13,99
2019-10-10,14,155
2019-10-10,15,169
2019-10-10,16,181
2019-10-10,17,125
2019-10-10,18,99
2019-10-10,19,93
2019-10-10,20,66
2019-10-10,21,26
2019-10-10,22,31
2019-10-10,23,16
2019-10-11,0,7
2019-10-11,1,10
2019-10-11,2,7
2019-10-11,3,6
2019-10-11,4,10
2019-10-11,5,37
2019-10-11,6,76
2019-10-11,7,108
2019-10-11,8,91
2019-10-11,9,94
2019-10-11,10,102
2019-10-11,11,140
2019-10-11,12,138
2019-10-11,13,142
2019-10-11,14,203
2019-10-11,15,159
2019-10-11,16,190
2019-10-11,17,129
2019-10-11,18,105
2019-10-11,19,70
2019-10-11,20,63
2019-10-11,21,51
2019-10-11,22,26
2019-10-11,23,23
2019-10-12,0,15
2019-10-12,1,5
2019-10-12,2,8
2019-10-12,3,10
2019-10-12,4,10
2019-10-12,5,14
2019-10-12,6,22
2019-10-12,7,47
2019-10-12,8,58
2019-10-12,9,107
2019-10-12,10,104
2019-10-12,11,121
2019-10-12,12,113
2019-10-12,13,103
2019-10-12,14,139
2019-10-12,15,129
2019-10-12,16,116
2019-10-12,17,100
2019-10-12,18,71
2019-10-12,19,60
2019-10-12,20,40
2019-10-12,21,33
2019-10-12,22,22
2019-10-12,23,33
2019-10-13,0,21
2019-10-13,1,13
2019-10-13,2,14
2019-10-13,3,8
2019-10-13,4,12
2019-10-13,5,4
2019-10-13,6,22
2019-10-13,7,21
2019-10-13,8,35
2019-10-13,9,41
2019-10-13,10,80
2019-10-13,11,85
2019-10-13,12,109
2019-10-13,13,110
2019-10-13,14,136
2019-10-13,15,106
2019-10-13,16,94
2019-10-13,17,84
2019-10-13,18,48
2019-10-13,19,48
2019-10-13,20,50
2019-10-13,21,36
2019-10-13,22,25
2019-10-13,23,19
2019-10-14,0,12
2019-10-14,1,4
2019-10-14,2,7
2019-10-14,3,7
2019-10-14,4,10
2019-10-14,5,30
2019-10-14,6,48
2019-10-14,7,105
2019-10-14,8,70
2019-10-14,9,81
2019-10-14,10,107
2019-10-14,11,115
2019-10-14,12,142
2019-10-14,13,113
2019-10-14,14,138
2019-10-14,15,132
2019-10-14,16,140
2019-10-14,17,112
2019-10-14,18,62
2019-10-14,19,77
2019-10-14,20,53
2019-10-14,21,32
2019-10-14,22,22
2019-10-14,23,17
2019-10-15,0,6
2019-10-15,1,8
2019-10-15,2,4
2019-10-15,3,6
2019-10-15,4,11
2019-10-15,5,35
2019-10-15,6,63
2019-10-15,7,80
2019-10-15,8,75
2019-10-15,9,84
2019-10-15,10,104
2019-10-15,11,103
2019-10-15,12,106
2019-10-15,13,132
2019-10-15,14,132
2019-10-15,15,148
2019-10-15,16,146
2019-10-15,17,114
2019-10-15,18,81
2019-10-15,19,73
2019-10-15,20,71
2019-10-15,21,31
2019-10-15,22,26
2019-10-15,23,17
2019-10-16,0,5
2019-10-16,1,1
2019-10-16,2,9
2019-10-16,3,4
2019-10-16,4,10
2019-10-16,5,41
2019-10-16,6,52
2019-10-16,7,93
2019-10-16,8,83
2019-10-16,9,88
2019-10-16,10,84
2019-10-16,11,118
2019-10-16,12,104
2019-10-16,13,128
2019-10-16,14,128
2019-10-16,15,147
2019-10-16,16,159
2019-10-16,17,108
2019-10-16,18,75
2019-10-16,19,90
2019-11-20,12,140
2019-11-20,13,121
2019-11-20,14,109
2019-11-20,15,118
2019-11-20,16,181
2019-11-20,17,198
2019-11-20,18,150
2019-11-20,19,103
2019-11-20,20,74
2019-11-20,21,71
2019-11-20,22,42
2019-11-20,23,22
2019-11-21,0,9
2019-11-21,1,8
2019-11-21,2,8
2019-11-21,3,7
2019-11-21,4,9
2019-11-21,5,15
2019-11-21,6,33
2019-11-21,7,87
2019-11-21,8,106
2019-11-21,9,109
2019-11-21,10,92
2019-11-21,11,115
2019-11-21,12,117
2019-11-21,13,105
2019-11-21,14,135
2019-11-21,15,166
2019-11-21,16,206
2019-11-21,17,192
2019-11-21,18,125
2019-11-21,19,91
2019-11-21,20,78
2019-11-21,21,49
2019-11-21,22,24
2019-11-21,23,23
2019-11-22,0,16
2019-11-22,1,8
2019-11-22,2,3
2019-11-22,3,6
2019-11-22,4,3
2019-11-22,5,17
2019-11-22,6,32
2019-11-22,7,80
2019-11-22,8,93
2019-11-22,9,120
2019-11-22,10,107
2019-11-22,11,124
2019-11-22,12,151
2019-11-22,13,133
2019-11-22,14,144
2019-11-22,15,168
2019-11-22,16,184
2019-11-22,17,155
2019-11-22,18,144
2019-11-22,19,93
2019-11-22,20,97
2019-11-22,21,72
2019-11-22,22,44
2019-11-22,23,41
2019-11-23,0,29
2019-11-23,1,16
2019-11-23,2,10
2019-11-23,3,11
2019-11-23,4,8
2019-11-23,5,4
2019-11-23,6,12
2019-11-23,7,37
2019-11-23,8,48
2019-11-23,9,61
2019-11-23,10,86
2019-11-23,11,115
2019-11-23,12,137
2019-11-23,13,124
2019-11-23,14,123
2019-11-23,15,138
2019-11-23,16,155
2019-11-23,17,319
2019-11-23,18,129
2019-11-23,19,70
2019-11-23,20,57
2019-11-23,21,55
2019-11-23,22,45
2019-11-23,23,38
2019-11-24,0,36
2019-11-24,1,21
2019-11-24,2,20
2019-11-24,3,13
2019-11-24,4,9
2019-11-24,5,8
2019-11-24,6,11
2019-11-24,7,22
2019-11-24,8,32
2019-11-24,9,48
2019-11-24,10,65
2019-11-24,11,86
2019-11-24,12,105
2019-11-24,13,110
2019-11-24,14,127
2019-11-24,15,107
2019-11-24,16,108
2019-11-24,17,100
2019-11-24,18,90
2019-11-24,19,55
2019-11-24,20,59
2019-11-24,21,50
2019-11-24,22,35
2019-11-24,23,30
2019-11-25,0,16
2019-11-25,1,6
2019-11-25,2,7
2019-11-25,3,3
2019-11-25,4,8
2019-11-25,5,8
2019-11-25,6,32
2019-11-25,7,77
2019-11-25,8,113
2019-11-25,9,63
2019-11-25,10,82
2019-11-25,11,110
2019-11-25,12,117
2019-11-25,13,119
2019-11-25,14,139
2019-11-25,15,136
2019-11-25,16,127
2019-11-25,17,170
2019-11-25,18,139
2019-11-25,19,74
2019-11-25,20,56
2019-11-25,21,62
2019-11-25,22,43
2019-11-25,23,14
2019-11-26,0,16
2019-11-26,1,14
2019-11-26,2,7
2019-11-26,3,4
2019-11-26,4,5
2019-11-26,5,8
2019-11-26,6,37
2019-11-26,7,68
2019-11-26,8,102
2019-11-26,9,104
2019-11-26,10,118
2019-11-26,11,160
2019-11-26,12,205
2019-11-26,13,292
2019-11-26,14,246
2019-11-26,15,277
2019-11-26,16,377
2019-11-26,17,211
2019-11-26,18,154
2019-11-26,19,96
2019-11-26,20,79
2019-11-26,21,56
2019-11-26,22,31
2019-11-26,23,22
2019-11-27,0,19
2019-11-27,1,9
2019-11-27,2,3
2019-11-27,3,6
2019-11-27,4,2
2019-11-27,5,6
2019-11-27,6,27
2019-11-27,7,68
2019-11-27,8,111
2019-11-27,9,94
2019-11-27,10,96
2019-11-27,11,107
2019-11-27,12,138
2019-11-27,13,120
2019-11-27,14,134
2019-11-27,15,132
2019-11-27,16,180
2019-11-27,17,190
2019-11-27,18,136
2019-11-27,19,99
2019-11-27,20,63
2019-11-27,21,53
2019-11-27,22,34
2019-11-27,23,19
2019-11-28,0,15
2019-11-28,1,4
2019-11-28,2,7
2019-11-28,3,6
2019-11-28,4,3
2019-11-28,5,10
2019-11-28,6,23
2019-11-28,7,73
2019-11-28,8,101
2019-11-28,9,109
2019-11-28,10,58
2019-11-28,11,99
2019-11-28,12,115
2019-11-28,13,115
2019-11-28,14,126
2019-11-28,15,125
2019-11-28,16,196
2019-11-28,17,224
2019-11-28,18,125
2019-11-28,19,111
2019-11-28,20,84
2019-11-28,21,75
2019-11-28,22,262
2019-11-28,23,103
2019-11-29,0,25
2019-11-29,1,8
2019-11-29,2,7
2019-11-29,3,7
2019-11-29,4,11
2019-11-29,5,12
2019-11-29,6,20
2019-11-29,7,70
2019-11-29,8,136
2019-11-29,9,93
2019-11-29,10,92
2019-11-29,11,125
2019-11-29,12,138
2019-11-29,13,151
2019-11-29,14,162
2019-11-29,15,166
2019-11-29,16,169
2019-11-29,17,159
2019-11-29,18,132
2019-11-29,19,76
2019-11-29,20,79
2019-11-29,21,73
2019-11-29,22,58
2019-11-29,23,40
2019-11-30,0,37
2019-11-30,1,19
2019-11-30,2,7
2019-11-30,3,13
2019-11-30,4,6
2019-11-30,5,7
2019-11-30,6,17
2019-11-30,7,30
2019-11-30,8,59
2019-11-30,9,63
2019-11-30,10,85
2019-11-30,11,125
2019-11-30,12,115
2019-11-30,13,132
2019-11-30,14,136
2019-11-30,15,124
2019-11-30,16,141
2019-11-30,17,126
2019-11-30,18,83
2019-11-30,19,64
2019-11-30,20,70
2019-11-30,21,64
2019-11-30,22,35
2019-11-30,23,41
2019-12-01,0,21
