date,time,flow
2019-10-01,0,5
2019-10-01,1,0
2019-10-01,2,3
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,17
2019-10-01,6,49
2019-10-01,7,75
2019-10-01,8,63
2019-10-01,9,74
2019-10-01,10,89
2019-10-01,11,94
2019-10-01,12,68
2019-10-01,13,74
2019-10-01,14,89
2019-10-01,15,109
2019-10-01,16,136
2019-10-01,17,80
2019-10-01,18,53
2019-10-01,19,48
2019-10-01,20,37
2019-10-01,21,19
2019-10-01,22,12
2019-10-01,23,7
2019-10-02,0,4
2019-10-02,1,3
2019-10-02,2,3
2019-10-02,3,4
2019-10-02,4,4
2019-10-02,5,14
2019-10-02,6,52
2019-10-02,7,66
2019-10-02,8,76
2019-10-02,9,62
2019-10-02,10,62
2019-10-02,11,66
2019-10-02,12,62
2019-10-02,13,76
2019-10-02,14,114
2019-10-02,15,120
2019-10-02,16,128
2019-10-02,17,87
2019-10-02,18,65
2019-10-02,19,39
2019-10-02,20,31
2019-10-02,21,24
2019-10-02,22,10
2019-10-02,23,4
2019-10-03,0,7
2019-10-03,1,0
2019-10-03,2,1
2019-10-03,3,1
2019-10-03,4,5
2019-10-03,5,17
2019-10-03,6,37
2019-10-03,7,75
2019-10-03,8,60
2019-10-03,9,51
2019-10-03,10,61
2019-10-03,11,75
2019-10-03,12,98
2019-10-03,13,84
2019-10-03,14,85
2019-10-03,15,144
2019-10-03,16,139
2019-10-03,17,86
2019-10-03,18,56
2019-10-03,19,72
2019-10-03,20,108
2019-10-03,21,270
2019-10-03,22,180
2019-10-03,23,11
2019-10-04,0,3
2019-10-04,1,4
2019-10-04,2,5
2019-10-04,3,4
2019-10-04,4,4
2019-10-04,5,24
2019-10-04,6,50
2019-10-04,7,81
2019-10-04,8,75
2019-10-04,9,87
2019-10-04,10,74
2019-10-04,11,94
2019-10-04,12,89
2019-10-04,13,77
2019-10-04,14,104
2019-10-04,15,117
2019-10-04,16,133
2019-10-04,17,84
2019-10-04,18,50
2019-10-04,19,30
2019-10-04,20,26
2019-10-04,21,29
2019-10-04,22,12
2019-10-04,23,12
2019-10-05,0,6
2019-10-05,1,8
2019-10-05,2,5
2019-10-05,3,3
2019-10-05,4,6
2019-10-05,5,10
2019-10-05,6,21
2019-10-05,7,26
2019-10-05,8,35
2019-10-05,9,59
2019-10-05,10,55
2019-10-05,11,68
2019-10-05,12,68
2019-10-05,13,61
2019-10-05,14,53
2019-10-05,15,75
2019-10-05,16,49
2019-10-05,17,53
2019-10-05,18,35
2019-10-05,19,41
2019-10-05,20,33
2019-10-05,21,30
2019-10-05,22,28
2019-10-05,23,24
2019-10-06,0,13
2019-10-06,1,13
2019-10-06,2,11
2019-10-06,3,9
2019-10-06,4,10
2019-10-06,5,21
2019-10-06,6,15
2019-10-06,7,22
2019-10-06,8,26
2019-10-06,9,37
2019-10-06,10,68
2019-10-06,11,58
2019-10-06,12,74
2019-10-06,13,67
2019-10-06,14,58
2019-10-06,15,69
2019-10-06,16,59
2019-10-06,17,55
2019-10-06,18,20
2019-10-06,19,26
2019-10-06,20,16
2019-10-06,21,16
2019-10-06,22,55
2019-10-06,23,5
2019-10-07,0,0
2019-10-07,1,1
2019-10-07,2,1
2019-10-07,3,2
2019-10-07,4,4
2019-10-07,5,21
2019-10-07,6,44
2019-10-07,7,71
2019-10-07,8,67
2019-10-07,9,52
2019-10-07,10,60
2019-10-07,11,81
2019-10-07,12,86
2019-10-07,13,81
2019-10-07,14,79
2019-10-07,15,106
2019-10-07,16,124
2019-10-07,17,91
2019-10-07,18,35
2019-10-07,19,38
2019-10-07,20,32
2019-10-07,21,17
2019-10-07,22,8
2019-10-07,23,7
2019-10-08,0,5
2019-10-08,1,7
2019-10-08,2,3
2019-10-08,3,5
