date,time,flow
2019-10-01,0,25
2019-10-01,1,11
2019-10-01,2,12
2019-10-01,3,25
2019-10-01,4,55
2019-10-01,5,151
2019-10-01,6,289
2019-10-01,7,310
2019-10-01,8,281
2019-10-01,9,180
2019-10-01,10,212
2019-10-01,11,185
2019-10-01,12,211
2019-10-01,13,202
2019-10-01,14,216
2019-10-01,15,205
2019-10-01,16,220
2019-10-01,17,200
2019-10-01,18,174
2019-10-01,19,132
2019-10-01,20,135
2019-10-01,21,91
2019-10-01,22,39
2019-10-01,23,31
2019-10-02,0,23
2019-10-02,1,12
2019-10-02,2,7
2019-10-02,3,24
2019-10-02,4,50
2019-10-02,5,146
2019-10-02,6,289
2019-10-02,7,356
2019-10-02,8,283
2019-10-02,9,206
2019-10-02,10,205
2019-10-02,11,190
2019-10-02,12,193
2019-10-02,13,197
2019-10-02,14,213
2019-10-02,15,225
2019-10-02,16,196
2019-10-02,17,193
2019-10-02,18,188
2019-10-02,19,141
2019-10-02,20,129
2019-10-02,21,81
2019-10-02,22,46
2019-10-02,23,29
2019-10-03,0,24
2019-10-03,1,15
2019-10-03,2,10
2019-10-03,3,28
2019-10-03,4,55
2019-10-03,5,138
2019-10-03,6,284
2019-10-03,7,298
2019-10-03,8,266
2019-10-03,9,197
2019-10-03,10,198
2019-10-03,11,201
2019-10-03,12,215
2019-10-03,13,206
2019-10-03,14,205
2019-10-03,15,208
2019-10-03,16,199
2019-10-03,17,214
2019-10-03,18,174
2019-10-03,19,126
2019-10-03,20,114
2019-10-03,21,103
2019-10-03,22,63
2019-10-03,23,48
2019-10-04,0,32
2019-10-04,1,14
2019-10-04,2,13
2019-10-04,3,18
2019-10-04,4,54
2019-10-04,5,151
2019-10-04,6,256
2019-10-04,7,305
2019-10-04,8,268
2019-10-04,9,196
2019-10-04,10,239
2019-10-04,11,228
2019-10-04,12,211
2019-10-04,13,218
2019-10-04,14,233
2019-10-04,15,208
2019-10-04,16,210
2019-10-04,17,216
2019-10-04,18,209
2019-10-04,19,126
2019-10-04,20,117
2019-10-04,21,111
2019-10-04,22,78
2019-10-04,23,62
2019-10-05,0,45
2019-10-05,1,21
2019-10-05,2,20
2019-10-05,3,21
2019-10-05,4,39
2019-10-05,5,76
2019-10-05,6,106
2019-10-05,7,143
2019-10-05,8,171
2019-10-05,9,178
2019-10-05,10,239
2019-10-05,11,251
2019-10-05,12,248
2019-10-05,13,229
2019-10-05,14,201
2019-10-05,15,219
2019-10-05,16,202
2019-10-05,17,181
2019-10-05,18,149
2019-10-05,19,106
2019-10-05,20,107
2019-10-05,21,91
2019-10-05,22,68
2019-10-05,23,83
2019-10-06,0,58
2019-10-06,1,40
2019-10-06,2,33
2019-10-06,3,31
2019-10-06,4,33
2019-10-06,5,54
2019-10-06,6,55
2019-10-06,7,80
2019-10-06,8,141
2019-10-06,9,197
2019-10-06,10,230
2019-10-06,11,214
2019-10-06,12,224
2019-10-06,13,229
2019-10-06,14,200
2019-10-06,15,193
2019-10-06,16,187
2019-10-06,17,189
2019-10-06,18,142
2019-10-06,19,132
2019-10-06,20,99
2019-10-06,21,74
2019-10-06,22,47
2019-10-06,23,40
2019-10-07,0,23
2019-10-07,1,10
2019-10-07,2,15
2019-10-07,3,27
2019-10-07,4,54
2019-10-07,5,139
2019-10-07,6,242
2019-10-07,7,252
2019-10-07,8,237
2019-10-07,9,199
2019-10-07,10,174
2019-10-07,11,168
2019-10-07,12,166
2019-10-07,13,159
2019-10-07,14,170
2019-10-07,15,190
2019-10-07,16,166
2019-10-07,17,188
2019-10-07,18,182
2019-10-07,19,105
2019-10-07,20,115
2019-10-07,21,68
2019-10-07,22,33
2019-10-07,23,27
2019-10-08,0,20
2019-10-08,1,13
2019-10-08,2,8
2019-10-08,3,14
2019-10-08,4,44
2019-10-08,5,136
2019-10-08,6,216
2019-10-08,7,289
2019-10-08,8,282
2019-10-08,9,187
2019-10-08,10,150
2019-10-08,11,175
2019-10-08,12,182
2019-10-08,13,159
2019-10-08,14,164
2019-10-08,15,181
2019-10-08,16,193
2019-10-08,17,177
2019-10-08,18,170
2019-10-08,19,132
2019-10-08,20,114
2019-10-08,21,94
2019-10-08,22,45
2019-10-08,23,31
2019-10-09,0,15
2019-10-09,1,10
2019-10-09,2,14
2019-10-09,3,21
2019-10-09,4,53
2019-10-09,5,137
2019-10-09,6,236
2019-10-09,7,263
2019-10-09,8,246
2019-10-09,9,168
2019-10-09,10,183
2019-10-09,11,177
2019-10-09,12,147
2019-10-09,13,150
2019-10-09,14,172
2019-10-09,15,179
2019-10-09,16,169
2019-10-09,17,191
2019-10-09,18,173
2019-10-09,19,146
2019-10-09,20,107
2019-10-09,21,88
2019-10-09,22,46
2019-10-09,23,34
2019-10-10,0,21
2019-10-10,1,12
2019-10-10,2,14
2019-10-10,3,13
2019-10-10,4,44
2019-10-10,5,120
2019-10-10,6,230
2019-10-10,7,284
2019-10-10,8,241
2019-10-10,9,161
2019-10-10,10,178
2019-10-10,11,183
2019-10-10,12,188
2019-10-10,13,193
2019-10-10,14,203
2019-10-10,15,176
2019-10-10,16,164
2019-10-10,17,150
2019-10-10,18,161
2019-10-10,19,127
2019-10-10,20,122
2019-10-10,21,80
2019-10-10,22,55
2019-10-10,23,37
2019-10-11,0,23
2019-10-11,1,12
2019-10-11,2,16
2019-10-11,3,20
2019-10-11,4,47
2019-10-11,5,115
2019-10-11,6,200
2019-10-11,7,261
2019-10-11,8,182
2019-10-11,9,179
2019-10-11,10,180
2019-10-11,11,195
2019-10-11,12,181
2019-10-11,13,192
2019-10-11,14,197
2019-10-11,15,188
2019-10-11,16,192
2019-10-11,17,199
2019-10-11,18,168
2019-10-11,19,128
2019-10-11,20,104
2019-10-11,21,97
2019-10-11,22,66
2019-10-11,23,57
2019-10-12,0,36
2019-10-12,1,32
2019-10-12,2,20
2019-10-12,3,18
2019-10-12,4,43
2019-10-12,5,60
2019-10-12,6,83
2019-10-12,7,117
2019-10-12,8,141
2019-10-12,9,155
2019-10-12,10,194
2019-10-12,11,216
2019-10-12,12,204
2019-10-12,13,215
2019-10-12,14,189
2019-10-12,15,176
2019-10-12,16,189
2019-10-12,17,176
2019-10-12,18,133
2019-10-12,19,114
2019-10-12,20,75
2019-10-12,21,70
2019-10-12,22,63
2019-10-12,23,57
2019-10-13,0,45
2019-10-13,1,35
2019-10-13,2,32
2019-10-13,3,31
2019-10-13,4,25
2019-10-13,5,49
2019-10-13,6,51
2019-10-13,7,75
