date,time,flow
2019-10-01,0,10
2019-10-01,1,6
2019-10-01,2,2
2019-10-01,3,9
2019-10-01,4,11
2019-10-01,5,32
2019-10-01,6,59
2019-10-01,7,87
2019-10-01,8,71
2019-10-01,9,76
2019-10-01,10,85
2019-10-01,11,82
2019-10-01,12,85
2019-10-01,13,96
2019-10-01,14,99
2019-10-01,15,134
2019-10-01,16,176
2019-10-01,17,133
2019-10-01,18,96
2019-10-01,19,76
2019-10-01,20,51
2019-10-01,21,34
2019-10-01,22,25
2019-10-01,23,13
2019-10-02,0,9
2019-10-02,1,4
2019-10-02,2,5
2019-10-02,3,7
2019-10-02,4,8
2019-10-02,5,34
2019-10-02,6,63
2019-10-02,7,80
2019-10-02,8,79
2019-10-02,9,75
2019-10-02,10,76
2019-10-02,11,73
2019-10-02,12,90
2019-10-02,13,94
2019-10-02,14,110
2019-10-02,15,143
2019-10-02,16,221
2019-10-02,17,140
2019-10-02,18,111
2019-10-02,19,72
2019-10-02,20,55
2019-10-02,21,38
2019-10-02,22,29
2019-10-02,23,21
2019-10-03,0,8
2019-10-03,1,5
2019-10-03,2,5
2019-10-03,3,6
2019-10-03,4,14
2019-10-03,5,31
2019-10-03,6,52
2019-10-03,7,85
2019-10-03,8,82
2019-10-03,9,78
2019-10-03,10,76
2019-10-03,11,76
2019-10-03,12,95
2019-10-03,13,97
2019-10-03,14,114
2019-10-03,15,130
2019-10-03,16,144
2019-10-03,17,132
2019-10-03,18,110
2019-10-03,19,94
2019-10-03,20,102
2019-10-03,21,95
2019-10-03,22,66
2019-10-03,23,44
2019-10-04,0,13
2019-10-04,1,13
2019-10-04,2,4
2019-10-04,3,5
2019-10-04,4,12
2019-10-04,5,34
2019-10-04,6,76
2019-10-04,7,93
2019-10-04,8,85
2019-10-04,9,76
2019-10-04,10,75
2019-10-04,11,113
2019-10-04,12,88
2019-10-04,13,93
2019-10-04,14,121
2019-10-04,15,135
2019-10-04,16,143
2019-10-04,17,115
2019-10-04,18,86
2019-10-04,19,68
2019-10-04,20,57
2019-10-04,21,49
2019-10-04,22,44
2019-10-04,23,52
2019-10-05,0,28
2019-10-05,1,15
2019-10-05,2,13
2019-10-05,3,12
2019-10-05,4,12
2019-10-05,5,20
2019-10-05,6,28
2019-10-05,7,46
2019-10-05,8,45
2019-10-05,9,68
2019-10-05,10,85
2019-10-05,11,89
2019-10-05,12,101
2019-10-05,13,87
2019-10-05,14,93
2019-10-05,15,87
2019-10-05,16,95
2019-10-05,17,86
2019-10-05,18,73
2019-10-05,19,71
2019-10-05,20,48
2019-10-05,21,56
2019-10-05,22,56
2019-10-05,23,47
2019-10-06,0,32
2019-10-06,1,32
2019-10-06,2,22
2019-10-06,3,21
2019-10-06,4,33
2019-10-06,5,12
2019-10-06,6,24
2019-10-06,7,43
2019-10-06,8,35
2019-10-06,9,65
2019-10-06,10,80
2019-10-06,11,75
2019-10-06,12,93
2019-10-06,13,91
2019-10-06,14,80
2019-10-06,15,89
2019-10-06,16,86
2019-10-06,17,82
2019-10-06,18,63
2019-10-06,19,60
2019-10-06,20,37
2019-10-06,21,27
2019-10-06,22,29
2019-10-06,23,19
2019-10-07,0,11
2019-10-07,1,3
2019-10-07,2,3
2019-10-07,3,3
2019-10-07,4,8
2019-10-07,5,26
2019-10-07,6,58
2019-10-07,7,70
2019-10-07,8,76
2019-10-07,9,76
2019-10-07,10,68
2019-10-07,11,115
2019-10-07,12,133
2019-10-07,13,96
2019-10-07,14,95
2019-10-07,15,133
2019-10-07,16,160
2019-10-07,17,127
2019-10-07,18,94
2019-10-07,19,77
2019-10-07,20,48
2019-10-07,21,31
2019-10-07,22,26
2019-10-07,23,20
2019-10-08,0,13
2019-10-08,1,5
2019-10-08,2,7
2019-10-08,3,10
2019-10-08,4,10
2019-10-08,5,35
2019-10-08,6,70
2019-10-08,7,92
2019-10-08,8,99
2019-10-08,9,87
2019-10-08,10,72
2019-10-08,11,76
2019-10-08,12,85
2019-10-08,13,116
2019-10-08,14,133
2019-10-08,15,158
2019-10-08,16,190
2019-10-08,17,221
2019-10-08,18,174
2019-10-08,19,94
2019-10-08,20,77
2019-10-08,21,48
2019-10-08,22,27
2019-10-08,23,15
2019-10-09,0,9
2019-10-09,1,5
2019-10-09,2,5
2019-10-09,3,6
2019-10-09,4,13
2019-10-09,5,33
2019-10-09,6,65
2019-10-09,7,146
2019-10-09,8,91
2019-10-09,9,101
2019-10-09,10,85
2019-10-09,11,99
2019-10-09,12,150
2019-10-09,13,105
2019-10-09,14,121
2019-10-09,15,150
2019-10-09,16,170
2019-10-09,17,178
2019-10-09,18,104
2019-10-09,19,66
2019-10-09,20,69
2019-10-09,21,42
2019-10-09,22,30
2019-10-09,23,18
2019-10-10,0,9
2019-10-10,1,3
2019-10-10,2,8
2019-10-10,3,9
2019-10-10,4,10
2019-10-10,5,33
2019-10-10,6,62
2019-10-10,7,91
2019-10-10,8,103
2019-10-10,9,94
2019-10-10,10,86
2019-10-10,11,83
2019-10-10,12,98
2019-10-10,13,79
2019-10-10,14,172
2019-10-10,15,126
2019-10-10,16,169
2019-10-10,17,163
2019-10-10,18,105
2019-10-10,19,85
2019-10-10,20,71
2019-10-10,21,47
2019-10-10,22,37
2019-10-10,23,22
2019-10-11,0,15
2019-10-11,1,9
2019-10-11,2,8
2019-10-11,3,9
2019-10-11,4,15
2019-10-11,5,32
2019-10-11,6,59
2019-10-11,7,77
2019-10-11,8,82
2019-10-11,9,72
2019-10-11,10,71
2019-10-11,11,99
2019-10-11,12,100
2019-10-11,13,109
2019-10-11,14,148
2019-10-11,15,161
2019-10-11,16,181
2019-10-11,17,157
2019-10-11,18,131
2019-10-11,19,93
2019-10-11,20,66
2019-10-11,21,53
2019-10-11,22,38
2019-10-11,23,33
2019-10-12,0,25
2019-10-12,1,16
2019-10-12,2,12
2019-10-12,3,12
2019-10-12,4,9
2019-10-12,5,20
2019-10-12,6,41
2019-10-12,7,36
2019-10-12,8,51
2019-10-12,9,61
