date,time,flow
2019-10-01,0,12
2019-10-01,1,7
2019-10-01,2,4
2019-10-01,3,6
2019-10-01,4,17
2019-10-01,5,16
2019-10-01,6,44
2019-10-01,7,89
2019-10-01,8,91
2019-10-01,9,73
2019-10-01,10,79
2019-10-01,11,106
2019-10-01,12,108
2019-10-01,13,132
2019-10-01,14,163
2019-10-01,15,180
2019-10-01,16,189
2019-10-01,17,176
2019-10-01,18,103
2019-10-01,19,77
2019-10-01,20,73
2019-10-01,21,35
2019-10-01,22,23
2019-10-01,23,16
2019-10-02,0,6
2019-10-02,1,12
2019-10-02,2,5
2019-10-02,3,3
2019-10-02,4,12
2019-10-02,5,19
2019-10-02,6,50
2019-10-02,7,95
2019-10-02,8,86
2019-10-02,9,71
2019-10-02,10,75
2019-10-02,11,83
2019-10-02,12,119
2019-10-02,13,116
2019-10-02,14,133
2019-10-02,15,147
2019-10-02,16,197
2019-10-02,17,158
2019-10-02,18,124
2019-10-02,19,75
2019-10-02,20,90
2019-10-02,21,61
2019-10-02,22,25
2019-10-02,23,26
2019-10-03,0,13
2019-10-03,1,5
2019-10-03,2,9
2019-10-03,3,5
2019-10-03,4,12
2019-10-03,5,19
2019-10-03,6,43
2019-10-03,7,92
2019-10-03,8,99
2019-10-03,9,76
2019-10-03,10,97
2019-10-03,11,85
2019-10-03,12,98
2019-10-03,13,106
2019-10-03,14,160
2019-10-03,15,162
2019-10-03,16,207
2019-10-03,17,136
2019-10-03,18,112
2019-10-03,19,71
2019-10-03,20,135
2019-10-03,21,291
2019-10-03,22,234
2019-10-03,23,115
2019-10-04,0,33
2019-10-04,1,186
2019-10-04,2,26
2019-10-04,3,31
2019-10-04,4,24
2019-10-04,5,19
2019-10-04,6,33
2019-10-04,7,91
2019-10-04,8,103
2019-10-04,9,94
2019-10-04,10,87
2019-10-04,11,102
2019-10-04,12,143
2019-10-04,13,129
2019-10-04,14,188
2019-10-04,15,159
2019-10-04,16,195
2019-10-04,17,128
2019-10-04,18,105
2019-10-04,19,84
2019-10-04,20,63
2019-10-04,21,65
2019-10-04,22,43
2019-10-04,23,35
2019-10-05,0,19
2019-10-05,1,15
2019-10-05,2,12
2019-10-05,3,8
2019-10-05,4,13
2019-10-05,5,12
2019-10-05,6,20
2019-10-05,7,21
2019-10-05,8,52
2019-10-05,9,69
2019-10-05,10,93
2019-10-05,11,97
2019-10-05,12,121
2019-10-05,13,124
2019-10-05,14,138
2019-10-05,15,90
2019-10-05,16,110
2019-10-05,17,104
2019-10-05,18,139
2019-10-05,19,53
2019-10-05,20,55
2019-10-05,21,50
2019-10-05,22,141
2019-10-05,23,251
2019-10-06,0,137
2019-10-06,1,132
2019-10-06,2,143
2019-10-06,3,114
2019-10-06,4,182
2019-10-06,5,95
2019-10-06,6,45
2019-10-06,7,21
2019-10-06,8,46
2019-10-06,9,64
2019-10-06,10,59
2019-10-06,11,68
2019-10-06,12,82
2019-10-06,13,98
2019-10-06,14,92
2019-10-06,15,105
2019-10-06,16,86
2019-10-06,17,88
2019-10-06,18,86
2019-10-06,19,67
2019-10-06,20,44
2019-10-06,21,36
2019-10-06,22,25
2019-10-06,23,20
2019-10-07,0,9
2019-10-07,1,7
2019-10-07,2,3
2019-10-07,3,5
2019-10-07,4,12
2019-10-07,5,16
2019-10-07,6,31
2019-10-07,7,75
2019-10-07,8,62
2019-10-07,9,63
2019-10-07,10,46
2019-10-07,11,98
2019-10-07,12,102
2019-10-07,13,118
2019-10-07,14,145
2019-10-07,15,165
2019-10-07,16,179
2019-10-07,17,163
2019-10-07,18,140
2019-10-07,19,73
2019-10-07,20,49
2019-10-07,21,37
2019-10-07,22,25
2019-10-07,23,36
2019-10-08,0,11
2019-10-08,1,9
2019-10-08,2,1
2019-10-08,3,3
2019-10-08,4,13
2019-10-08,5,21
2019-10-08,6,39
2019-10-08,7,115
2019-10-08,8,89
2019-10-08,9,88
2019-10-08,10,86
2019-10-08,11,106
2019-10-08,12,100
2019-10-08,13,118
2019-10-08,14,161
2019-10-08,15,158
2019-10-08,16,191
2019-10-08,17,152
2019-10-08,18,100
2019-10-08,19,99
2019-10-08,20,77
2019-10-08,21,49
2019-10-08,22,37
2019-10-08,23,23
2019-10-09,0,12
2019-10-09,1,12
2019-10-09,2,3
2019-10-09,3,5
2019-10-09,4,10
2019-10-09,5,9
2019-10-09,6,41
2019-10-09,7,121
2019-10-09,8,89
2019-10-09,9,72
2019-10-09,10,72
2019-10-09,11,130
2019-10-09,12,80
2019-10-09,13,102
2019-10-09,14,146
2019-10-09,15,144
2019-10-09,16,232
2019-10-09,17,194
2019-10-09,18,89
2019-10-09,19,71
2019-10-09,20,65
2019-10-09,21,55
2019-10-09,22,32
2019-10-09,23,19
2019-10-10,0,8
2019-10-10,1,5
2019-10-10,2,7
2019-10-10,3,3
2019-10-10,4,12
2019-10-10,5,16
2019-10-10,6,42
2019-10-10,7,101
2019-10-10,8,98
2019-10-10,9,80
2019-10-10,10,101
2019-10-10,11,93
2019-10-10,12,124
2019-10-10,13,134
2019-10-10,14,161
2019-10-10,15,189
2019-10-10,16,191
2019-10-10,17,166
2019-10-10,18,104
2019-10-10,19,92
2019-10-10,20,60
2019-10-10,21,45
2019-10-10,22,35
2019-10-10,23,27
2019-10-11,0,18
2019-10-11,1,33
2019-10-11,2,4
2019-10-11,3,10
2019-10-11,4,9
2019-10-11,5,14
2019-10-11,6,58
2019-10-11,7,135
2019-10-11,8,57
2019-10-11,9,78
2019-10-11,10,77
2019-10-11,11,85
2019-10-11,12,119
2019-10-11,13,114
2019-10-11,14,164
2019-10-11,15,174
2019-10-11,16,198
2019-10-11,17,114
2019-10-11,18,100
2019-10-11,19,70
2019-10-11,20,48
2019-10-11,21,49
2019-10-11,22,35
2019-10-11,23,40
2019-10-12,0,23
2019-10-12,1,13
2019-10-12,2,9
2019-10-12,3,12
2019-10-12,4,6
2019-10-12,5,8
2019-10-12,6,20
2019-10-12,7,20
2019-10-12,8,55
2019-10-12,9,68
2019-10-12,10,95
2019-10-12,11,75
2019-10-12,12,103
2019-10-12,13,112
2019-10-12,14,123
2019-10-12,15,124
2019-10-12,16,112
2019-10-12,17,95
2019-10-12,18,107
2019-10-12,19,78
2019-10-12,20,82
2019-10-12,21,49
2019-10-12,22,46
2019-10-12,23,37
2019-10-13,0,28
2019-10-13,1,15
2019-10-13,2,10
2019-10-13,3,8
2019-10-13,4,12
2019-10-13,5,16
2019-10-13,6,10
2019-10-13,7,9
2019-10-13,8,13
2019-10-13,9,36
2019-10-13,10,49
2019-10-13,11,46
2019-10-13,12,81
2019-10-13,13,104
2019-10-13,14,105
2019-10-13,15,149
2019-10-13,16,105
2019-10-13,17,109
2019-10-13,18,143
2019-10-13,19,78
2019-10-13,20,51
2019-10-13,21,41
2019-10-13,22,36
2019-10-13,23,29
2019-10-14,0,9
2019-10-14,1,5
2019-10-14,2,4
2019-10-14,3,6
2019-10-14,4,10
2019-10-14,5,15
2019-10-14,6,36
2019-10-14,7,45
2019-10-14,8,54
2019-10-14,9,56
2019-10-14,10,73
2019-10-14,11,70
2019-10-14,12,89
2019-10-14,13,111
2019-10-14,14,122
2019-10-14,15,160
2019-10-14,16,108
2019-10-14,17,151
2019-10-14,18,103
2019-10-14,19,96
2019-10-14,20,59
2019-10-14,21,36
2019-10-14,22,29
2019-10-14,23,21
