date,time,flow
2019-10-01,0,6
2019-10-01,1,4
2019-10-01,2,1
2019-10-01,3,4
2019-10-01,4,4
2019-10-01,5,14
2019-10-01,6,48
2019-10-01,7,103
2019-10-01,8,113
2019-10-01,9,77
2019-10-01,10,88
2019-10-01,11,118
2019-10-01,12,105
2019-10-01,13,117
2019-10-01,14,115
2019-10-01,15,127
2019-10-01,16,147
2019-10-01,17,116
2019-10-01,18,112
2019-10-01,19,71
2019-10-01,20,54
2019-10-01,21,42
2019-10-01,22,17
2019-10-01,23,17
2019-10-02,0,3
2019-10-02,1,2
2019-10-02,2,0
2019-10-02,3,2
2019-10-02,4,4
2019-10-02,5,14
2019-10-02,6,29
2019-10-02,7,104
2019-10-02,8,109
2019-10-02,9,98
2019-10-02,10,80
2019-10-02,11,74
2019-10-02,12,120
2019-10-02,13,134
2019-10-02,14,98
2019-10-02,15,128
2019-10-02,16,146
2019-10-02,17,134
2019-10-02,18,101
2019-10-02,19,89
2019-10-02,20,62
2019-10-02,21,32
2019-10-02,22,18
2019-10-02,23,8
2019-10-03,0,6
2019-10-03,1,4
2019-10-03,2,4
2019-10-03,3,3
2019-10-03,4,4
2019-10-03,5,14
2019-10-03,6,47
2019-10-03,7,102
2019-10-03,8,110
2019-10-03,9,111
2019-10-03,10,103
2019-10-03,11,100
2019-10-03,12,100
2019-10-03,13,115
2019-10-03,14,135
2019-10-03,15,132
2019-10-03,16,159
2019-10-03,17,131
2019-10-03,18,116
2019-10-03,19,46
2019-10-03,20,60
2019-10-03,21,39
2019-10-03,22,24
2019-10-03,23,15
2019-10-04,0,5
2019-10-04,1,0
2019-10-04,2,1
2019-10-04,3,1
2019-10-04,4,5
2019-10-04,5,13
2019-10-04,6,45
2019-10-04,7,107
2019-10-04,8,96
2019-10-04,9,83
2019-10-04,10,129
2019-10-04,11,105
2019-10-04,12,113
2019-10-04,13,123
2019-10-04,14,132
2019-10-04,15,131
2019-10-04,16,138
2019-10-04,17,107
2019-10-04,18,89
2019-10-04,19,69
2019-10-04,20,42
2019-10-04,21,39
2019-10-04,22,35
2019-10-04,23,25
2019-10-05,0,17
2019-10-05,1,17
2019-10-05,2,8
2019-10-05,3,8
2019-10-05,4,3
