date,time,flow
2019-10-01,0,7
2019-10-01,1,2
2019-10-01,2,2
2019-10-01,3,2
2019-10-01,4,4
2019-10-01,5,11
2019-10-01,6,32
2019-10-01,7,81
2019-10-01,8,77
2019-10-01,9,59
2019-10-01,10,60
2019-10-01,11,83
2019-10-01,12,78
2019-10-01,13,82
2019-10-01,14,91
2019-10-01,15,88
2019-10-01,16,134
2019-10-01,17,94
2019-10-01,18,63
2019-10-01,19,48
2019-10-01,20,39
2019-10-01,21,30
2019-10-01,22,17
2019-10-01,23,10
2019-10-02,0,5
2019-10-02,1,3
2019-10-02,2,1
2019-10-02,3,0
2019-10-02,4,4
2019-10-02,5,20
2019-10-02,6,60
2019-10-02,7,101
2019-10-02,8,73
2019-10-02,9,53
2019-10-02,10,76
2019-10-02,11,70
2019-10-02,12,90
2019-10-02,13,83
2019-10-02,14,82
2019-10-02,15,120
2019-10-02,16,138
2019-10-02,17,94
2019-10-02,18,70
2019-10-02,19,57
2019-10-02,20,46
2019-10-02,21,29
2019-10-02,22,22
2019-10-02,23,5
2019-10-03,0,2
2019-10-03,1,1
2019-10-03,2,1
2019-10-03,3,2
2019-10-03,4,4
2019-10-03,5,5
2019-10-03,6,43
2019-10-03,7,86
2019-10-03,8,76
2019-10-03,9,85
2019-10-03,10,76
2019-10-03,11,73
2019-10-03,12,58
2019-10-03,13,81
2019-10-03,14,117
2019-10-03,15,94
2019-10-03,16,147
2019-10-03,17,115
2019-10-03,18,67
2019-10-03,19,37
2019-10-03,20,43
2019-10-03,21,30
2019-10-03,22,21
2019-10-03,23,21
2019-10-04,0,4
2019-10-04,1,5
2019-10-04,2,0
2019-10-04,3,1
2019-10-04,4,7
2019-10-04,5,11
2019-10-04,6,32
2019-10-04,7,75
2019-10-04,8,75
2019-10-04,9,73
2019-10-04,10,72
2019-10-04,11,83
2019-10-04,12,77
2019-10-04,13,85
2019-10-04,14,111
2019-10-04,15,126
2019-10-04,16,126
2019-10-04,17,82
2019-10-04,18,72
2019-10-04,19,48
2019-10-04,20,42
2019-10-04,21,31
2019-10-04,22,34
2019-10-04,23,30
2019-10-05,0,8
2019-10-05,1,3
2019-10-05,2,5
2019-10-05,3,4
2019-10-05,4,6
2019-10-05,5,2
2019-10-05,6,18
2019-10-05,7,29
2019-10-05,8,51
2019-10-05,9,74
2019-10-05,10,84
2019-10-05,11,76
2019-10-05,12,92
2019-10-05,13,83
2019-10-05,14,98
2019-10-05,15,78
2019-10-05,16,95
2019-10-05,17,77
2019-10-05,18,58
2019-10-05,19,59
2019-10-05,20,39
2019-10-05,21,29
2019-10-05,22,39
2019-10-05,23,41
2019-10-06,0,16
2019-10-06,1,11
2019-10-06,2,16
2019-10-06,3,7
2019-10-06,4,6
2019-10-06,5,2
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,25
2019-10-06,9,36
2019-10-06,10,33
2019-10-06,11,62
2019-10-06,12,52
2019-10-06,13,66
2019-10-06,14,73
2019-10-06,15,69
2019-10-06,16,99
2019-10-06,17,69
2019-10-06,18,61
2019-10-06,19,43
2019-10-06,20,30
2019-10-06,21,23
2019-10-06,22,13
2019-10-06,23,12
2019-10-07,0,7
2019-10-07,1,3
2019-10-07,2,0
2019-10-07,3,4
2019-10-07,4,5
2019-10-07,5,4
2019-10-07,6,43
2019-10-07,7,82
2019-10-07,8,71
2019-10-07,9,54
2019-10-07,10,58
2019-10-07,11,57
2019-10-07,12,76
2019-10-07,13,83
2019-10-07,14,96
2019-10-07,15,115
2019-10-07,16,134
2019-10-07,17,96
2019-10-07,18,69
2019-10-07,19,57
2019-10-07,20,53
2019-10-07,21,35
2019-10-07,22,19
2019-10-07,23,11
2019-10-08,0,4
2019-10-08,1,4
2019-10-08,2,4
2019-10-08,3,3
2019-10-08,4,1
2019-10-08,5,14
2019-10-08,6,43
2019-10-08,7,83
2019-10-08,8,78
2019-10-08,9,74
2019-10-08,10,61
2019-10-08,11,68
2019-10-08,12,93
2019-10-08,13,102
2019-10-08,14,105
2019-10-08,15,125
2019-10-08,16,151
2019-10-08,17,111
2019-10-08,18,87
2019-10-08,19,53
2019-10-08,20,60
2019-10-08,21,41
2019-10-08,22,20
2019-10-08,23,17
2019-10-09,0,12
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,2
2019-10-09,4,2
2019-10-09,5,15
2019-10-09,6,37
2019-10-09,7,110
2019-10-09,8,98
2019-10-09,9,60
2019-10-09,10,75
2019-10-09,11,62
2019-10-09,12,63
2019-10-09,13,96
2019-10-09,14,87
2019-10-09,15,111
2019-10-09,16,147
2019-10-09,17,122
2019-10-09,18,90
2019-10-09,19,53
2019-10-09,20,59
2019-10-09,21,28
2019-10-09,22,21
2019-10-09,23,15
2019-10-10,0,3
2019-10-10,1,2
2019-10-10,2,1
2019-10-10,3,2
2019-10-10,4,6
2019-10-10,5,12
2019-10-10,6,51
2019-10-10,7,80
2019-10-10,8,69
2019-10-10,9,59
2019-10-10,10,65
2019-10-10,11,81
2019-10-10,12,87
2019-10-10,13,83
2019-10-10,14,130
2019-10-10,15,121
2019-10-10,16,143
2019-10-10,17,120
2019-10-10,18,79
2019-10-10,19,49
2019-10-10,20,38
2019-10-10,21,42
2019-10-10,22,20
2019-10-10,23,9
2019-10-11,0,8
2019-10-11,1,2
2019-10-11,2,2
2019-10-11,3,1
2019-10-11,4,2
2019-10-11,5,11
2019-10-11,6,42
2019-10-11,7,93
2019-10-11,8,84
2019-10-11,9,80
2019-10-11,10,70
2019-10-11,11,90
2019-10-11,12,90
2019-10-11,13,84
2019-10-11,14,135
2019-10-11,15,111
2019-10-11,16,131
2019-10-11,17,110
2019-10-11,18,70
2019-10-11,19,50
2019-10-11,20,45
2019-10-11,21,36
2019-10-11,22,22
2019-10-11,23,27
2019-10-12,0,12
2019-10-12,1,10
2019-10-12,2,6
2019-10-12,3,4
2019-10-12,4,7
2019-10-12,5,4
2019-10-12,6,12
2019-10-12,7,31
2019-10-12,8,42
2019-10-12,9,62
2019-10-12,10,76
2019-10-12,11,73
2019-10-12,12,77
2019-10-12,13,76
2019-10-12,14,76
2019-10-12,15,80
2019-10-12,16,80
2019-10-12,17,72
2019-10-12,18,78
2019-10-12,19,40
2019-10-12,20,38
2019-10-12,21,51
2019-10-12,22,28
2019-10-12,23,28
2019-10-13,0,18
2019-10-13,1,9
2019-10-13,2,14
2019-10-13,3,5
2019-10-13,4,3
2019-10-13,5,7
2019-10-13,6,16
2019-10-13,7,16
