date,time,flow
2019-10-01,0,17
2019-10-01,1,8
2019-10-01,2,6
2019-10-01,3,7
2019-10-01,4,17
2019-10-01,5,33
2019-10-01,6,52
2019-10-01,7,99
2019-10-01,8,151
2019-10-01,9,119
2019-10-01,10,107
2019-10-01,11,128
2019-10-01,12,160
2019-10-01,13,144
2019-10-01,14,112
2019-10-01,15,140
2019-10-01,16,205
2019-10-01,17,193
2019-10-01,18,160
2019-10-01,19,107
2019-10-01,20,73
2019-10-01,21,66
2019-10-01,22,49
2019-10-01,23,46
2019-10-02,0,19
2019-10-02,1,7
2019-10-02,2,4
2019-10-02,3,7
2019-10-02,4,8
2019-10-02,5,34
2019-10-02,6,55
2019-10-02,7,85
2019-10-02,8,115
2019-10-02,9,99
2019-10-02,10,125
2019-10-02,11,127
2019-10-02,12,122
2019-10-02,13,157
2019-10-02,14,130
2019-10-02,15,145
2019-10-02,16,165
2019-10-02,17,221
2019-10-02,18,174
2019-10-02,19,117
2019-10-02,20,100
2019-10-02,21,53
2019-10-02,22,45
2019-10-02,23,54
2019-10-03,0,15
2019-10-03,1,11
2019-10-03,2,6
2019-10-03,3,14
2019-10-03,4,8
2019-10-03,5,32
2019-10-03,6,45
2019-10-03,7,99
2019-10-03,8,138
2019-10-03,9,122
2019-10-03,10,125
2019-10-03,11,142
2019-10-03,12,142
2019-10-03,13,135
2019-10-03,14,165
2019-10-03,15,145
2019-10-03,16,194
2019-10-03,17,159
2019-10-03,18,124
2019-10-03,19,116
2019-10-03,20,81
2019-10-03,21,100
2019-10-03,22,73
2019-10-03,23,60
2019-10-04,0,22
2019-10-04,1,15
2019-10-04,2,9
2019-10-04,3,9
2019-10-04,4,14
2019-10-04,5,27
2019-10-04,6,50
2019-10-04,7,111
2019-10-04,8,125
2019-10-04,9,137
2019-10-04,10,142
2019-10-04,11,116
2019-10-04,12,154
2019-10-04,13,135
2019-10-04,14,150
2019-10-04,15,161
2019-10-04,16,194
2019-10-04,17,169
2019-10-04,18,180
2019-10-04,19,136
2019-10-04,20,117
2019-10-04,21,90
2019-10-04,22,96
2019-10-04,23,101
2019-10-05,0,44
2019-10-05,1,26
2019-10-05,2,34
2019-10-05,3,23
2019-10-05,4,11
2019-10-05,5,18
2019-10-05,6,26
2019-10-05,7,58
2019-10-05,8,78
2019-10-05,9,123
2019-10-05,10,138
2019-10-05,11,137
2019-10-05,12,120
2019-10-05,13,179
2019-10-05,14,150
2019-10-05,15,142
2019-10-05,16,133
2019-10-05,17,153
2019-10-05,18,157
2019-10-05,19,145
2019-10-05,20,109
2019-10-05,21,70
2019-10-05,22,77
2019-10-05,23,89
2019-10-06,0,81
2019-10-06,1,38
2019-10-06,2,31
2019-10-06,3,29
2019-10-06,4,17
2019-10-06,5,6
2019-10-06,6,16
2019-10-06,7,31
2019-10-06,8,39
2019-10-06,9,63
2019-10-06,10,87
2019-10-06,11,128
2019-10-06,12,147
2019-10-06,13,157
2019-10-06,14,134
2019-10-06,15,167
2019-10-06,16,139
2019-10-06,17,167
2019-10-06,18,107
2019-10-06,19,98
2019-10-06,20,70
2019-10-06,21,57
2019-10-06,22,61
2019-10-06,23,40
2019-10-07,0,10
2019-10-07,1,9
2019-10-07,2,6
2019-10-07,3,9
2019-10-07,4,11
2019-10-07,5,16
2019-10-07,6,49
2019-10-07,7,99
2019-10-07,8,103
2019-10-07,9,111
2019-10-07,10,90
2019-10-07,11,96
2019-10-07,12,145
2019-10-07,13,127
2019-10-07,14,159
2019-10-07,15,127
2019-10-07,16,199
2019-10-07,17,146
2019-10-07,18,136
2019-10-07,19,112
2019-10-07,20,82
2019-10-07,21,61
2019-10-07,22,44
2019-10-07,23,34
2019-10-08,0,15
2019-10-08,1,5
2019-10-08,2,4
2019-10-08,3,10
2019-10-08,4,9
2019-10-08,5,21
