date,time,flow
2019-10-01,0,12
2019-10-01,1,12
2019-10-01,2,4
2019-10-01,3,4
2019-10-01,4,22
2019-10-01,5,37
2019-10-01,6,66
2019-10-01,7,148
2019-10-01,8,163
2019-10-01,9,154
2019-10-01,10,161
2019-10-01,11,163
2019-10-01,12,151
2019-10-01,13,166
2019-10-01,14,168
2019-10-01,15,144
2019-10-01,16,123
2019-10-01,17,111
2019-10-01,18,99
2019-10-01,19,67
2019-10-01,20,44
2019-10-01,21,36
2019-10-01,22,32
2019-10-01,23,13
2019-10-02,0,17
2019-10-02,1,4
2019-10-02,2,8
2019-10-02,3,4
2019-10-02,4,12
2019-10-02,5,27
2019-10-02,6,71
2019-10-02,7,188
2019-10-02,8,150
2019-10-02,9,154
2019-10-02,10,130
2019-10-02,11,149
2019-10-02,12,173
2019-10-02,13,168
2019-10-02,14,163
2019-10-02,15,163
2019-10-02,16,143
2019-10-02,17,127
2019-10-02,18,112
2019-10-02,19,80
2019-10-02,20,48
2019-10-02,21,32
2019-10-02,22,31
2019-10-02,23,25
2019-10-03,0,8
2019-10-03,1,4
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,8
2019-10-03,5,21
2019-10-03,6,68
2019-10-03,7,173
2019-10-03,8,155
2019-10-03,9,128
2019-10-03,10,145
2019-10-03,11,141
2019-10-03,12,161
2019-10-03,13,153
2019-10-03,14,154
2019-10-03,15,148
2019-10-03,16,133
2019-10-03,17,127
2019-10-03,18,122
2019-10-03,19,75
2019-10-03,20,56
2019-10-03,21,36
2019-10-03,22,39
2019-10-03,23,16
2019-10-04,0,20
2019-10-04,1,4
2019-10-04,2,0
2019-10-04,3,8
2019-10-04,4,13
2019-10-04,5,17
2019-10-04,6,53
2019-10-04,7,158
2019-10-04,8,164
2019-10-04,9,141
2019-10-04,10,152
2019-10-04,11,159
2019-10-04,12,164
2019-10-04,13,162
2019-10-04,14,182
2019-10-04,15,173
2019-10-04,16,136
2019-10-04,17,133
2019-10-04,18,109
2019-10-04,19,76
2019-10-04,20,52
2019-10-04,21,59
2019-10-04,22,44
2019-10-04,23,77
2019-10-05,0,30
2019-10-05,1,13
2019-10-05,2,16
2019-10-05,3,8
2019-10-05,4,9
2019-10-05,5,9
2019-10-05,6,17
2019-10-05,7,45
2019-10-05,8,88
2019-10-05,9,137
2019-10-05,10,155
