date,time,flow
2019-10-01,0,0
2019-10-01,1,1
2019-10-01,2,2
2019-10-01,3,3
2019-10-01,4,21
2019-10-01,5,50
2019-10-01,6,125
2019-10-01,7,122
2019-10-01,8,106
2019-10-01,9,84
2019-10-01,10,62
2019-10-01,11,86
2019-10-01,12,133
2019-10-01,13,74
2019-10-01,14,71
2019-10-01,15,122
2019-10-01,16,146
2019-10-01,17,110
2019-10-01,18,73
2019-10-01,19,38
2019-10-01,20,24
2019-10-01,21,21
2019-10-01,22,5
2019-10-01,23,8
2019-10-02,0,0
2019-10-02,1,2
2019-10-02,2,1
2019-10-02,3,5
2019-10-02,4,15
2019-10-02,5,41
2019-10-02,6,119
2019-10-02,7,131
2019-10-02,8,95
2019-10-02,9,65
2019-10-02,10,58
2019-10-02,11,66
2019-10-02,12,61
2019-10-02,13,63
2019-10-02,14,79
2019-10-02,15,99
2019-10-02,16,167
2019-10-02,17,122
2019-10-02,18,66
2019-10-02,19,63
2019-10-02,20,29
2019-10-02,21,19
2019-10-02,22,10
2019-10-02,23,7
2019-10-03,0,1
2019-10-03,1,1
2019-10-03,2,0
2019-10-03,3,13
2019-10-03,4,16
2019-10-03,5,50
2019-10-03,6,101
2019-10-03,7,144
2019-10-03,8,111
2019-10-03,9,81
2019-10-03,10,61
2019-10-03,11,87
2019-10-03,12,72
2019-10-03,13,84
2019-10-03,14,110
2019-10-03,15,126
2019-10-03,16,145
2019-10-03,17,125
2019-10-03,18,63
2019-10-03,19,45
2019-10-03,20,32
2019-10-03,21,25
2019-10-03,22,15
2019-10-03,23,6
2019-10-04,0,4
2019-10-04,1,0
2019-10-04,2,2
2019-10-04,3,6
2019-10-04,4,13
2019-10-04,5,48
2019-10-04,6,106
2019-10-04,7,103
2019-10-04,8,120
2019-10-04,9,71
2019-10-04,10,85
2019-10-04,11,89
2019-10-04,12,105
2019-10-04,13,126
2019-10-04,14,121
2019-10-04,15,141
2019-10-04,16,127
2019-10-04,17,90
2019-10-04,18,69
2019-10-04,19,41
2019-10-04,20,27
2019-10-04,21,20
2019-10-04,22,11
2019-10-04,23,9
2019-10-05,0,6
2019-10-05,1,4
2019-10-05,2,2
2019-10-05,3,5
2019-10-05,4,8
2019-10-05,5,9
2019-10-05,6,17
2019-10-05,7,50
2019-10-05,8,64
2019-10-05,9,88
2019-10-05,10,97
2019-10-05,11,150
2019-10-05,12,119
2019-10-05,13,91
2019-10-05,14,77
2019-10-05,15,74
2019-10-05,16,73
2019-10-05,17,60
2019-10-05,18,61
2019-10-05,19,43
2019-10-05,20,24
2019-10-05,21,18
2019-10-05,22,20
2019-10-05,23,14
2019-10-06,0,11
2019-10-06,1,5
2019-10-06,2,4
2019-10-06,3,4
2019-10-06,4,7
2019-10-06,5,9
2019-10-06,6,12
2019-10-06,7,23
2019-10-06,8,29
2019-10-06,9,61
2019-10-06,10,49
2019-10-06,11,105
2019-10-06,12,92
2019-10-06,13,112
2019-10-06,14,79
2019-10-06,15,68
2019-10-06,16,55
2019-10-06,17,59
2019-10-06,18,36
2019-10-06,19,25
2019-10-06,20,22
2019-10-06,21,12
2019-10-06,22,11
2019-10-06,23,6
2019-10-07,0,3
2019-10-07,1,2
