date,time,flow
2019-10-01,0,0
2019-10-01,1,0
2019-10-01,2,0
2019-10-01,3,0
2019-10-01,4,4
2019-10-01,5,21
2019-10-01,6,49
2019-10-01,7,88
2019-10-01,8,71
2019-10-01,9,80
2019-10-01,10,76
2019-10-01,11,80
2019-10-01,12,116
2019-10-01,13,118
2019-10-01,14,123
2019-10-01,15,155
2019-10-01,16,171
2019-10-01,17,163
2019-10-01,18,136
2019-10-01,19,79
2019-10-01,20,72
2019-10-01,21,48
2019-10-01,22,16
2019-10-01,23,12
2019-10-02,0,0
2019-10-02,1,0
2019-10-02,2,0
2019-10-02,3,0
2019-10-02,4,8
2019-10-02,5,12
2019-10-02,6,48
2019-10-02,7,80
2019-10-02,8,83
2019-10-02,9,67
2019-10-02,10,80
2019-10-02,11,92
2019-10-02,12,88
2019-10-02,13,88
2019-10-02,14,122
2019-10-02,15,166
2019-10-02,16,209
2019-10-02,17,159
2019-10-02,18,109
2019-10-02,19,92
2019-10-02,20,67
2019-10-02,21,44
2019-10-02,22,16
2019-10-02,23,12
2019-10-03,0,0
2019-10-03,1,0
2019-10-03,2,0
2019-10-03,3,0
2019-10-03,4,0
2019-10-03,5,16
2019-10-03,6,49
2019-10-03,7,84
2019-10-03,8,92
2019-10-03,9,67
2019-10-03,10,67
2019-10-03,11,92
2019-10-03,12,92
2019-10-03,13,114
2019-10-03,14,118
2019-10-03,15,150
2019-10-03,16,180
2019-10-03,17,153
2019-10-03,18,116
2019-10-03,19,80
2019-10-03,20,62
2019-10-03,21,57
2019-10-03,22,26
2019-10-03,23,17
2019-10-04,0,4
2019-10-04,1,0
2019-10-04,2,0
2019-10-04,3,0
2019-10-04,4,4
2019-10-04,5,21
2019-10-04,6,58
2019-10-04,7,84
2019-10-04,8,71
2019-10-04,9,67
2019-10-04,10,88
2019-10-04,11,100
2019-10-04,12,119
2019-10-04,13,119
2019-10-04,14,150
2019-10-04,15,178
2019-10-04,16,179
2019-10-04,17,169
2019-10-04,18,123
2019-10-04,19,96
2019-10-04,20,67
2019-10-04,21,67
2019-10-04,22,40
2019-10-04,23,21
2019-10-05,0,16
2019-10-05,1,4
2019-10-05,2,0
2019-10-05,3,0
2019-10-05,4,0
2019-10-05,5,4
2019-10-05,6,16
2019-10-05,7,35
2019-10-05,8,44
2019-10-05,9,67
2019-10-05,10,76
2019-10-05,11,88
2019-10-05,12,110
2019-10-05,13,105
2019-10-05,14,96
2019-10-05,15,118
2019-10-05,16,128
2019-10-05,17,127
2019-10-05,18,96
2019-10-05,19,66
2019-10-05,20,40
2019-10-05,21,36
2019-10-05,22,36
2019-10-05,23,26
2019-10-06,0,16
2019-10-06,1,16
2019-10-06,2,8
2019-10-06,3,8
2019-10-06,4,0
2019-10-06,5,4
2019-10-06,6,16
2019-10-06,7,16
2019-10-06,8,26
2019-10-06,9,31
2019-10-06,10,49
2019-10-06,11,80
2019-10-06,12,88
2019-10-06,13,89
2019-10-06,14,92
2019-10-06,15,88
2019-10-06,16,118
2019-10-06,17,96
2019-10-06,18,84
2019-10-06,19,62
2019-10-06,20,44
2019-10-06,21,36
2019-10-06,22,21
2019-10-06,23,16
2019-10-07,0,4
2019-10-07,1,0
2019-10-07,2,0
2019-10-07,3,0
2019-10-07,4,8
2019-10-07,5,21
2019-10-07,6,48
2019-10-07,7,71
2019-10-07,8,76
2019-10-07,9,57
2019-10-07,10,61
2019-10-07,11,86
2019-10-07,12,105
2019-10-07,13,107
2019-10-07,14,112
2019-10-07,15,136
2019-10-07,16,167
2019-10-07,17,154
2019-10-07,18,123
2019-10-07,19,72
2019-10-07,20,60
2019-10-07,21,43
2019-10-07,22,18
2019-10-07,23,11
2019-10-08,0,6
2019-10-08,1,1
2019-10-08,2,1
2019-10-08,3,3
2019-10-08,4,10
2019-10-08,5,21
2019-10-08,6,42
2019-10-08,7,83
2019-10-08,8,95
2019-10-08,9,63
2019-10-08,10,96
2019-10-08,11,67
2019-10-08,12,89
2019-10-08,13,118
2019-10-08,14,132
2019-10-08,15,176
2019-10-08,16,203
2019-10-08,17,189
2019-10-08,18,137
2019-10-08,19,75
2019-10-08,20,80
2019-10-08,21,35
2019-10-08,22,16
2019-10-08,23,12
2019-10-09,0,4
2019-10-09,1,0
2019-10-09,2,0
2019-10-09,3,4
2019-10-09,4,8
2019-10-09,5,16
2019-10-09,6,48
2019-10-09,7,92
2019-10-09,8,101
2019-10-09,9,67
2019-10-09,10,72
2019-10-09,11,96
2019-10-09,12,105
2019-10-09,13,100
2019-10-09,14,120
2019-10-09,15,173
2019-10-09,16,217
2019-10-09,17,190
2019-10-09,18,115
2019-10-09,19,101
2019-10-09,20,76
2019-10-09,21,52
2019-10-09,22,26
2019-10-09,23,16
2019-10-10,0,0
2019-10-10,1,0
2019-10-10,2,0
2019-10-10,3,4
2019-10-10,4,4
2019-10-10,5,21
2019-10-10,6,49
2019-10-10,7,80
2019-10-10,8,88
2019-10-10,9,66
2019-10-10,10,78
2019-10-10,11,92
2019-10-10,12,103
2019-10-10,13,108
2019-10-10,14,114
2019-10-10,15,126
2019-10-10,16,164
2019-10-10,17,159
2019-10-10,18,127
2019-10-10,19,93
2019-10-10,20,76
2019-10-10,21,76
2019-10-10,22,40
2019-10-10,23,16
2019-10-11,0,4
2019-10-11,1,0
2019-10-11,2,0
2019-10-11,3,9
2019-10-11,4,4
2019-10-11,5,21
2019-10-11,6,58
2019-10-11,7,76
2019-10-11,8,71
2019-10-11,9,71
2019-10-11,10,84
2019-10-11,11,96
2019-10-11,12,118
2019-10-11,13,124
2019-10-11,14,154
2019-10-11,15,195
2019-10-11,16,223
2019-10-11,17,167
2019-10-11,18,111
2019-10-11,19,93
2019-10-11,20,67
2019-10-11,21,72
2019-10-11,22,40
