date,time,flow
2019-10-01,0,7
2019-10-01,1,8
2019-10-01,2,5
2019-10-01,3,5
2019-10-01,4,8
2019-10-01,5,37
2019-10-01,6,126
2019-10-01,7,121
2019-10-01,8,105
2019-10-01,9,89
2019-10-01,10,76
2019-10-01,11,76
2019-10-01,12,88
2019-10-01,13,77
2019-10-01,14,87
2019-10-01,15,86
2019-10-01,16,67
2019-10-01,17,87
2019-10-01,18,85
2019-10-01,19,50
2019-10-01,20,38
2019-10-01,21,31
2019-10-01,22,16
2019-10-01,23,16
2019-10-02,0,10
2019-10-02,1,2
2019-10-02,2,6
2019-10-02,3,7
2019-10-02,4,12
2019-10-02,5,38
2019-10-02,6,115
2019-10-02,7,133
2019-10-02,8,132
2019-10-02,9,95
2019-10-02,10,84
2019-10-02,11,91
2019-10-02,12,87
2019-10-02,13,81
2019-10-02,14,71
2019-10-02,15,83
2019-10-02,16,71
2019-10-02,17,72
2019-10-02,18,81
2019-10-02,19,65
2019-10-02,20,48
2019-10-02,21,39
2019-10-02,22,20
2019-10-02,23,18
2019-10-03,0,8
2019-10-03,1,5
2019-10-03,2,7
2019-10-03,3,7
2019-10-03,4,11
2019-10-03,5,32
2019-10-03,6,99
2019-10-03,7,119
2019-10-03,8,148
2019-10-03,9,93
2019-10-03,10,86
2019-10-03,11,78
2019-10-03,12,85
2019-10-03,13,92
2019-10-03,14,92
2019-10-03,15,80
2019-10-03,16,76
2019-10-03,17,71
2019-10-03,18,80
2019-10-03,19,61
2019-10-03,20,48
2019-10-03,21,27
2019-10-03,22,37
2019-10-03,23,11
2019-10-04,0,9
2019-10-04,1,9
2019-10-04,2,3
2019-10-04,3,10
2019-10-04,4,8
2019-10-04,5,35
2019-10-04,6,83
2019-10-04,7,109
2019-10-04,8,102
2019-10-04,9,80
2019-10-04,10,92
2019-10-04,11,96
2019-10-04,12,98
2019-10-04,13,110
2019-10-04,14,99
2019-10-04,15,108
2019-10-04,16,126
2019-10-04,17,104
2019-10-04,18,108
2019-10-04,19,74
2019-10-04,20,66
2019-10-04,21,47
2019-10-04,22,36
2019-10-04,23,31
2019-10-05,0,20
2019-10-05,1,14
2019-10-05,2,9
2019-10-05,3,9
2019-10-05,4,11
2019-10-05,5,19
2019-10-05,6,25
2019-10-05,7,47
2019-10-05,8,59
2019-10-05,9,77
2019-10-05,10,95
2019-10-05,11,106
2019-10-05,12,129
2019-10-05,13,129
2019-10-05,14,98
2019-10-05,15,98
2019-10-05,16,110
2019-10-05,17,118
2019-10-05,18,128
2019-10-05,19,78
2019-10-05,20,66
2019-10-05,21,67
2019-10-05,22,46
2019-10-05,23,41
2019-10-06,0,26
2019-10-06,1,18
2019-10-06,2,20
2019-10-06,3,18
