date,time,flow
2019-10-01,0,8
2019-10-01,1,9
2019-10-01,2,6
2019-10-01,3,3
2019-10-01,4,11
2019-10-01,5,34
2019-10-01,6,123
2019-10-01,7,161
2019-10-01,8,162
2019-10-01,9,136
2019-10-01,10,129
2019-10-01,11,110
2019-10-01,12,125
2019-10-01,13,100
2019-10-01,14,114
2019-10-01,15,89
2019-10-01,16,112
2019-10-01,17,104
2019-10-01,18,89
2019-10-01,19,45
2019-10-01,20,43
2019-10-01,21,42
2019-10-01,22,13
2019-10-01,23,12
2019-10-02,0,9
2019-10-02,1,6
2019-10-02,2,6
2019-10-02,3,8
2019-10-02,4,10
2019-10-02,5,54
2019-10-02,6,136
2019-10-02,7,169
2019-10-02,8,124
2019-10-02,9,124
2019-10-02,10,103
2019-10-02,11,96
2019-10-02,12,109
2019-10-02,13,137
2019-10-02,14,110
2019-10-02,15,99
2019-10-02,16,111
2019-10-02,17,100
2019-10-02,18,94
2019-10-02,19,38
2019-10-02,20,41
2019-10-02,21,23
2019-10-02,22,29
2019-10-02,23,8
2019-10-03,0,9
2019-10-03,1,8
2019-10-03,2,4
2019-10-03,3,4
2019-10-03,4,15
2019-10-03,5,56
2019-10-03,6,128
2019-10-03,7,208
2019-10-03,8,122
2019-10-03,9,84
2019-10-03,10,112
2019-10-03,11,143
2019-10-03,12,125
2019-10-03,13,115
2019-10-03,14,115
2019-10-03,15,115
2019-10-03,16,112
2019-10-03,17,56
2019-10-03,18,38
2019-10-03,19,44
2019-10-03,20,38
2019-10-03,21,36
2019-10-03,22,23
2019-10-03,23,17
2019-10-04,0,11
2019-10-04,1,6
2019-10-04,2,7
2019-10-04,3,2
2019-10-04,4,13
2019-10-04,5,57
2019-10-04,6,128
2019-10-04,7,157
2019-10-04,8,128
2019-10-04,9,106
2019-10-04,10,77
2019-10-04,11,81
2019-10-04,12,150
2019-10-04,13,134
2019-10-04,14,102
2019-10-04,15,78
2019-10-04,16,91
2019-10-04,17,83
2019-10-04,18,59
2019-10-04,19,38
2019-10-04,20,32
2019-10-04,21,34
2019-10-04,22,27
2019-10-04,23,17
2019-10-05,0,9
2019-10-05,1,8
2019-10-05,2,6
2019-10-05,3,5
2019-10-05,4,5
2019-10-05,5,26
2019-10-05,6,37
2019-10-05,7,24
2019-10-05,8,56
2019-10-05,9,54
2019-10-05,10,64
2019-10-05,11,42
2019-10-05,12,111
2019-10-05,13,77
2019-10-05,14,86
2019-10-05,15,70
2019-10-05,16,42
2019-10-05,17,63
2019-10-05,18,90
2019-10-05,19,42
2019-10-05,20,38
2019-10-05,21,27
2019-10-05,22,29
2019-10-05,23,16
2019-10-06,0,22
2019-10-06,1,9
2019-10-06,2,11
2019-10-06,3,10
2019-10-06,4,4
2019-10-06,5,19
2019-10-06,6,15
2019-10-06,7,16
2019-10-06,8,29
2019-10-06,9,48
2019-10-06,10,56
2019-10-06,11,128
2019-10-06,12,156
2019-10-06,13,164
2019-10-06,14,70
2019-10-06,15,78
2019-10-06,16,66
2019-10-06,17,72
2019-10-06,18,52
2019-10-06,19,49
2019-10-06,20,20
2019-10-06,21,18
2019-10-06,22,9
2019-10-06,23,13
2019-10-07,0,5
2019-10-07,1,7
2019-10-07,2,6
2019-10-07,3,3
2019-10-07,4,5
2019-10-07,5,40
2019-10-07,6,149
2019-10-07,7,167
2019-10-07,8,142
2019-10-07,9,100
2019-10-07,10,94
2019-10-07,11,104
2019-10-07,12,97
2019-10-07,13,115
2019-10-07,14,109
2019-10-07,15,87
2019-10-07,16,124
2019-10-07,17,111
2019-10-07,18,45
2019-10-07,19,59
2019-10-07,20,33
2019-10-07,21,43
2019-10-07,22,14
2019-10-07,23,14
2019-10-08,0,9
