date,time,flow
2019-10-01,0,15
2019-10-01,1,5
2019-10-01,2,4
2019-10-01,3,5
2019-10-01,4,16
2019-10-01,5,35
2019-10-01,6,65
2019-10-01,7,136
2019-10-01,8,140
2019-10-01,9,136
2019-10-01,10,168
2019-10-01,11,178
2019-10-01,12,178
2019-10-01,13,187
2019-10-01,14,211
2019-10-01,15,225
2019-10-01,16,197
2019-10-01,17,207
2019-10-01,18,139
2019-10-01,19,76
2019-10-01,20,69
2019-10-01,21,35
2019-10-01,22,13
2019-10-01,23,14
2019-10-02,0,10
2019-10-02,1,10
2019-10-02,2,8
2019-10-02,3,6
2019-10-02,4,11
2019-10-02,5,36
2019-10-02,6,75
2019-10-02,7,99
2019-10-02,8,119
2019-10-02,9,116
2019-10-02,10,166
2019-10-02,11,194
2019-10-02,12,175
2019-10-02,13,224
2019-10-02,14,202
2019-10-02,15,199
2019-10-02,16,289
2019-10-02,17,192
2019-10-02,18,106
2019-10-02,19,89
2019-10-02,20,73
2019-10-02,21,42
2019-10-02,22,22
2019-10-02,23,16
2019-10-03,0,7
2019-10-03,1,5
2019-10-03,2,8
2019-10-03,3,6
2019-10-03,4,11
2019-10-03,5,41
2019-10-03,6,75
2019-10-03,7,111
2019-10-03,8,123
2019-10-03,9,144
2019-10-03,10,189
2019-10-03,11,177
2019-10-03,12,188
2019-10-03,13,160
2019-10-03,14,229
2019-10-03,15,257
2019-10-03,16,227
2019-10-03,17,130
2019-10-03,18,107
2019-10-03,19,94
2019-10-03,20,67
2019-10-03,21,37
2019-10-03,22,26
2019-10-03,23,20
2019-10-04,0,9
2019-10-04,1,8
2019-10-04,2,4
2019-10-04,3,2
2019-10-04,4,16
2019-10-04,5,37
2019-10-04,6,84
2019-10-04,7,129
2019-10-04,8,112
2019-10-04,9,131
2019-10-04,10,164
2019-10-04,11,180
2019-10-04,12,255
2019-10-04,13,212
2019-10-04,14,198
2019-10-04,15,251
2019-10-04,16,215
2019-10-04,17,186
2019-10-04,18,118
2019-10-04,19,100
2019-10-04,20,58
2019-10-04,21,64
2019-10-04,22,31
2019-10-04,23,14
2019-10-05,0,13
2019-10-05,1,12
2019-10-05,2,8
2019-10-05,3,10
2019-10-05,4,6
2019-10-05,5,20
2019-10-05,6,37
2019-10-05,7,45
2019-10-05,8,77
2019-10-05,9,84
2019-10-05,10,106
2019-10-05,11,121
2019-10-05,12,124
2019-10-05,13,129
2019-10-05,14,171
2019-10-05,15,166
2019-10-05,16,120
2019-10-05,17,103
2019-10-05,18,98
2019-10-05,19,81
2019-10-05,20,52
2019-10-05,21,40
2019-10-05,22,20
2019-10-05,23,25
2019-10-06,0,15
2019-10-06,1,10
2019-10-06,2,9
2019-10-06,3,8
2019-10-06,4,7
2019-10-06,5,15
2019-10-06,6,27
2019-10-06,7,23
2019-10-06,8,44
2019-10-06,9,61
2019-10-06,10,86
2019-10-06,11,111
2019-10-06,12,101
2019-10-06,13,63
2019-10-06,14,106
2019-10-06,15,115
2019-10-06,16,292
2019-10-06,17,213
2019-10-06,18,97
2019-10-06,19,77
2019-10-06,20,40
2019-10-06,21,41
2019-10-06,22,23
2019-10-06,23,12
2019-10-07,0,12
2019-10-07,1,10
2019-10-07,2,3
2019-10-07,3,7
2019-10-07,4,14
2019-10-07,5,53
2019-10-07,6,109
2019-10-07,7,149
2019-10-07,8,140
2019-10-07,9,168
2019-10-07,10,152
2019-10-07,11,178
2019-10-07,12,165
2019-10-07,13,188
2019-10-07,14,173
2019-10-07,15,196
2019-10-07,16,202
2019-10-07,17,207
2019-10-07,18,84
2019-10-07,19,81
2019-10-07,20,62
2019-10-07,21,35
2019-10-07,22,24
2019-10-07,23,25
2019-10-08,0,18
2019-10-08,1,11
2019-10-08,2,8
2019-10-08,3,7
2019-10-08,4,17
2019-10-08,5,29
2019-10-08,6,73
2019-10-08,7,100
2019-10-08,8,104
2019-10-08,9,128
2019-10-08,10,146
2019-10-08,11,196
2019-10-08,12,177
2019-10-08,13,190
2019-10-08,14,168
2019-10-08,15,254
2019-10-08,16,233
2019-10-08,17,186
2019-10-08,18,113
2019-10-08,19,103
2019-10-08,20,79
2019-10-08,21,47
2019-10-08,22,24
2019-10-08,23,25
2019-10-09,0,8
2019-10-09,1,7
2019-10-09,2,5
2019-10-09,3,7
2019-10-09,4,17
2019-10-09,5,40
2019-10-09,6,73
2019-10-09,7,125
2019-10-09,8,114
2019-10-09,9,128
2019-10-09,10,146
2019-10-09,11,179
2019-10-09,12,249
2019-10-09,13,163
2019-10-09,14,214
2019-10-09,15,219
2019-10-09,16,240
2019-10-09,17,113
2019-10-09,18,118
2019-10-09,19,78
2019-10-09,20,72
2019-10-09,21,46
2019-10-09,22,31
2019-10-09,23,22
2019-10-10,0,12
2019-10-10,1,6
2019-10-10,2,4
2019-10-10,3,8
2019-10-10,4,14
2019-10-10,5,38
2019-10-10,6,97
2019-10-10,7,109
2019-10-10,8,112
2019-10-10,9,139
2019-10-10,10,131
2019-10-10,11,187
2019-10-10,12,194
2019-10-10,13,198
2019-10-10,14,196
2019-10-10,15,217
2019-10-10,16,154
2019-10-10,17,183
2019-10-10,18,134
2019-10-10,19,84
2019-10-10,20,81
2019-10-10,21,52
2019-10-10,22,36
2019-10-10,23,27
2019-10-11,0,11
2019-10-11,1,17
2019-10-11,2,9
2019-10-11,3,9
2019-10-11,4,19
2019-10-11,5,40
2019-10-11,6,87
2019-10-11,7,111
2019-10-11,8,131
2019-10-11,9,138
2019-10-11,10,161
2019-10-11,11,261
2019-10-11,12,262
2019-10-11,13,272
2019-10-11,14,250
2019-10-11,15,303
2019-10-11,16,277
2019-10-11,17,203
2019-10-11,18,172
2019-10-11,19,137
2019-10-11,20,88
2019-10-11,21,67
2019-10-11,22,53
2019-10-11,23,40
2019-10-12,0,21
2019-10-12,1,16
2019-10-12,2,16
2019-10-12,3,12
2019-10-12,4,16
2019-10-12,5,26
2019-10-12,6,49
2019-10-12,7,88
2019-10-12,8,96
2019-10-12,9,118
2019-10-12,10,159
2019-10-12,11,162
2019-10-12,12,221
2019-10-12,13,216
2019-10-12,14,193
2019-10-12,15,176
2019-10-12,16,185
2019-10-12,17,146
2019-10-12,18,119
2019-10-12,19,106
2019-10-12,20,80
2019-10-12,21,62
2019-10-12,22,53
2019-10-12,23,49
2019-10-13,0,31
2019-10-13,1,21
2019-10-13,2,16
2019-10-13,3,16
2019-10-13,4,16
2019-10-13,5,31
2019-10-13,6,39
2019-10-13,7,48
2019-10-13,8,53
2019-10-13,9,80
2019-10-13,10,97
2019-10-13,11,128
2019-10-13,12,164
2019-10-13,13,180
2019-10-13,14,155
2019-10-13,15,154
2019-10-13,16,184
2019-10-13,17,132
2019-10-13,18,119
2019-10-13,19,110
2019-10-13,20,76
2019-10-13,21,49
2019-10-13,22,36
2019-10-13,23,17
2019-10-14,0,16
2019-10-14,1,12
2019-10-14,2,8
2019-10-14,3,12
2019-10-14,4,21
2019-10-14,5,53
2019-10-14,6,109
2019-10-14,7,137
2019-10-14,8,132
2019-10-14,9,159
2019-10-14,10,181
2019-10-14,11,221
2019-10-14,12,243
2019-10-14,13,224
2019-10-14,14,248
2019-10-14,15,277
2019-10-14,16,281
2019-10-14,17,212
2019-10-14,18,145
2019-10-14,19,122
2019-10-14,20,97
2019-10-14,21,71
2019-10-14,22,40
2019-10-14,23,30
2019-10-15,0,16
2019-10-15,1,12
2019-10-15,2,8
2019-10-15,3,8
2019-10-15,4,21
2019-10-15,5,48
2019-10-15,6,102
2019-10-15,7,151
2019-10-15,8,150
2019-10-15,9,145
2019-10-15,10,193
2019-10-15,11,225
2019-10-15,12,238
2019-10-15,13,229
2019-10-15,14,273
2019-10-15,15,304
2019-10-15,16,298
2019-10-15,17,225
2019-10-15,18,159
2019-10-15,19,132
2019-10-15,20,88
2019-10-15,21,53
2019-10-15,22,40
2019-10-15,23,27
2019-10-16,0,16
2019-10-16,1,12
2019-10-16,2,8
2019-10-16,3,4
2019-10-16,4,12
2019-10-16,5,43
2019-10-16,6,97
2019-10-16,7,141
2019-10-16,8,145
2019-10-16,9,163
2019-10-16,10,198
2019-10-16,11,232
2019-10-16,12,271
2019-10-16,13,243
2019-10-16,14,242
2019-10-16,15,283
2019-10-16,16,303
2019-10-16,17,210
2019-10-16,18,140
2019-10-16,19,150
2019-11-20,12,184
2019-11-20,13,264
2019-11-20,14,287
2019-11-20,15,286
2019-11-20,16,288
2019-11-20,17,281
2019-11-20,18,313
2019-11-20,19,183
2019-11-20,20,157
2019-11-20,21,104
2019-11-20,22,80
2019-11-20,23,39
2019-11-21,0,24
2019-11-21,1,17
2019-11-21,2,7
2019-11-21,3,7
2019-11-21,4,10
2019-11-21,5,26
2019-11-21,6,62
2019-11-21,7,133
2019-11-21,8,166
2019-11-21,9,210
2019-11-21,10,192
2019-11-21,11,265
2019-11-21,12,280
2019-11-21,13,280
2019-11-21,14,273
2019-11-21,15,248
2019-11-21,16,298
2019-11-21,17,238
2019-11-21,18,248
2019-11-21,19,163
2019-11-21,20,129
2019-11-21,21,106
2019-11-21,22,70
2019-11-21,23,37
2019-11-22,0,22
2019-11-22,1,10
2019-11-22,2,10
2019-11-22,3,8
2019-11-22,4,14
2019-11-22,5,31
2019-11-22,6,60
2019-11-22,7,155
2019-11-22,8,179
2019-11-22,9,216
2019-11-22,10,215
2019-11-22,11,243
2019-11-22,12,263
2019-11-22,13,259
2019-11-22,14,258
2019-11-22,15,241
2019-11-22,16,224
2019-11-22,17,306
2019-11-22,18,270
2019-11-22,19,169
2019-11-22,20,123
2019-11-22,21,87
2019-11-22,22,68
2019-11-22,23,57
2019-11-23,0,35
2019-11-23,1,16
2019-11-23,2,17
2019-11-23,3,15
2019-11-23,4,9
2019-11-23,5,15
2019-11-23,6,37
2019-11-23,7,65
2019-11-23,8,81
2019-11-23,9,120
2019-11-23,10,158
2019-11-23,11,148
2019-11-23,12,211
2019-11-23,13,221
2019-11-23,14,165
2019-11-23,15,219
2019-11-23,16,242
2019-11-23,17,181
2019-11-23,18,191
2019-11-23,19,142
2019-11-23,20,107
2019-11-23,21,69
2019-11-23,22,58
2019-11-23,23,45
2019-11-24,0,41
2019-11-24,1,27
2019-11-24,2,18
2019-11-24,3,14
2019-11-24,4,13
2019-11-24,5,12
2019-11-24,6,33
2019-11-24,7,44
2019-11-24,8,62
2019-11-24,9,67
2019-11-24,10,95
2019-11-24,11,133
2019-11-24,12,156
2019-11-24,13,195
2019-11-24,14,227
2019-11-24,15,246
2019-11-24,16,200
2019-11-24,17,157
2019-11-24,18,136
2019-11-24,19,126
2019-11-24,20,92
2019-11-24,21,80
2019-11-24,22,46
2019-11-24,23,39
2019-11-25,0,17
2019-11-25,1,13
2019-11-25,2,18
2019-11-25,3,12
2019-11-25,4,10
2019-11-25,5,28
2019-11-25,6,73
2019-11-25,7,166
2019-11-25,8,196
2019-11-25,9,204
2019-11-25,10,204
2019-11-25,11,227
2019-11-25,12,228
2019-11-25,13,259
2019-11-25,14,232
2019-11-25,15,244
2019-11-25,16,286
2019-11-25,17,334
2019-11-25,18,261
2019-11-25,19,174
2019-11-25,20,146
2019-11-25,21,99
2019-11-25,22,71
2019-11-25,23,30
2019-11-26,0,17
2019-11-26,1,6
2019-11-26,2,15
2019-11-26,3,7
2019-11-26,4,12
2019-11-26,5,21
2019-11-26,6,73
2019-11-26,7,131
2019-11-26,8,184
2019-11-26,9,202
2019-11-26,10,192
2019-11-26,11,185
2019-11-26,12,295
2019-11-26,13,236
2019-11-26,14,264
2019-11-26,15,291
2019-11-26,16,293
2019-11-26,17,314
2019-11-26,18,313
2019-11-26,19,225
2019-11-26,20,176
2019-11-26,21,83
2019-11-26,22,73
2019-11-26,23,47
2019-11-27,0,31
2019-11-27,1,14
2019-11-27,2,4
2019-11-27,3,6
2019-11-27,4,12
2019-11-27,5,23
2019-11-27,6,60
2019-11-27,7,133
2019-11-27,8,195
2019-11-27,9,208
2019-11-27,10,204
2019-11-27,11,209
2019-11-27,12,250
2019-11-27,13,242
2019-11-27,14,279
2019-11-27,15,280
2019-11-27,16,262
2019-11-27,17,317
2019-11-27,18,221
2019-11-27,19,142
2019-11-27,20,139
2019-11-27,21,95
2019-11-27,22,58
2019-11-27,23,31
2019-11-28,0,24
2019-11-28,1,18
2019-11-28,2,7
2019-11-28,3,8
2019-11-28,4,12
2019-11-28,5,30
2019-11-28,6,69
2019-11-28,7,135
2019-11-28,8,172
2019-11-28,9,209
2019-11-28,10,174
2019-11-28,11,260
2019-11-28,12,309
2019-11-28,13,283
2019-11-28,14,252
2019-11-28,15,243
2019-11-28,16,263
2019-11-28,17,297
2019-11-28,18,244
2019-11-28,19,157
2019-11-28,20,132
2019-11-28,21,97
2019-11-28,22,70
2019-11-28,23,68
2019-11-29,0,29
2019-11-29,1,19
2019-11-29,2,15
2019-11-29,3,8
2019-11-29,4,14
2019-11-29,5,23
2019-11-29,6,66
2019-11-29,7,116
2019-11-29,8,199
2019-11-29,9,231
2019-11-29,10,225
2019-11-29,11,213
2019-11-29,12,278
2019-11-29,13,206
2019-11-29,14,228
2019-11-29,15,212
2019-11-29,16,242
2019-11-29,17,271
2019-11-29,18,242
2019-11-29,19,202
2019-11-29,20,137
2019-11-29,21,110
2019-11-29,22,81
2019-11-29,23,54
2019-11-30,0,37
2019-11-30,1,25
