id,latitude,longitude,step 1,step 2,step 3,step 4,step 5.1,step 5.2
DD1701_A,55.89207133579385,-4.389502533088129,0,0,0,0,0,0
DD1701_B,55.89009089504372,-4.383175384174623,1,1,0,0,0,0
DD1701_C,55.89198288109072,-4.386650157412388,1,1,0,0,0,0
GA0151_A,55.863143518141726,-4.27505281020752,1,1,1,1,1,1
GA0151_C,55.86237982790527,-4.270661220332998,1,1,1,1,1,1
GA0151_D,55.86361715483175,-4.270333892956895,1,1,1,1,1,1
GA0151_V,55.862806359557744,-4.269950964816516,1,1,1,1,0,0
GA0151_Z,55.86283080107126,-4.268625923607663,1,1,1,1,0,0
GA0201_S,55.86536784224439,-4.269461129844541,1,1,1,1,0,0
GA0201_T,55.86614756299533,-4.271040978763687,1,1,1,1,0,0
GA0251_A,55.86625907157404,-4.272789630918691,1,1,1,1,0,0
GA0251_C,55.865596219960615,-4.271696045530919,1,1,1,1,0,0
GA0251_D,55.86678852398857,-4.270886602653868,1,1,1,1,0,0
GA0251_E,55.86679573357894,-4.270982922572935,1,1,1,1,0,0
GA0301_P,55.866843545333616,-4.27180085673688,1,0,0,0,0,0
GA0301_R,55.86947439080603,-4.269013415741928,1,1,1,1,0,0
GA0301_T,55.86857445828864,-4.272972876238067,1,1,1,1,0,0
GA0301_W,55.867698205592745,-4.271754872355245,1,1,1,1,0,0
GA0301_X,55.86747922591072,-4.270958893825728,1,1,1,1,0,0
GA0351_A,55.87124081534886,-4.268748816444544,1,1,1,1,0,0
GA0351_B,55.86998524222575,-4.2671410663873575,1,1,1,1,0,0
GA0351_C,55.86774502347543,-4.271166214927868,1,1,1,1,0,0
GA0351_D,55.87104477578346,-4.267682376751687,1,1,1,1,0,0
GA0351_F,55.8691626663695,-4.2693468815298905,1,1,1,1,0,0
GA0401_R,55.86305832768834,-4.269933703376354,1,1,1,1,1,1
GA0401_S,55.86254569670413,-4.266052272953681,1,1,1,1,1,1
GA0401_T,55.863952588670784,-4.268227863465616,1,1,1,1,1,1
GA0571_N,55.86070723971057,-4.263883692348967,1,1,1,1,1,1
GA0571_V,55.86022586104835,-4.265134118419911,1,1,1,1,1,1
GA058A_B,55.86077321627064,-4.265181965503831,1,1,1,1,1,1
GA058A_C,55.8608183994786,-4.26516861539782,1,1,1,1,1,1
GA0601_T,55.86238129228681,-4.265707088968178,1,1,1,1,1,1
GA0601_V,55.86102226515053,-4.266299138880772,1,1,1,1,1,1
GA0651_A,55.86284139777686,-4.26805120630238,1,1,1,1,1,1
GA0651_B,55.862236247979325,-4.2633334140470485,1,1,1,1,1,1
GA0651_C,55.86229040886288,-4.263320583626455,1,1,1,1,1,1
GA0651_D,55.86200673183739,-4.266036861806618,1,1,1,1,1,0
GA070A_S,55.86205072581512,-4.2616925402496255,1,1,1,1,1,1
GA1051_P,55.86129533430519,-4.263182791854149,1,1,1,1,1,1
GA1051_S,55.86051333355115,-4.262210431815335,1,1,1,1,1,1
GA1201_A,55.86825842007205,-4.262325208789392,1,1,1,1,0,0
GA1201_B,55.86747423770223,-4.259514469764702,1,1,1,1,0,0
GA1201_C,55.8674941955104,-4.26087421923302,1,1,1,1,0,0
GA1201_D,55.86931001052249,-4.2598768610287285,1,1,1,1,0,0
GA1201_H,55.86750205100602,-4.259468135176847,1,1,1,1,0,0
GA1251_R,55.87419567141074,-4.2615355849551895,1,1,1,1,0,0
GA1251_S,55.8698287151928,-4.258548328199565,1,1,1,1,0,0
GA1251_T,55.86841445512926,-4.260192455671685,1,1,1,1,0,0
GA1251_V,55.86997918483164,-4.261610092912863,1,1,1,1,0,0
GA1301_A,55.856959063447256,-4.263905310495209,1,1,1,1,1,0
GA1301_G,55.85706130313036,-4.262744781578143,1,1,1,1,1,0
GA1301_P,0.0,0.0,0,0,0,0,0,0
GA1321_B,55.86039697864946,-4.2607174799146295,1,1,1,1,1,1
GA1321_C,55.86063562300639,-4.261913910710349,1,1,1,1,1,1
GA1331_V,55.85999320396004,-4.262148229588757,1,1,1,1,1,1
GA1361_B,55.86186371522894,-4.2601315018488615,1,1,1,1,1,1
GA1361_C,55.86148570666813,-4.261627732488783,1,1,1,1,1,1
GA1371_R,55.86303934451679,-4.2621815166772015,1,1,1,1,1,1
GA1371_V,55.86214696081949,-4.261346547864132,1,1,1,1,1,1
GA1401_R,55.86592441698528,-4.261198533696136,1,1,1,1,0,0
GA1401_T,55.86628329279481,-4.259764949634656,1,1,1,1,0,0
GA1451_M,55.86658912721061,-4.25975075057042,1,1,1,1,0,0
GA1451_R,55.867977472280025,-4.260007227411231,1,1,1,1,0,0
GA1451_S,55.86678933266853,-4.2566776399380695,1,1,1,1,0,0
GA1501_T,55.85679614368984,-4.2610355862583935,1,1,1,1,1,1
GA1551_J,0.0,0.0,0,0,0,0,0,0
GA1571_Q,55.86025543081082,-4.259127192067156,1,1,1,1,1,1
GA1571_T,55.860990514119,-4.260208622506219,1,1,1,1,1,1
GA1601_A,55.86128303053796,-4.261408199654056,1,1,1,1,1,1
GA1651_S,55.86172245341257,-4.258525191822954,1,1,1,1,1,0
GA1651_T,55.86251950713751,-4.2596581956433965,1,1,1,1,1,0
GA183A_A,55.86573047624031,-4.259525060499162,1,1,1,1,0,0
GA1851_A,55.85683110790558,-4.262555626485703,1,1,1,1,1,1
GA1851_C,55.855109995962245,-4.2598670701844,1,1,1,1,1,1
GA1851_E,55.8551024841791,-4.259786742365565,1,1,1,1,1,1
GA1851_F,55.85510395023989,-4.2597069358962205,1,1,1,1,1,1
GA1901_B,55.85837566380664,-4.257244310871647,1,1,1,1,1,0
GA1901_F,0.0,0.0,0,0,0,0,0,0
GA1901_H,0.0,0.0,0,0,0,0,0,0
GA1901_N,55.85678428273496,-4.259724617994603,1,1,0,0,0,0
GA1951_R,55.86113973248423,-4.259913655841071,1,1,1,1,1,0
GA1951_V,0.0,0.0,0,0,0,0,0,0
GA2001_B,55.86152788882549,-4.256883840179388,1,1,1,1,0,0
GA2001_C,55.86111049118906,-4.258569571326698,1,1,1,1,0,0
GA2051_R,55.86266931063688,-4.259331286597653,1,1,1,1,0,0
GA2051_V,55.86178910849917,-4.2583213074355575,1,1,1,1,0,0
GA2101_A,55.86340326237511,-4.259006331320647,1,1,1,1,0,0
GA2101_C,55.86264962734015,-4.257955741740505,1,1,1,1,0,0
GA2151_S,55.86381803876785,-4.255993857153411,1,1,1,1,0,0
GA2151_V,55.86334737110862,-4.257644641260812,1,1,1,1,0,0
GA2201_C,55.86406131229054,-4.257430361790624,1,1,1,1,0,0
GA2251_R,55.865612811185215,-4.258591233022848,1,1,1,1,0,0
GA2251_V,55.86477613183045,-4.257168178932541,1,1,1,1,0,0
GA2301_A,55.8673069936197,-4.258833454792228,1,1,1,1,0,0
GA2301_B,55.86667515880417,-4.255552201998089,1,1,1,1,0,0
GA2301_C,55.86556277400538,-4.256910153802765,1,1,1,1,0,0
GA2301_E,55.86555526048061,-4.256829804869128,1,1,1,1,0,0
GA2351_R,0.0,0.0,0,0,0,0,0,0
GA2351_T,55.85711670640357,-4.2572831345389135,1,1,1,1,1,0
GA2351_X,0.0,0.0,0,0,0,0,0,0
GA2401_A,55.85753923203803,-4.258745783442047,1,1,0,0,0,0
GA2401_B,55.856906998640135,-4.255976666743277,1,1,1,1,1,1
GA2401_D,55.8582303611654,-4.256836391937465,1,1,1,1,1,1
GA2421_W,55.85512327195502,-4.252773469527152,1,1,1,1,1,1
GA2451_T,55.86043921936093,-4.256948534301011,1,1,1,1,1,0
GA2501_D,55.86137819295122,-4.2567153477305295,1,1,1,1,0,0
GA2551_S,55.86142259609011,-4.256254477099935,1,1,1,1,0,0
GA2551_T,55.86221030961522,-4.256428009179907,1,1,1,1,0,0
GA2601_A,55.86250022601733,-4.257771275886284,1,1,1,1,0,0
GA2601_D,55.86296162444285,-4.25613597293283,1,1,1,1,0,0
GA2651_R,55.86322343830514,-4.25754155933178,1,1,1,1,0,0
GA2651_T,55.86365848566547,-4.255872731885361,1,1,1,1,0,0
GA2701_B,55.8636094896864,-4.254623310621573,1,1,1,1,0,0
GA2701_D,55.864391257964655,-4.255611563952368,1,1,1,1,0,0
GA2751_T,55.86512432238658,-4.255334421083806,1,1,1,1,0,0
GA2801_A,55.86540615045904,-4.256629363666894,1,1,1,1,0,0
GA2801_B,55.86507327370817,-4.254196711337343,1,1,1,1,0,0
GA2801_G,55.86536126095586,-4.256626759612004,1,1,1,1,0,0
GA2901_B,55.861193642467136,-4.254035848834273,1,1,1,1,0,0
GA2901_C,55.86060023777566,-4.255519623901867,1,1,1,1,0,0
GA2901_D,55.862031039564506,-4.254931364971087,1,1,1,1,0,0
GA2951_R,55.862307115452616,-4.256050073395752,1,1,1,1,0,0
GA2951_T,55.86279103643167,-4.2546557857873015,1,1,1,1,0,0
GA2951_V,55.86173125688012,-4.255105762212175,1,1,1,1,0,0
GA3221_B,55.85455622712544,-4.250855233139799,1,1,1,1,1,1
GA3221_D,55.85560181565158,-4.252162032434144,1,1,1,1,1,1
GA3251_A,55.85834541660072,-4.256443574200127,1,1,1,1,0,0
GA3301_S,55.86092180429574,-4.251702901209992,1,1,1,1,0,0
GA3351_A,55.86210812957527,-4.254648171869238,1,1,1,1,0,0
GA4101_B,55.8606487540426,-4.249433839780979,1,1,1,1,1,0
GA4101_C,55.86036341899992,-4.2517664685532885,1,1,1,1,1,0
GA4101_G,55.86068495774335,-4.249419952325652,1,1,1,1,1,0
GA4151_V,55.86116829908267,-4.2514934360283245,1,1,1,1,0,0
GA4301_A,55.86166245604906,-4.251010641486377,1,1,1,1,0,0
GA4301_D,55.86233398143197,-4.249675107491648,1,1,1,1,0,0
GA4351_C,0.0,0.0,0,0,0,0,0,0
GA4351_S,55.86304658935487,-4.248549662370607,1,1,1,1,1,0
GA4351_T,55.864334161789216,-4.248911760947647,1,1,1,1,1,0
GA4371_A,55.86316265056062,-4.2490837627946565,1,1,1,1,1,0
GA4371_B,55.86295257120771,-4.245331948314783,1,1,1,1,1,0
GA4371_C,55.861576471367606,-4.248832258852847,1,1,1,1,1,0
GA4401_M,55.8633899477641,-4.249432518576116,1,1,1,1,1,1
GA4401_N,55.86535684098522,-4.248523373767212,1,1,1,1,1,1
GA4401_Y,55.86477919409067,-4.249640707541476,1,1,1,1,1,1
GA4451_A,55.86583129214458,-4.250101118786903,1,1,1,1,1,1
GA4451_C,55.86473933686761,-4.248871255277288,1,1,1,1,1,1
GA4451_D,55.86686870434585,-4.247923492651264,1,1,1,1,1,1
GA4501_R,55.86764767693011,-4.248575880534607,1,1,1,1,1,0
GA4501_S,55.86654993681943,-4.2471698545989165,1,1,1,1,1,0
GA4501_T,55.86771019575789,-4.24662951362045,1,1,1,1,1,1
GA4501_V,55.86577968002779,-4.24849986694222,1,1,1,1,1,1
GA4551_S,55.86041588564579,-4.247422819544945,1,1,1,1,1,1
GA4551_T,55.861232682672494,-4.248956214731358,1,1,1,1,1,1
GA4551_V,55.86004635555312,-4.249446953761908,1,1,1,1,1,1
